Species,Species_Sherwood_2005,Medulla_oblongata_2005,Medulla_oblongata_SD,Number_Sherwood2005,VII,VII_SD,Vmo,Vmo_SD,XII,XII_SD
AAAA_Anatomy_code,,Medulla volume Mean,Medulla volume SD,N,VII volume Mean,VII volume SD,Vmo volume Mean, Vmo volume SD,XII volume Mean,XII volume SD
AAAA_Reference,Sherwood_2005,Sherwood_2005,Sherwood_2005,Sherwood_2005,Sherwood_2005,Sherwood_2005,Sherwood_2005,Sherwood_2005,Sherwood_2005,Sherwood_2005
Alouatta caraya,,,,,,,,,,
Alouatta seniculus,Alouatta seniculus,1593.25,400.5,2,1.73,0.62,2.26,0.58,1.62,0.42
Aotus trivirgatus,Aotus trivirgatus,675.3,54.99,4,1.24,0.34,0.86,0.12,0.87,0.13
Atelerix algirus,,,,,,,,,,
Ateles geoffroyi,Ateles geoffroyi,1833.67,,1,1.65,,1.8,,1.78,
Avahi laniger,Avahi laniger laniger,553.35,27.87,2,1.07,0.08,0.88,0.12,0.74,0.03
Avahi occidentalis,Avahi laniger occidentalis,508.46,57.67,2,0.81,0,0.82,0.06,0.62,0.01
Blarina brevicauda,,,,,,,,,,
Callicebus moloch,Callicebus moloch,786.82,71.55,2,1.18,0.13,1,0.14,0.98,0.01
Callimico goeldii,Callimico goeldii,460.1,,1,0.48,,0.55,,0.54,
Callithrix jacchus,Callithrix jacchus,318.24,39.74,4,0.54,0.1,0.47,0.07,0.44,0.04
Callithrix pygmaea,Cebuella pygmaea,185,10.47,2,0.27,0,0.28,0.07,0.28,0.05
Cebus albifrons,Cebus albifrons,1738.26,78.27,2,2.47,0.55,2.16,0.13,1.98,0.25
Cercocebus agilis,,,,,,,,,,
Cercopithecus ascanius,Cercopithecus ascanius,1802.09,240.43,2,2.64,0.34,2.07,0.27,1.99,0.31
Cercopithecus mitis,Cercopithecus mitis,1998.9,,1,3.07,,2.14,,2.07,
