Species,Species_Baron1983,code_Baron1983,Number_of_individuals_Bulbus_olfactorius,Bulbus_olfactorius_1983
AAAA_Anatomy_code,,,,MOB
AAAA_Reference,Baron_1983,Baron_1983,Baron_1983,Baron_1983
Alouatta caraya,,,,
Alouatta seniculus,Alouatta spp.,3366,2,41.4
Aotus trivirgatus,Aotus trivirgatus,3325,3,61
Atelerix algirus,Erinaceus algirus,689,3,285
Ateles geoffroyi,Ateles geoffroyi,3371,1,90.4
Avahi laniger,Avahi laniger laniger,3243,2,89.2
Avahi occidentalis,Avahi I. occidentalis,3244,2*,70.1
Blarina brevicauda,,,,
Callicebus moloch,Callicebus moloch,3327,2*,19.2
Callimico goeldii,Callimico goeldii,3315,1,27
Callithrix jacchus,Callithrix jacchus,3287,3,22.6
Callithrix pygmaea,Cebuella pygmaea,3289,2,12.3
Cebus albifrons,Cebus spp.,3324,2*,39.9
Cercocebus agilis,,,,
Cercopithecus ascanius,Cercopithecus ascanius,3433,1,99.5
Cercopithecus mitis,Cercopithecus mitis,3453,1,117
Cheirogaleus major,Cheirogaleus major,3203,2,158
Cheirogaleus medius,Cheirogaleus medius,3205,2,102
Chrysochloris asiatica,Chrysochloris asiatica,643,1,58.5
Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,645,2*,60.6
Colobus angolensis,,,,
Crocidura flavescens,Crocidura flavescens,943,2,37.6
Crocidura hildegardeae,,,,
Crocidura jacksoni,,,,
Crocidura russula,Crocidura russula,1071,2*,16.3
Daubentonia madagascariensis,Daubentonia madagascar.,3251,1,685
Desmana moschata,Desmana moschata,1205,1,141
Echinops telfairi,Echinops telfairi,585,2*,71.2
Echinosorex gymnura,,,,
Elephantulus fuscipes,Elephantulus fuscipes,7993,2,63.3
Erinaceus europaeus,Erinaceus europaeus,695,5*,332
Erythrocebus patas,Erythrocebus patas,3473,2,51.8
Eulemur fulvus,Lemur albifrons,3215,3,207
Galago senegalensis,Galago senegalensis,3265,1,79.2
Galagoides demidoff,Galagoides demidoff,3275,2*,83.1
Galemys pyrenaicus,Galemys pyrenaicus,1207,2,39
Gorilla sp.,Gorilla gorilla,3551,1,316
Hemicentetes semispinosus,Hemicentetes semispin.,581,1,93.6
Hemiechinus auritus,Hemiechinus auritus,701,3,175
Homo sapiens,Homo sapiens,3553,1,114
Hylobates lar,Hylobates lar,3539,1,43.9
Hylobates muelleri,,,,
Hylomys suillus,,,,
Indri indri,Indri indri,3249,2*,168
Lagothrix lagothricha,Lagothrix lagothricha,3379,3,73.4
Leontopithecus rosalia,,,,
Lepilemur ruficaudatus,Lepilemur ruficaudatus,3239,3,113
Lophocebus albigena,Cercocebus albigena,3407,1,121
Loris tardigradus,Loris tardigradus,3253,1,85.8
Macaca fascicularis,,,,
Macaca maura,,,,
Macaca mulatta,Macaca mulatta,3391,1,84.3
Microcebus murinus,Microcebus murinus,3199,6*,43
Microgale cowani,Microgale cowani,595,1,35.9
Microgale mergulus,Limnogale mergulus,633,1,42.9
Micropotamogale lamottei,Micropotamogale lamottei,639,3,34.1
Micropotamogale ruwenzorii,,,,
Microsorex hoyi,,,,
Miopithecus talapoin,Miopithecus talapoin,3469,2*,27.8
Myosorex babaulti,,,,
Nasalis larvatus,Nasalis larvatus,3499,1,30.3
Neomys fodiens,Neomys fodiens,839,2,15.8
Nesogale dobsoni,Microgale dobsoni,601,1,53.6
Nesogale talazaci,Microgale talazaci,629,1,74.3
Nycticebus coucang,Nycticebus coucang,3255,2,159
Oryzorictes hova,Oryzoricles talpoides,589,1,46.9
Otolemur crassicaudatus,Otolemur crassicaudatus,3267,2,166
Pan paniscus,,,,
Pan troglodytes,Pan troglodytes,3549,1,257
Papio anubis,Papio anubis,3415,2*,287
Perodicticus potto,Perodicticus potto,3259,2,310
Piliocolobus badius,Colobus badius,3477,2,51.3
Pithecia monachus,Pithecia monachus,3341,2,34.8
Pithecia pithecia,,,,
Pongo sp.,,,,
Potamogale velox,Potamogale velox,637,2,86
Propithecus verreauxi,Propithecus verreauxi,3247,2*,147
Pygathrix nemaeus,Pygathrix nemaeus,3493,1,10.7
Rattus norvegicus,,,,
Rhynchocyon cirnei,Rhynchocyon cirnei,8011,2,426
Ruwenzorisorex suncoides,,,,
Saguinus geoffroyi,,,,
Saguinus midas,Saguinus midas,3306,2*,17.3
Saguinus oedipus,Saguinus oedipus,3311,3*,19.1
Saimiri sciureus,Saimiri sciureus,3335,1,26.8
Scutisorex somereni,,,,
Setifer setosus,Setifer setosus,579,2,209
Solenodon paradoxus,Solenodon paradoxus,575,2*,464
Sorex araneus,Sorex araneus,715,5*,15.7
Sorex cinereus,,,,
Sorex fumeus,,,,
Sorex minutus,Sorex minutus,769,1,8.65
Spalax ehrenbergi,,,,
Suncus etruscus,,,,
Suncus megalura,,,,
Suncus murinus,Suncus murinus,1137,1,34.2
Sylvisorex granti,,,,
Symphalangus syndactylus,,,,
Talpa europaea,Talpa europaea,1215,2*,59.6
Tarsius sp.,Tarsius spp.,3282,2,18.8
Tenrec ecaudatus,Tenrec ecaudatus,577,3,314
Trachypithecus francoisi,,,,
Tupaia glis,Tupaia glis,1263,20*,131
Tupaia minor,Tupaia minor,1269,2,94.3
Urogale everetti,Urogale everetti,1289,1,184
Varecia variegata,Varecia variegata,3227,1,369
