Species,Common_name,Code_number_Stephan1981,Species_Stephan1981,Order,Suborder,Family
AAAA_Anatomy_code,,,,,,
AAAA_Reference,AALL1,AALL2,AALL3,AALL4,AALL5,AALL6
Alouatta caraya,black howler,,,,,
Alouatta seniculus,Colombian red howler,179,Alouatta sp.,Primates,Simians,
Aotus trivirgatus,three striped night monkey,171,Aotus trivirgatus,Primates,Simians,
Atelerix algirus,North African hedgehog,21,Aethechinus algirus,Insectivora,Basal Insectivora,Erinaceidae
Ateles geoffroyi,Geoffroy s spider monkey,184,Ateles geoffroyi,Primates,Simians,
Avahi laniger,eastern woolly lemur,130,Avahi l. laniger,Primates,Prosimians,Indriidae
Avahi occidentalis,western woolly lemur,131,Avahi laniger occidentalis,Primates,Prosimians,Indriidae
Blarina brevicauda,northern short tailed shrew ,,,Insectivora,,
Callicebus moloch,red bellied titi,172,Callicebus moloch,Primates,Simians,
Callimico goeldii,Goeldi s marmoset,166,Callimico goeldii,Primates,Simians,
Callithrix jacchus,common marmoset,151,Callithrix jacchus,Primates,Simians,
Callithrix pygmaea,Western pygmy marmoset,156,Cebuella pygmaea,Primates,Simians,
Cebus albifrons,Humboldt s white fronted capuchin,191,Cebus sp.,Primates,Simians,
Cercocebus agilis,agile mangabey,,,,,
Cercopithecus ascanius,red tailed monkey,231,Cercopithecus ascanius,Primates,Simians,
Cercopithecus mitis,blue monkey,227,Cercopithecus mitis,Primates,Simians,
Cheirogaleus major,greater dwarf lemur ,111,Cheirogaleus major,Primates,Prosimians,Cheirogaleiclae
Cheirogaleus medius,fat tailed dwarf lemur ,112,Cheirogaleus medius,Primates,Prosimians,Cheirogaleiclae
Chrysochloris asiatica,Cape golden mole,17,Chrysochloris asiatica,Insectivora,Progressive Insectivora,
Chrysochloris stuhlmanni,Stuhlmann s golden mole,16,Chlorotalpa stuhlmanni,Insectivora,Progressive Insectivora,
Colobus angolensis,Angola colobus,,,,,
Crocidura flavescens,greater red musk shrew,59,Crocidura occidentalis,Insectivora,Basal Insectivora,Soricidae
Crocidura hildegardeae,Hildegarde s shrew,,,Insectivora,,
Crocidura jacksoni,Jackson s shrew,,,Insectivora,,
Crocidura russula,greater white toothed shrew,60,Crocidura russula,Insectivora,Basal Insectivora,Soricidae
Daubentonia madagascariensis,aye aye ,136,Daubentonia madagascar.,Prosimians,Prosimians,Daubentoniidae
Desmana moschata,Russian desman,83,Desmana moschata,Insectivora,Progressive Insectivora,
Echinops telfairi,lesser hedgehog tenrec,5,Echinops telfairi,Insectivora,Basal Insectivora,Tenrecinae
Echinosorex gymnura,moonrat,,,Insectivora,,
Elephantulus fuscipes,dusky footed elephant shrew,31,Elephantulus fuscipes,Macroscelidea,,
Erinaceus europaeus,European hedgehog,22,Erinaceus europaeus,Insectivora,Basal Insectivora,Erinaceidae
Erythrocebus patas,patas monkey,234,Erythrocebus patas,Primates,Simians,
Eulemur fulvus,white headed lemur ,118,Lemur fulvus,Primates,Prosimians,Lemuridae
Galago senegalensis,Senegal bushbaby,143,Galago senegalensis,Primates,Prosimians,Lorisidae
Galagoides demidoff,Demidoff s Dwarf Galago,142,Galago demidovii,Primates,Prosimians,Lorisidae
Galemys pyrenaicus,Pyrenean desman,84,Galemys pyrenaicus,Insectivora,Progressive Insectivora,
Gorilla sp.,,279,Gorilla gorilla,Primates,Simians,
Hemicentetes semispinosus,lowland streaked tenrec,4,Hemicentetes semispinosus,Insectivora,Basal Insectivora,Tenrecinae
Hemiechinus auritus,long eared hedgehog,23,Hemiechinus auritus,Insectivora,Basal Insectivora,Erinaceidae
Homo sapiens,human,280,Homo sapiens sapiens,Primates,Simians,
Hylobates lar,lar gibbon,271,Hylobates lar,Primates,Simians,
Hylobates muelleri,Müller s gibbon,,,,,
Hylomys suillus,short tailed gymnure,,,Insectivora,,
Indri indri,indri,133,Indri indri,Primates,Prosimians,Indriidae
Lagothrix lagothricha,brown woolly monkey,186,Lagothrix lagotricha,Primates,Simians,
Leontopithecus rosalia,golden lion tamarin,,,,,
Lepilemur ruficaudatus,red tailed sportive lemur,117,Lepilemur ruficaudatus,Primates,Prosimians,Lemuridae
Lophocebus albigena,grey cheeked mangabey,209,Cercocebus albigena,Primates,Simians,
Loris tardigradus,red slender loris,137,Loris tardigradus,Primates,Prosimians,Lorisidae
Macaca fascicularis,crab eating macaque,,,,,
Macaca maura,moor macaque,,,,,
Macaca mulatta,rhesus macaque,202,Macaca mulatta,Primates,Simians,
Microcebus murinus,gray mouse lemur,114,Microcebus murinus,Primates,Prosimians,Cheirogaleiclae
Microgale cowani,Cowan s shrew tenrec,7,Microgale cowani,Insectivora,Progressive Insectivora,
Microgale mergulus,web footed tenrec,8,Limnogale mergulus,Insectivora,Progressive Insectivora,
Micropotamogale lamottei,Nimba otter shrew,14,Micropotamogale lamottei,Insectivora,Progressive Insectivora,
Micropotamogale ruwenzorii,Ruwenzori otter shrew,,,Insectivora,,
Microsorex hoyi,American pygmy shrew,,,Insectivora,,
Miopithecus talapoin,Angolan talapoin,232,Cercopithecus talapoin,Primates,Simians,
Myosorex babaulti,Babault s mouse shrew,,,Insectivora,,
Nasalis larvatus,proboscis monkey,243,Nasalis larvatus,Primates,Simians,
