Species,Amygdala_current,Amygdala_current_source,Area_striata_grey_matter_current,Area_striata_grey_matter_current_source,Body_weight_current,Body_weight_current_source,Amygdala,Area_striata,Body_weight,Brain_weight,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Capsula_interna,Cerebellum,Complexus_centromedialis,Complexus_corticobasolateralis,Complexus_vestibularis,Corpus_geniculatum_laterale,Corpus_pineal,Corpus_subcommissurale,Corpus_subfornicale,Diencephalon,Epithalamus,Hippocampus,Hypothalamus,Lobus_piriformis,Medulla_oblongata,Meninges_hypophysis_nerves_etc.,Mesencephalon,Neocortex,Nucleus_amygdalae_basalis_pars_magnocellularis,Nucleus_habenularis_medialis,Nucleus_septalis_triangularis,Nucleus_subthalamicus,Nucleus_tractus_olfactorius,Nucleus_vestibularis_descendens,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_medialis,Nucleus_vestibularis_superior,Number_of_individuals_27_to_28,Number_of_individuals_1_to_18,Number_of_individuals_19_to_26,Number_of_individuals_29_to_34,Number_of_individuals_35_to_39,Number_of_individuals_40_to_44,Palaeocortex,Pallidum,Schizo_cortex,Septum,Striatum,Subthalamus,Telencephalon,Thalamus,Total_brain_net_volume,Tractus_opticus,Ventricles,Bulbus_olfactorius_accessorius_1982,Bulbus_olfactorius_accessorius_layers_1_2,Bulbus_olfactorius_accessorius_layers_3_5,Bulbus_olfactorius_accessorius_layers_6,Number_of_individuals_Bulbus_olfactorius_accessorius,Species_Stephan1982,code_Stephan1984,Corpus_geniculatum_laterale_1984,Corpus_geniculatum_laterale_1984_data.deviate.from.STEPHAN.et.al.1981,Number_of_individuals_Corpus_geniculatum_lateralis_1984,Species_Stephan1984,Amygdala_1987,Complexus_centromedialis_1987,Complexus_corticobasolateralis_1987,Nucleus_amygdalae_basalis_pars_magnocellularis_1987,Nucleus_tractus_olfactorius_1987,Species_Stephan1987,Species_Zilles1988
AAAA_Anatomy_code,,,,,,,30_(=31+33),27,1,2,11,12,25,7,31,33,35_(=36-39),28,43,44,41,9,19,17,21,13,6,4,8,18,34,42,40,24,32,39,37,38,36,Stephan1981,Stephan1981,Stephan1981,Stephan1981,Stephan1981,Stephan1981,29,23,16,14,15,22_(=23+24),10_(=11-18),20,5_(=6-10),26,3,total_AOB,AOB_layers_1+2,AOB_layers_3-5,AOB_layers_6,,,,CGL,,,,AMY,MAM,LAM,MCB,NTO,,
AAAA_Reference,ALL,ALL,ALL,ALL,ALL,ALL,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1981,Stephan_1982,Stephan_1982,Stephan_1982,Stephan_1982,Stephan_1982,Stephan_1982,Stephan_1984,Stephan_1984,Stephan_1984,Stephan_1984,Stephan_1984,Stephan_1987,Stephan_1987,Stephan_1987,Stephan_1987,Stephan_1987,Stephan_1987,Zilles_1988
Callicebus moloch,254.1,Stephan_1987,1201,deSousa_2010,900,Stephan_1981,,1502,900,"19,000",19.2,0.325,,"1,622",,,,53.2,2.9,0.154,0.135,"1,375",,588,,454,787,242,530,"11,163",,2.66,0.89,,,,,,,1,2,,,,1,,,234,86.4,920,,"13,465",,"17,944",,279,0.325,0.09,0.216,0.019,2*,Callicebus moloch,3327,54.2,54.2,1,Callicebus moloch,254.1,74.6,179.5,16.3,0,Callicebus moloch,
Callimico goeldii,146.9,Stephan_1987,987,Frahm_1998,480,Stephan_1981,,,480,"11,000",27,0.512,,"1,240",,,,,,,,739,,281,,253,460,59.5,340,"6,476",,,,,,,,,,,1,,,,,,,138,63.5,493,,"7,733",,"10,510",,47.9,0.512,0.166,0.312,0.034,1,Callimico goeldii,,,,,,146.9,35.6,111.2,11.6,0,Callimico goeldii,
Callithrix jacchus,106.1,Stephan_1987,566,deSousa_2010,280,Stephan_1981,113,692,280,"7,600",22.8,0.326,,757,28.3,84.6,,25.7,0.486,0.0789,0.133,554,,221,,191,318,42.9,295,"4,371",8.57,1.63,0.44,,0.195,,,,,1,4,,3,,1,99.3,,90,49.8,372,,"5,318",,"7,241",,52,0.326,0.111,0.165,0.05,3,Callithrix jacchus,3287,25.1,25.1,2,Callithrix jacchus,106.1,30.5,75.6,7.7,0,Callithrix jacchus,
Callithrix pygmaea,75.4,Stephan_1987,363,deSousa_2010,140,Stephan_1981,,,140,"4,500",12.3,0.386,21.8,468,,,11.1,,,,,342,3.68,133,69.2,133,201,16.9,192,"2,535",,,,1.95,,1.96,2.94,4.11,2.1,,2,1,,1,,,25.8,81.8,29.2,174,27.7,"3,099",190,"4,302",23.8,24.5,0.386,0.128,0.211,0.047,2,Cebuella pygmaea,,,,,,75.4,17.5,57.9,7.1,0.11,Cebuella pygmaea,
Cebus albifrons,458.2,Stephan_1987,3764,deSousa_2010,"3,100",Stephan_1981,502,4690,"3,100","71,000",39.9,0.667,549,"7,871",118,384,50.2,137,3.8,0.425,0.41,"3,996",23.7,890,418,931,"1,738",864,"1,221","46,429",41,4.9,1.5,41.7,0,12.3,7.45,19.2,11.2,2,2,1,1,1,2,567,567,390,174,3258,609,"52,113","2,163","66,939",207,729,0.667,0.323,0.277,0.067,2*,Cebus sp.,3324,137,,2,Cebus spp.,458.2,120.4,337.8,36,0,Cebus albifrons,
Cercocebus agilis,,,,,5660,Bauernfeind_2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus ascanius,572.5,Stephan_1987,4272,deSousa_2010,"3,400",Stephan_1981,601,5152,"3,400","67,000",99.5,0,421,"5,828",136,465,52,147,4.66,0.217,0.509,"3,605",17.9,"1,189",410,"1,052","1,632",927,"1,162","45,166",48.9,4.23,2.13,25.7,0,17.2,5.88,20.8,8.21,1,1,1,1,1,1,450,405,694,251,"2,827",431,"51,279","1,916","63,505",320,240,,,,,,,3433,147,,1,Cercopithecus ascanius,572.5,139.3,433.2,45.6,0,Cercopithecus ascanius,
Cercopithecus mitis,704,Stephan_1987,4232,deSousa_2010,"6,300",Stephan_1981,,5274,"6,300","75,000",117,0,,"6,758",,,,150,15.3,0.258,0.432,"4,176",,"1,366",,"1,265","1,999","1,363","1,354","49,933",,5.38,1.96,,,,,,,1,1,,,,1,,,617,246,"2,733",,"56,277",,"70,564",,467,,,,,,,3453,150,,1,Cercopithecus mitis,704,210.9,493.1,66.4,0,Cercopithecus mitis,
Cheirogaleus major,102.3,Stephan_1987,433,deSousa_2010,450,Stephan_1981,99.4,478,450,"6,800",158,4.04,48.6,947,34.1,65.3,11.1,21.5,0.789,0.032,0.256,489,4.83,347,101,332,382,108,241,"2,938",7.32,1.75,0.917,2.27,0.851,3.27,1.78,4.18,1.86,2,2,1,2,1,1,233,31.6,149,58.9,327,33.8,"4,314",271,"6,373",18,83.4,4.043,1.39,1.578,1.075,2,Cheirogaleus major,3203,21.5,,2,Cheirogaleus major,102.3,33.6,68.8,8.8,0.95,Cheirogaleus major,
Cheirogaleus medius,64.9,Stephan_1987,199,deSousa_2010,177,Stephan_1981,63.2,217,177,"3,140",102,2.66,,437,23.3,39.8,,10.8,0.691,0.0432,0.171,235,,174,,198,202,45.2,145,"1,221",,1.06,0.385,,0.472,,,,,2,2,,2,,1,135,,65.3,32.5,145,,"1,941",,"2,961",,24.6,2.663,0.844,1.023,0.796,2,Cheirogaleus medius,3205,10.8,,2,Cheirogaleus medius,64.9,24.1,40.8,3.9,0.55,Cheirogaleus medius,
Chrysochloris asiatica,20,Stephan_1987,,,49,Stephan_1981,,,49,700,58.5,0.132,,72.6,,,,,0.0251,0.00811,0.0147,52.8,,66.3,,115,58.5,10.7,43.2,113,,0.449,0.485,,,,,,,,1,,,,1,,,20.9,12.1,44.3,,430,,657,,8.12,0.132,0.037,0.078,0.017,1,Chrysochloris asiat.,,,,,,20,9.1,11,1.6,0.83,Chrysochloris asiatica,
Chrysochloris stuhlmanni,23.3,Stephan_1987,,,40,Stephan_1981,,,39.8,740,60.6,0.204,,74.7,,,,,0.096,0,0.0191,51.8,,59.1,,131,68.3,13.8,42,129,,0.38,0.395,,,,,,,,2,,,,6,,,21.4,11.3,43.5,,457,,693,,7,0.204,0.067,0.109,0.028,2*,Chrysochl. stuhlm.,,,,,,23.3,12.2,11.1,2.1,0.96,Chrysochloris stuhlmanni,
Colobus angolensis,,,,,9680,Bauernfeind_2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crocidura flavescens,13,Stephan_1987,,,28,Stephan_1981,6.82,,28,440,37.6,0.221,2.19,51.3,3.23,3.59,1.32,,0.0391,0.000576,0.0186,28.4,0.657,38.5,9.77,68.4,59.8,14,27.7,59.1,0.803,0.2,0.274,0.142,0.233,0.389,0.222,0.543,0.171,,2,2,1,2,1,23.4,1.63,13.3,6.94,16.8,1.78,241,14.6,408,0.252,2.67,0.221,0.085,0.095,0.041,2,Crocidura flavesc.,943,0.28,,1,Crocidura occidentalis,13,6.4,6.6,1.2,0.43,Crocidura flavescens,
Crocidura hildegardeae,6.9,Stephan_1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9,3.5,3.4,0.59,0.34,Crocidura hildegardeae,
Crocidura jacksoni,7.6,Stephan_1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,3.5,4.1,0.54,0.24,Crocidura jacksoni,
Crocidura russula,6.3,Stephan_1987,,,11,Stephan_1981,11.1,,11,190,16.3,0.0431,0.727,21.8,5.41,5.74,0.563,,0.0278,0.000766,0.00986,15,0.368,15.9,4.61,30.2,23.6,3.85,11.7,25.5,0.804,0.134,0.12,0.0889,0.44,0.167,0.084,0.235,0.077,,2,1,1,1,5,45.1,0.781,6.05,3.64,8.17,0.87,106,7.48,178,0.116,1.67,0.043,0.012,0.024,0.007,2•,Crocidura russula,1071,0.08,,1,Crocidura russula,6.3,3.1,3.2,0.73,0.23,Crocidura russula,
Daubentonia madagascariensis,481.7,Stephan_1987,1113,deSousa_2010,2800,Stephan_1981,473,1355,"2,800","45,150",685,8.31,,"6,461",122,351,,58.5,3.32,1.83,0.593,"3,539",,"1,776",,"1,538","1,517",578,897,"22,127",24.9,7.75,2.65,,3.53,,,,,1,1,,1,,1,"1,065",,"1,044",254,"2,765",,"30,196",,"42,611",,392,8.311,2.945,3.469,1.897,1,Daubentonia madagas.,3251,58.5,,1,Daubentonia madagascar.,481.7,124.6,357.1,25.3,3.6,Daubentonia madagasc.,
Desmana moschata,90.8,Stephan_1987,,,440,Stephan_1981,,,440,"4,000",141,0.218,,514,,,,,0.459,0.0278,0.0352,344,,267,,320,402,104,219,983,,1.05,1.06,,,,,,,,1,,,,1,,,163,42.6,222,,"2,140",,"3,620",,138,0.218,0.096,0.092,0.03,1,Desmana moschata,1205,,,,Desmana moschata,90.8,40.9,49.9,12.2,0.09,Desmana moschata,
Echinops telfairi,22.4,Stephan_1987,,,87.5,Stephan_1981,22.1,,87.5,620,71.2,0.249,2.23,57.9,10.8,11.3,1.69,,0.243,0.000212,0.029,40.1,0.977,46.4,16.4,116,89.9,23.9,43.8,51.5,3.19,0.365,0.338,0.242,0.71,0.505,0.281,0.615,0.291,,2,1,1,1,1,93.1,2.44,13.1,11.5,24.1,2.68,335,17.9,566,0.605,8.34,0.249,0.111,0.105,0.033,2*,Echinops telfairi,585,0.37,,1,Echinops telfairi,22.4,11.1,11.3,3.2,0.7,Echinops telfairi,
Echinosorex gymnura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elephantulus fuscipes,35.6,Stephan_1987,,,57,Stephan_1981,,,57,"1,330",63.3,0.662,,183,,,,,0.336,0.124,0.0709,112,,173,,120,120,32.9,117,236,,0.415,0.289,,,,,,,,2,,,,6,,,46.8,16.8,44.5,,700,,"1,233",,18.1,0.662,0.142,0.341,0.179,2,Elephantulus fuscip.,7993,,,,Elephantulus fuscipes,35.6,15.9,19.7,1.3,0.91,Elephantulus fuscipes,
Erinaceus europaeus,108.1,Stephan_1987,,,860,Stephan_1981,104,,860,"3,350",332,1.94,18.8,394,43.1,61.1,7.54,,0.423,0.0312,0.0592,241,3.71,237,79.9,505,333,78.8,151,522,12.2,1.17,0.887,0.903,3.72,1.77,1.72,2.85,1.21,,5,2,2,1,2,379,13.3,134,51.7,147,14.2,"1,931",117,"3,050",3.94,105,1.943,0.634,0.932,0.377,2*,Erinaceus europaeus,695,3.9,,1,Erinaceus europaeus,108.1,44.8,63.3,11.5,3.7,Erinaceus europaeus,
Erythrocebus patas,688.4,Stephan_1987,7775,Frahm_1998,7800,Stephan_1981,,,"7,800","108,000",51.8,0,,"8,738",,,,,,,,"5,423",,"1,591",,"1,339","2,616",519,"1,621","77,141",,,,,,,,,,,2,,,,,,,693,330,"3,624",,"84,770",,"103,167",,561,,,,,,,3473,,,,Erythrocebus patas,688.4,199.4,489,63.7,0,Erythrocebus patas,
Eulemur fulvus,260.7,Stephan_1987,1253,deSousa_2010,1400,Stephan_1981,251,1527,"1,400","23,300",207,3.21,248,"3,328",71.7,179,31.1,51.6,1.85,0.174,0.527,"1,713",12.2,752,239,641,909,190,590,"12,207",19.6,4.02,1.4,13.9,1.37,9.27,5.9,9.75,6.22,2,3,1,3,1,4,389,212,422,119,"1,215",225,"15,566","1,028","22,106",108,194,3.211,0.769,1.318,1.124,3,Lemur albifrons,3215,51.8,51.8,2,Lemur albifrons,260.7,75.2,185.5,20,1.5,Lemur albifrons,
Galago senegalensis,73.2,Stephan_1987,301,deSousa_2010,186,Stephan_1981,,334,186,"4,800",79.2,2.58,,672,,,,16,0.741,0.0382,0.0668,382,,261,,163,254,81.4,205,"2,139",,0.998,0.588,,,,,,,1,1,,,,1,,,107,35.7,210,,"2,997",,"4,512",,40.2,2.577,0.685,1.204,0.688,1,Galago senegalensis,3265,16,,1,Galago senegalensis,73.2,21.7,51.5,4.2,0.55,Galago senegalensis,
Galagoides demidoff,57.9,Stephan_1987,214,deSousa_2010,81,Stephan_1981,50.2,237,81,"3,380",83.1,1.26,18.4,413,14.9,35.3,6.65,10.9,0.375,0.0266,0.024,246,2.09,152,45.1,181,169,28.8,135,"1,568",2.82,0.78,0.45,1.4,0.62,1.9,1.01,2.72,1.02,2,2,2,1,2,2,122,17,59.9,25.7,169,18.3,"2,240",153,"3,203",11.5,30.4,1.259,0.247,0.518,0.494,2*,Galagoides demid.,3275,10.9,,2,Galagoides demidoff,57.9,17.6,40.4,3.2,0.73,Galagoides demidoff,
Galemys pyrenaicus,36.5,Stephan_1987,,,57.5,Stephan_1981,,,57.5,"1,330",39,0.206,,184,,,,,0.0707,0.00545,0.0379,105,,109,,107,147,25.9,62.2,339,,0.422,0.444,,,,,,,,2,,,,5,,,44.9,20.1,74.4,,733,,"1,230",,27.5,0.206,0.05,0.128,0.028,2,Galemys pyrenaicus,1207,,,,Galemys pyrenaicus,36.5,15,21.5,5.7,0.23,Galemys pyrenaicus,
Gorilla sp.,2752.6,Stephan_1987,9129,deSousa_2010,103517.5,Bauernfeind_2013,,15185,"105,000","500,000",316,0,"2,471","69,249",,,136,384,7.96,1.41,1.3,"19,370",106,"4,781","2,215","4,871","7,509","8,659","4,352","341,444",,23.9,5.79,178,,23.6,19.5,58.4,34.7,1,1,1,,1,2,,"2,604","2,729","1,173","14,567","2,782","369,878","10,547","470,359",671,"3,608",,,,,,,3551,384,,1,Gorilla gorilla,2752.6,754.5,1998.1,227.5,0,Gorilla gorilla,
Hemicentetes semispinosus,22.4,Stephan_1987,,,110,Stephan_1981,22.3,,110,830,93.6,0.196,2.81,117,10.4,11.9,2.5,,0.181,0.00382,0.032,48.5,1.16,63.7,17.1,148,108,29,44.8,73.4,2.39,0.425,0.338,0.188,1.3,0.709,0.552,0.852,0.384,,1,1,1,1,1,125,3.12,17.4,12.8,29.8,3.31,438,19,757,0.507,15.5,0.196,0.087,0.098,0.011,1,Hemicentetes semisp.,581,0.37,,1,Hemicentetes semispin.,22.4,10.4,12.1,2.4,1.3,Hemicentetes semispinosus,
Hemiechinus auritus,71.8,Stephan_1987,,,250,Stephan_1981,,,250,"1,900",175,1.35,,198,,,,,,,,142,,130,,279,187,41.2,110,309,,,,,,,,,,,3,,,,,,,68.7,28.4,81.1,,"1,073",,"1,710",,82.5,1.346,0.429,0.618,0.299,3,Hemiechinus auritus,701,,,,Hemiechinus auritus,71.8,29.9,41.9,4.9,2.8,Hemiechinus auritus,
Homo sapiens,5286.6,Stephan_1987,15247.5,deSousa_2010,70100,Bauernfeind_2013,"3,015",22866,"65,000","1,330,000",114,0,"7,008","137,421",592,"2,424",177,416,142,0.0203,0.508,"33,319",133,"10,287","3,555","9,032","9,622","13,205","8,087","1,006,525",246,17,0.524,469,0,45.9,22.4,72.8,35.8,1,1,1,1,1,1,"6,016","4,711","6,142","2,610","28,689","5,180","1,063,399","18,222","1,251,847",823,"18,732",,,,,,,3553,416,,1,Homo sapiens,5286.6,1306.4,3980.2,349.9,0,Homo sapiens,
