"registry_key","Citation (APA 7th-Annotated)","sequence","DOI if different from article or doi Alt","Item number","1st Author","other author(s)","year","Publication name","DOI (or Alt)","Item name","Item encoded","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","Item full original title","Source format","N.B.","Progress stage","Snapshot name if unchanged","Source URL link","Flags pre-addressed","Flags possible","Flags active (skips)","Topic","Taxon","Main Trait(s)","Other Trait(s)","Material type (e.g. histological, MRI)","Method","Measure type","Team","Collection","Data role (primary/secondary/both)","Source (if secondary)","recommendation"
"(no item name) Hanson, K. L., Lew, C. H., Hrvoj-Mihic, B., Groeniger, K. M.","Hanson, K. L., Lew, C. H., Hrvoj-Mihic, B., Groeniger, K. M., Halgren, E., Bellugi, U., & Semendeferi, K. (2018). Increased glia density in the caudate nucleus in Williams syndrome. Developmental Neurobiology, 78(5), 531-545. https://doi.org/10.1002/dneu.22554","","","Table 2","","","","","","","","","Striatal neuron/glia density, glia:neuron ratio, soma area (dC/mC/aP/NA)","table (from PDF)","","FINISHED","Hanson_etal_2018_Table2_snapshot.csv","","","","","","Humans","","","striatal neuron/glia density","stereology (optical disector)","cell density","Semendeferi","","primary","",""
"(no item name) Hanson, K. L., Lew, C. H., Hrvoj-Mihic, B., Groeniger, K. M. #2","Hanson, K. L., Lew, C. H., Hrvoj-Mihic, B., Groeniger, K. M., Halgren, E., Bellugi, U., & Semendeferi, K. (2018). Increased glia density in the caudate nucleus in Williams syndrome. Developmental Neurobiology, 78(5), 531-545. https://doi.org/10.1002/dneu.22554","","","Table 3","","","","","","","","","Oligodendrocyte density + % of glia (dorsal/medial caudate)","table (from PDF)","","FINISHED","Hanson_etal_2018_Table3_snapshot.csv","","","","","","Humans","","","oligodendrocyte density","stereology (optical disector)","cell density","Semendeferi","","primary","",""
"(no item name) Karlsen, A. S., & Pakkenberg, B. (2011). Total numbers of ne","Karlsen, A. S., & Pakkenberg, B. (2011). Total numbers of neurons and glial cells in cortex and basal ganglia of aged brains with Down syndrome. Cerebral Cortex, 21(11), 2519-2524. https://doi.org/10.1093/cercor/bhr033","","","Table 2","","","","","","","","","Neocortical volumes/surface/thickness (Control vs DS)","table (published)","","FINISHED","Karlsen_Pakkenberg_2011_Table2_snapshot.csv","","","","","","Humans","","","neocortical volume/surface/thickness","stereology (Cavalieri)","volume","Pakkenberg","","primary","",""
"(no item name) Karlsen, A. S., & Pakkenberg, B. (2011). Total numbers of ne #2","Karlsen, A. S., & Pakkenberg, B. (2011). Total numbers of neurons and glial cells in cortex and basal ganglia of aged brains with Down syndrome. Cerebral Cortex, 21(11), 2519-2524. https://doi.org/10.1093/cercor/bhr033","","","authordata (group means)","","","","","","","","","Neocortical neuron & glia-subtype counts/densities (group means)","author-provided (personal communication)","","FINISHED","(restricted raw workbooks - ____Unpublished__Karlsen_Pakkenberg_2011)","","","","","","Humans","","","neocortical neuron & glia-subtype counts/densities","stereology (optical disector)","cell count & density","Pakkenberg","","primary","",""
"(no item name) Karlsen, A. S., & Pakkenberg, B. (2011). Total numbers of ne #3","Karlsen, A. S., & Pakkenberg, B. (2011). Total numbers of neurons and glial cells in cortex and basal ganglia of aged brains with Down syndrome. Cerebral Cortex, 21(11), 2519-2524. https://doi.org/10.1093/cercor/bhr033","","","reported values","","","","","","","","","Published Results-text values incl. BASAL GANGLIA cell numbers/densities","table (published text)","","FINISHED","Karlsen_Pakkenberg_2011_reported_values_snapshot.csv","","","","","","Humans","","","basal-ganglia & cortical cell numbers/densities","stereology (optical disector)","cell count & density","Pakkenberg","","primary","",""
"(no item name) Mackes, N. K., Golm, D., Sarkar, S., Kumsta, R., Rutter, M.,","Mackes, N. K., Golm, D., Sarkar, S., Kumsta, R., Rutter, M., Fairchild, G., Mehta, M. A., Sonuga-Barke, E. J. S., & the ERA Young Adult Follow-up team (2020). Early childhood deprivation is associated with alterations in adult brain structure despite subsequent environmental enrichment. PNAS, 117(1), 641-649. https://doi.org/10.1073/pnas.1911264116","","","ERABIS (cortical)","","","","","","","","","ERA adoptee cortical volumes (Desikan-Killiany; UK n=21, Romanian n=67); group summaries","author-provided (personal communication)","","FINISHED","(restricted raw ERABIS xlsx - ____Unpublished__Mackes_etal_2020)","","","","","","Humans","","","cortical regional volumes","MRI volumetry (FreeSurfer 6.0)","volume","ERA/Sonuga-Barke","","primary","",""
"(no item name) Mackes, N. K., Golm, D., Sarkar, S., Kumsta, R., Rutter, M., #2","Mackes, N. K., Golm, D., Sarkar, S., Kumsta, R., Rutter, M., Fairchild, G., Mehta, M. A., Sonuga-Barke, E. J. S., & the ERA Young Adult Follow-up team (2020). Early childhood deprivation is associated with alterations in adult brain structure despite subsequent environmental enrichment. PNAS, 117(1), 641-649. https://doi.org/10.1073/pnas.1911264116","","","subcortical","","","","","","","","","ERA adoptee subcortical volumes (7 nuclei; UK n=21, Romanian n=67); group summaries","author-provided (personal communication)","","FINISHED","Mackes_etal_2020_subcortical_snapshot.csv (restricted)","","","","","","Humans","","","subcortical regional volumes","MRI volumetry (FreeSurfer)","volume","ERA/Sonuga-Barke","","primary","",""
"(no item name) Morgan, J. T., Barger, N., Amaral, D. G., & Schumann, C. M. ","Morgan, J. T., Barger, N., Amaral, D. G., & Schumann, C. M. (2014). Stereological study of amygdala glial populations in adolescents and adults with autism spectrum disorder. PLoS ONE, 9(10), e110356. https://doi.org/10.1371/journal.pone.0110356","","","Data S1","","","","","","","","","Amygdala per-individual stereological cell counts (ASD + Control)","supplementary dataset (xlsx)","","FINISHED","Morgan_etal_2014_DataS1_snapshot.xlsx","","","","","","Humans","","","amygdala neuron & glia number/density","stereology (optical fractionator)","cell count & density","Schumann","","primary","",""
"(no item name) Walhovd, K. B., Westlye, L. T., Amlien, I., Espeseth, T., Re","Walhovd, K. B., Westlye, L. T., Amlien, I., Espeseth, T., Reinvang, I., Raz, N., Agartz, I., Salat, D. H., Greve, D. N., Fischl, B., Dale, A. M., & Fjell, A. M. (2011). Consistent neuroanatomical age-related volume differences across multiple samples. Neurobiology of Aging, 32(5), 916-932. https://doi.org/10.1016/j.neurobiolaging.2009.05.013","","","normative volumes","","","","","","","","","Normative regional brain volumes (n=262, 18-29 yr)","published table","","FINISHED","Walhovd_etal_2011_normative_snapshot.csv","","","","","","Humans","","","regional brain volumes","MRI volumetry (FreeSurfer)","volume","Fjell/Walhovd","","secondary","",""
"Andelin_etal_2019_Table4","Andelin, A. K., Olavarria, J. F., Fine, I., Taber, E. N., Schwartz, D., Kroenke, C. D., & Stevens, A. A. (2019). The Effect of Onset Age of Visual Deprivation on Visual Cortex Surface Area Across-Species. Cereb Cortex, 29(10), 4321-4333. https://doi.org/10.1093/cercor/bhy315","","","Table 4","Andelin","etal","2019","Andelin_etal_2019","10.1093%2Fcercor%2Fbhy315","Andelin_etal_2019_Table4","10.1093%2Fcercor%2Fbhy315_Table4","10.1093%2Fcercor%2Fbhy315_Table4.tsv","","table","","FINISHED","","","","","","","","","","","","","","","","",""
