"change","registry_key","column","was","now"
"cell changed","Granatosky__2018_TableS1","Item full original title","Table S1. Locomotor profiles for the species used in this
study.","Table S1. Locomotor profiles for the species used in this
study."
"cell changed","Heffner_etal_2020_Figure3","Item full original title","Fig. 3 High-frequency hearing
limit at 60 dB SPL varies with
functional interaural distance","Fig. 3 High-frequency hearinglimit at 60 dB SPL varies withfunctional interaural distance"
"cell changed","Heffner_etal_2020_Figure3 #2","Item full original title","Fig. 3 High-frequency hearing
limit at 60 dB SPL varies with
functional interaural distance","Fig. 3 High-frequency hearinglimit at 60 dB SPL varies withfunctional interaural distance"
"cell changed","Semendeferi_etal_1998_TABLE5","Item full original title","TABLE 5. Total numbers of neurons and neuronal
density (per mm3) in area 13","TABLE 5. Total numbers of neurons and neuronaldensity (per mm3) in area 13"
"cell changed","deSousa_etal_2009_Table2","Item full original title","Table 2 
RMA regressions of V1, V2, and VP GLI values on brain and visual system variables.","Table 2 RMA regressions of V1, V2, and VP GLI values on brain and visual system variables."
