"script","associated_data_file","associated_data_filename","match_type","exact_filename_match","stem_match","matched_line_numbers","context"
"__merging_brain_mass/brain_mass_compiled.R","__ShinyApp/data/brain_mass_long.csv","brain_mass_long.csv","likely writer",TRUE,TRUE,"229","228: write.csv(uf,   file.path(out,""brain_mass_unfiltered.csv""), row.names=FALSE) | 229: write.csv(long, file.path(out,""brain_mass_long.csv""), row.names=FALSE) | 230: write.csv(dedupe, file.path(out,""brain_mass_dedupe_report.csv""), row.names=FALSE)"
"__merging_brain_mass/brain_mass_compiled.R","__merging_brain_mass/brain_mass_unfiltered.csv","brain_mass_unfiltered.csv","likely writer",TRUE,TRUE,"228","227:  | 228: write.csv(uf,   file.path(out,""brain_mass_unfiltered.csv""), row.names=FALSE) | 229: write.csv(long, file.path(out,""brain_mass_long.csv""), row.names=FALSE)"
"__merging_brain_mass/brain_mass_compiled.R","__merging_brain_mass/brain_mass_wide.csv","brain_mass_wide.csv","likely writer",TRUE,TRUE,"238","237: } | 238: write.csv(wide, file.path(out,""brain_mass_wide.csv""), row.names=FALSE, na="""") | 239: cat(""pooled cells:"", nrow(long), "" species:"", length(unique(long$Species)),"
"__merging_brain_mass/brain_mass_compiled.R","__merging_brain_mass/brain_size_basis_comparison.csv","brain_size_basis_comparison.csv","likely writer",TRUE,TRUE,"231","230: write.csv(dedupe, file.path(out,""brain_mass_dedupe_report.csv""), row.names=FALSE) | 231: write.csv(cross, file.path(out,""brain_size_basis_comparison.csv""), row.names=FALSE) | 232: # wide: one column per basis, because they are different quantities"
"__merging_brain_mass/brain_mass_compiled.R","_keys/brain_size_basis.csv","brain_size_basis.csv","likely writer",TRUE,TRUE,"111;116;170;231","110:  | 111: # ---- measurement basis, from _keys/brain_size_basis.csv --------------------- | 112: # Values are pooled only with values of the same basis: the sources are not all reporting the || 115: # volume or an endocranial volume). The build STOPS if a harvested row has no basis on record. | 116: basis_key <- read.csv(file.path(repo, ""_keys"", ""brain_size_basis.csv""), | 117:                       stringsAsFactors = FALSE, check.names = FALSE) || 169:   if (is.na(grp)) | 170:     stop(sprintf(""no measurement basis on record for %s / %s (paper folder '%s'). Add it to ASSIGN in _keys/build_brain_size_basis.py and re-run that builder."", | 171:                  t$fn, t$col, paper), call. = FALSE) || 230: write.csv(dedupe, file.path(out,""brain_mass_dedupe_report.csv""), row.names=FALSE) | 231: write.csv(cross, file.path(out,""brain_size_basis_comparison.csv""), row.names=FALSE) | 232: # wide: one column per basis, because they are different quantities"
"__merging_brain_mass/brain_mass_compiled.R","Heuer_etal_2023/source_data/data.csv","data.csv","likely writer",FALSE,TRUE,"10;28;35;39;178;196;203;222;233","9: ## Was: repo <- if (dir.exists(""__Public"")) ""."" else "".."" -- cwd-dependent, so | 10: ## Rscript from any other directory failed on ../__ShinyApp/data/source_manifest.csv. | 11: .sp <- local({ || 27: }) | 28: pub  <- file.path(repo, ""__Public"", ""comparative-data"") | 29: out  <- file.path(repo, ""__merging_brain_mass"") || 34:              ""mesencephal"",""pons"",""medulla"",""hemisphere"",""white"",""grey"",""gray"",""region"", | 35:              ""residual"",""resid"",""net"",""ratio"",""source"",""ref"",""note"",""_sd"","" sd"","": data"",""%"",""index"",""relative"") | 36: FACTOR <- c(g = 1, kg = 1000, mg = 0.001) || 38: read_csv <- function(p) read.csv(p, stringsAsFactors = FALSE, check.names = FALSE) | 39: manifest <- read_csv(file.path(repo, ""__ShinyApp"", ""data"", ""source_manifest.csv"")) | 40: man_by_file <- setNames(seq_len(nrow(manifest)), manifest$file) || 177:     sp <- resolve(get_sp(r)); if (!nzchar(sp) || tolower(sp) %in% c(""na"",""none"")) next | 178:     uf[[length(uf)+1L]] <- data.frame(Species=sp, Measure=""Brain_Mass"", Units=""g"", | 179:       # 10 significant digits: the mg->g conversion leaves float noise (3550 * 0.001 = || 195:   prim <- tv[trole[names(tv)] == ""primary""]; used <- if (length(prim)) prim else tv | 196:   long[[length(long)+1L]] <- data.frame(Species=sp, measure_class=""mass"", Measure=meas, Units=""g"", | 197:     Value=round_n(mean(used),4), Value_median=round_n(median(used),4), n_sources=nrow(d), n_teams=length(tv), || 202:   if (nrow(d) > 1) { spread <- max(d$Value_g)/min(d$Value_g) | 203:     dedupe[[length(dedupe)+1L]] <- data.frame(Species=sp, Measure=meas, n_sources=nrow(d), n_teams=length(tv), | 204:       pooled_g=round_n(mean(used),4), spread_max_over_min=round_n(spread,2), || 221:   sprd <- max(d$Value) / min(d$Value) | 222:   cross[[length(cross)+1L]] <- data.frame(Species=sp, n_bases=nrow(d), as.data.frame(v, check.names=FALSE), | 223:     ratio_max_over_min=round_n(sprd,3), || 232: # wide: one column per basis, because they are different quantities | 233: wide <- data.frame(Species=sort(unique(long$Species)), stringsAsFactors=FALSE) | 234: for (m in meas_order) {"
"__merging_cellcounts/cellcounts_compiled.R","__merging_cellcounts/cellcounts_long.csv","cellcounts_long.csv","likely writer",TRUE,TRUE,"366;1062;1066;1069;1071","365: #     brain is not a dissected piece. The consequence, before this step, was that | 366: #     WholeBrain_N.p.mg had exactly ONE value in cellcounts_long (Avelino de Souza et al. 2025, | 367: #     the only table that tabulates a whole-brain density row) while WholeBrain_N.n and || 1061: # Calculate averages and create the new long dataframe | 1062: cellcounts_long <- stacked_long_dataframe %>% | 1063:   group_by(Species, Variable) %>% || 1065:             Source = paste0(unique(Source), collapse = ""_"")) | 1066: write_csv(cellcounts_long, ""cellcounts_long.csv"") | 1067:  || 1068: # Convert to wide dataframe | 1069: cellcounts_wide <- arrange(pivot_wider(cellcounts_long, id_cols = Species, names_from = Variable, values_from = Value), Species) | 1070: # # keep a record of sources for the datapoints || 1070: # # keep a record of sources for the datapoints | 1071: # cellcounts_sources_wide <- arrange(pivot_wider(cellcounts_long, id_cols = Species, names_from = Variable, values_from = Source), Species) | 1072: write_csv(cellcounts_wide, ""cellcounts_wide.csv"")"
"__merging_cellcounts/cellcounts_compiled.R","__ShinyApp/data/cellcounts_long.csv","cellcounts_long.csv","likely writer",TRUE,TRUE,"366;1062;1066;1069;1071","365: #     brain is not a dissected piece. The consequence, before this step, was that | 366: #     WholeBrain_N.p.mg had exactly ONE value in cellcounts_long (Avelino de Souza et al. 2025, | 367: #     the only table that tabulates a whole-brain density row) while WholeBrain_N.n and || 1061: # Calculate averages and create the new long dataframe | 1062: cellcounts_long <- stacked_long_dataframe %>% | 1063:   group_by(Species, Variable) %>% || 1065:             Source = paste0(unique(Source), collapse = ""_"")) | 1066: write_csv(cellcounts_long, ""cellcounts_long.csv"") | 1067:  || 1068: # Convert to wide dataframe | 1069: cellcounts_wide <- arrange(pivot_wider(cellcounts_long, id_cols = Species, names_from = Variable, values_from = Value), Species) | 1070: # # keep a record of sources for the datapoints || 1070: # # keep a record of sources for the datapoints | 1071: # cellcounts_sources_wide <- arrange(pivot_wider(cellcounts_long, id_cols = Species, names_from = Variable, values_from = Source), Species) | 1072: write_csv(cellcounts_wide, ""cellcounts_wide.csv"")"
"__merging_cellcounts/cellcounts_compiled.R","__merging_cellcounts/cellcounts_source_species_ids.csv","cellcounts_source_species_ids.csv","likely writer",TRUE,TRUE,"564","563: # Save the data frame as a CSV file | 564: write.csv(source_species_ids, ""cellcounts_source_species_ids.csv"", row.names = FALSE) | 565: "
"__merging_cellcounts/cellcounts_compiled.R","__merging_cellcounts/cellcounts_unfiltered.csv","cellcounts_unfiltered.csv","likely writer",TRUE,TRUE,"578;589;590","577: # 4.4 Save a long unfiltered list for conflict check | 578: cellcounts_unfiltered <- lapply(names(cellcounts_data_list), function(source) { | 579:   df_uf <- cellcounts_data_list[[source]] || 588: }) | 589: cellcounts_unfiltered <- bind_rows(cellcounts_unfiltered) | 590: write.csv(cellcounts_unfiltered, file = ""cellcounts_unfiltered.csv"", row.names = FALSE) || 589: cellcounts_unfiltered <- bind_rows(cellcounts_unfiltered) | 590: write.csv(cellcounts_unfiltered, file = ""cellcounts_unfiltered.csv"", row.names = FALSE) | 591: "
