"script","has_data_writer_call","has_data_reader_call","mentions_csv_or_tsv_literal"
"____EvoM1_TraitTable/EvoM1_read_gyrification_etc.R",FALSE,TRUE,TRUE
"____EvoM1_TraitTable/EvoM1Gen_NoEstimates.R",FALSE,TRUE,TRUE
"_tools/__edit_all_directories.R",FALSE,FALSE,FALSE
"AvelinodeSouza_etal_2025/AvelinodeSouza_etal_2025_TABLE1.R",TRUE,TRUE,TRUE
"Barks_etal_2014/Barks_etal_2014_Fig5A.R",TRUE,TRUE,TRUE
"Baron_etal_1990/Baron_etal_1990_Table1.R",TRUE,TRUE,TRUE
"deSousa_etal_2010/old/deSousa_etal_2010_Table1 copy.R",TRUE,TRUE,TRUE
"deSousa_etal_2013/deSousa_etal_2013_Table1.R",TRUE,TRUE,TRUE
"Frahm_etal_1984/Frahm_etal_1984_Table1.R",TRUE,TRUE,TRUE
"Heiss_etal_2004/Heiss_etal_2004_TABLE1.R",TRUE,TRUE,TRUE
"HerculanoHouzel__2015/HerculanoHouzel__2015_Table2.R",TRUE,TRUE,TRUE
"MacLeod_etal_2003/MacLeod_etal_2003_Table2.R",TRUE,TRUE,TRUE
"Mota_etal_2019/Mota_etal_2019_SupplementaryTableS1.R",TRUE,TRUE,TRUE
"Rilling_Insel_1998/Rilling_Insel_1998_Table1.R",TRUE,TRUE,TRUE
"Rilling_Insel_1999/Rilling_Insel_1999_Table1.R",TRUE,TRUE,TRUE
"Semendeferi_etal_1998/Semendeferi_etal_1998_TABLE2.R",TRUE,TRUE,TRUE
"Semendeferi_etal_2001/Semendeferi_etal_2001_TABLE2.R",TRUE,TRUE,TRUE
"Sherwood_etal_2004/Sherwood_etal_2004_TABLEI.R",TRUE,TRUE,TRUE
