dataset,paper_year,predates_1988,pongo_paper_data_cols,paper_data_columns,pongo_current_only,verdict
Frahm_1982.csv,1982,True,3,Neocortex_1982; Neocortex_grey_matter; Neocortex_white_matter,False,ANACHRONISTIC: Pongo in paper data -> Zilles&Rehkamper 1988 (expect csv_only in comparison)
Frahm_1984.csv,1984,True,1,Area_striata_grey_matter,False,ANACHRONISTIC: Pongo in paper data -> Zilles&Rehkamper 1988 (expect csv_only in comparison)
Matano_1985a.csv,1985,True,1,Ventral_pons,False,ANACHRONISTIC: Pongo in paper data -> Zilles&Rehkamper 1988 (expect csv_only in comparison)
Species_Codes.csv,,False,0,,False,no Pongo data
Stephan_1981.csv,1981,True,0,,False,no Pongo data
Stephan_1982.csv,1982,True,0,,False,no Pongo data
Baron_1983.csv,1983,True,0,,False,no Pongo data
Stephan_1984.csv,1984,True,0,,True,Pongo only in _current reference block (NOT a comparison issue)
Matano_1985b.csv,1985,True,0,,True,Pongo only in _current reference block (NOT a comparison issue)
Baron_1987.csv,1987,True,0,,False,no Pongo data
Stephan_1987.csv,1987,True,0,,True,Pongo only in _current reference block (NOT a comparison issue)
Baron_1988.csv,1988,False,0,,False,no Pongo data
Zilles_1988.csv,1988,False,15,Body_weight; Brain_weight; Medulla_oblongata; Cerebellum; Mesencephalon; Diencephalon; Telencephalon; Lobus_piriformis; Septum; Striatum; Hippocampus; Neocortex; Pallidum; Palaeocortex; Amygdala,False,Pongo in paper data; paper postdates 1988 (may cite Zilles&Rehkamper 1988)
Baron_1990.csv,1990,False,0,,False,no Pongo data
Frahm_1994.csv,1994,False,0,,True,Pongo only in _current reference block
Frahm_1997.csv,1997,False,0,,False,no Pongo data
Frahm_1998.csv,1998,False,0,,True,Pongo only in _current reference block
Sherwood_2005.csv,2005,False,8,Medulla_oblongata_2005; Medulla_oblongata_SD; VII; VII_SD; Vmo; Vmo_SD; XII; XII_SD,False,Pongo in paper data; paper postdates 1988 (may cite Zilles&Rehkamper 1988)
deSousa_2010.csv,2010,False,4,Area_striata_grey_matter_2010; Corpus_geniculatum_laterale_2010; Neocortex_2010; Total_brain_net_volume_2010,False,Pongo in paper data; paper postdates 1988 (may cite Zilles&Rehkamper 1988)
Bauernfeind_2013.csv,2013,False,8,Body_weight_2013b; Brain_weight_2013b; Total_brain_net_volume_2013b; Agranular_insular_cortex; Dysgranular_insular_cortex; fronto_insular_cortex; Granular_insular_cortex; Insula,False,Pongo in paper data; paper postdates 1988 (may cite Zilles&Rehkamper 1988)
deSousa_2013.csv,2013,False,2,Brain_weight_2013; Corpus_geniculatum_laterale_2013,False,Pongo in paper data; paper postdates 1988 (may cite Zilles&Rehkamper 1988)
