folder,n_files,paper_pdf,supp_pdf,n_frozen,frozen_files,n_derived,derived_files,n_registry_rows,registry_items,source_urls
Caspar_etal_2022,12,1,0,3,Caspar_etal_2022_Supplementaryfile3.csv; Caspar_etal_2022_Table1_snapshot.xlsx; elife-77875-supp3-v1.xlsx,2,Caspar_etal_2022_Table1.csv; Caspar_etal_2022_exportMSexcel.xlsx,2,Caspar_etal_2022_Supplementaryfile3; Caspar_etal_2022_Table1,https://cdn.elifesciences.org/articles/77875/elife-77875-supp3-v1.xlsx; https://elifesciences.org/download/aHR0cHM6Ly9jZG4uZWxpZmVzY2llbmNlcy5vcmcvYXJ0aWNsZXMvNzc4NzUvZWxpZmUtNzc4NzUtdjEucGRmP2Nhbm9uaWNhbFVyaT1odHRwczovL2VsaWZlc2NpZW5jZXMub3JnL2FydGljbGVzLzc3ODc1/elife-77875-v1.pdf?_hash=NStjcL9fTlmy3AQDwSiM0YgMVB3UYjO8nDg0UbwN5gM%3D
Caves_etal_2018,5,1,0,2,Caves_etal_2018_TableS1.csv; Caves_etal_2018_TableS1_snapshot.csv,0,,1,Caves_etal_2018_TableS1,
Changizi_He_2005,1,1,0,0,,0,,5,Changizi_Shimojo_2005_Table1; Changizi_Shimojo_2005_Table2; Changizi_Shimojo_2005_Table3; Changizi_Shimojo_2005_Table4; Changizi_Shimojo_2005_Table5,
Changizi_Shimojo_2005,28,1,0,6,Changizi_Shimojo_2005_Table1_snapshot.xlsx; Changizi_Shimojo_2005_Table2_snapshot.xlsx; Changizi_Shimojo_2005_Table3_snapshot.xlsx; Changizi_Shimojo_2005_Table4_snapshot.xlsx; Changizi_Shimojo_2005_Table5_snapshot.xlsx; PROPOSED_species_key_rows.csv,5,Changizi_Shimojo_2005_Table4.csv; Changizi_Shimojo_2005_Table5.csv; Changizi_Shimojo_2005_Table2.csv; Changizi_Shimojo_2005_Table3.csv; Changizi_Shimojo_2005_Table1.csv,5,Changizi_Shimojo_2005_Table1; Changizi_Shimojo_2005_Table2; Changizi_Shimojo_2005_Table3; Changizi_Shimojo_2005_Table4; Changizi_Shimojo_2005_Table5,
Changizi__2001,8,1,0,3,Changizi__2001_Figure3_snapshot.csv; __file_list.csv; common_name_to_species.csv,1,Changizi__2001_Figure3.csv,1,Changizi__2001_Figure3,
Changizi__2003,6,1,0,1,Changizi__2003_Table1_snapshot.xlsx,1,Changizi__2003_Table1.csv,1,Changizi__2003_Table1,https://doi.org/10.1006/jtbi.2003.3125
Chaplin_etal_2013,6,1,0,1,Chaplin_etal_2013_ResultsText_snapshot.xlsx,1,Chaplin_etal_2013_ResultsText.csv,1,Chaplin_etal_2013_ResultsText,https://doi.org/10.1523/JNEUROSCI.2909-13.2013
Chen_Wiens_2020,6,1,0,4,41467_2020_14356_MOESM6_ESM.xlsx; 41467_2020_14356_MOESM6_ESM/Metadata-Table 1.tsv; 41467_2020_14356_MOESM6_ESM/References-Table 1.tsv; 41467_2020_14356_MOESM6_ESM/Supplementary Data_3-Table 1.tsv,0,,1,Chen_Wiens_2020_SupplementaryData3,https://static-content.springer.com/esm/art%3A10.1038%2Fs41467-020-14356-3/MediaObjects/41467_2020_14356_MOESM6_ESM.xlsx
Collins_etal_2010,9,2,0,4,Collins_etal_2010_DatasetS1.csv; Collins_etal_2010_DatasetS1_snapshot.xlsx; Collins_etal_2010_text_snapshot.xlsx; sd01 (1).xls,0,,1,Collins_etal_2010_DatasetS1,
Collins_etal_2016,7,1,0,2,Collins_etal_2016_Table1_snapshot.xlsx; Collins_etal_2016_text_snapshot.xlsx,1,Collins_etal_2016_Table1.csv,1,Collins_etal_2016_Table1,
DeCasien_Higham_2019,5,1,1,2,41559_2019_969_MOESM1_ESM.pdf; 41559_2019_969_MOESM3_ESM.xlsx,1,DeCasien_Higham_2019_references_braindata.csv,4,DeCasien_Higham_2019_SupplementaryData1-ActivityPeriod; DeCasien_Higham_2019_SupplementaryData1-BrainRegion; DeCasien_Higham_2019_SupplementaryData1-Diet; DeCasien_Higham_2019_SupplementaryData1-SocialSystem,https://www.nature.com/articles/s41559-019-0969-0#Sec13
Deaner_etal_2006,6,1,0,1,Deaner_etal_2006_Table1_snapshot.xlsx,1,Deaner_etal_2006_Table1.csv,1,Deaner_etal_2006_Table1,
Deaner_etal_2007,1,1,0,0,,0,,0,,
Demirci_etal_2023,7,1,0,1,Demirci_etal_2023_Fig.1_snapshot.xlsx,1,Demirci_etal_2023_Fig.1.csv,1,Demirci_etal_2023_Fig.1,
DosSantos_etal_2017,8,1,0,4,452856_sm10.doc; 452856_sm10.txt; DosSantos_etal_2017_TableS1.csv; DosSantos_etal_2017_TableS1_snapshot.csv,0,,1,DosSantos_etal_2017_TableS1,https://ndownloader.figstatic.com/files/7428211
DosSantos_etal_2020,19,1,0,5,DosSantos_etal_2020_Table1_snapshot.csv; Percentage difference OK.txt; Percentage difference major issues.txt; species_comparison.csv; todo.txt,5,DosSantos_etal_2020_Table1.csv; DosSantos_etal_2020_unpublished.csv; DosSantos_etal_2020_Table1_conflict_cellcounts problem note.txt; DosSantos_etal_2020_crosssource_check.csv; DosSantos_etal_2020_comparison_report.csv,2,DosSantos_etal_2020_Table1; DosSantos_etal_2020_unpublished,https://doi.org/10.1523/JNEUROSCI.2339-19.2020
Eagleman_Vaughn_2021,5,1,0,1,Eagleman_Vaughn_2021_TABLE1_snapshot.csv,1,Eagleman_Vaughn_2021_TABLE1.csv,1,Eagleman_Vaughn_2021_TABLE1,
Ebinger__1974,7,1,0,2,Ebinger__1974_Tables3-4.csv; Ebinger__1974_Tables3-4_snapshot.csv,1,Ebinger-1974-A cytoarchitectonic.xlsx,1,Ebinger__1974_Tables3-4,
Falcone_etal_2019,12,1,0,3,Falcone_etal_2019_TABLE1_snapshot.csv; Falcone_etal_2019_TABLE2_snapshot.csv; Falcone_variables.xlsx,2,Falcone_etal_2019_TABLE1.csv; Falcone_etal_2019_TABLE2.csv,2,Falcone_etal_2019_TABLE1; Falcone_etal_2019_TABLE2,
Finlay_etal_2006,9,1,0,2,Finlay_etal_2006_Table6.1_snapshot.xlsx; common_name_to_species.csv,3,Finlay_etal_2006_Table6.1.csv; Finlay_etal_2006_Table6.1_source_attribution.csv; Finlay_etal_2006_exportMSexcel.xlsx,1,Finlay_etal_2006_Table6.1,https://www.researchgate.net/publication/299027052_Developmental_constraints_on_or_developmental_structure_in_brain_evolution
Frahm_Zilles_1994,7,1,0,1,Frahm_Zilles_1994_Table1_snapshot.xlsx,2,frahm_zilles_1994.xlsx; Frahm_Zilles_1994_Table1.csv,2,Frahm_Zilles_1994_Table1; Frahm_Zilles_1994_Table2,
Frahm_etal_1982,7,1,0,2,Frahm_etal_1982_Table2_snapshot.xlsx; frahm_stephan_1982.xlsx,1,Frahm_etal_1982_Table2.csv,1,Frahm_etal_1982_Table2,
Frahm_etal_1984,6,1,0,1,Frahm_etal_1984_Table1_snapshot.xlsx,1,Frahm_etal_1984_Table1.csv,1,Frahm_etal_1984_Table1,
Frahm_etal_1997,6,1,0,1,Frahm_etal_1997_Table1_snapshot.xlsx,1,Frahm_etal_1997_Table1.csv,1,Frahm_etal_1997_Table1,
Frahm_etal_1998,7,1,0,1,Frahm_etal_1998_Table1_snapshot.xlsx,2,Frahm_etal_1998_Table1.csv; frahm_etal_1998.xlsx,1,Frahm_etal_1998_Table1,
Fritsches_etal_2005,5,1,0,1,Fritsches_etal_2005_Fig2_snapshot.csv,1,Fritsches_etal_2005_Fig2.csv,1,Fritsches_etal_2005_Fig2,
Fu_etal_2013,3,1,0,0,,2,Fu_etal_2013_paper.xlsx; Fu_etal_2013_Table1.xlsx,1,Fu_etal_2013_Table1,
Gabi_etal_2016,8,2,0,2,Gabi_etal_2016_TableS1.csv; Gabi_etal_2016_TableS1_snapshot.xlsx,0,,1,Gabi_etal_2016_TableS1,
Garwicz_etal_2009,6,2,0,3,Garwicz_etal_2009_TableS1.csv; Garwicz_etal_2009_TableS1_snapshot.csv; Garwicz_etal_2009_TableS2_snapshot.csv,0,,2,Garwicz_etal_2009_TableS1; Garwicz_etal_2009_TableS2,https://www.pnas.org/doi/suppl/10.1073/pnas.0905777106/suppl_file/0905777106si.pdf
Genoud_etal_2018,7,1,1,3,Genoud_etal_2018_TableS2.csv; brv12350-sup-0002-tables1.pdf; brv12350-sup-0003-tables2.xlsx,0,,1,Genoud_etal_2018_TableS2,
