severity,kind,repo,path,line,found,canonical,in_scope,note
P2,code_string,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.R,52,Armstrong_1979,Armstrong__1979,yes,"primary_codes <- unique(snap$specimen_code[snap$source_group == ""Armstrong_1979""])"
P2,code_string,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.R,84,Armstrong_1979,Armstrong__1979,yes,"filter(table == ""Table1"", source_group == ""Armstrong_1979"", structure == ""LGB"") %>%"
P2,code_string,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.R,107,Armstrong_1979,Armstrong__1979,yes,"snap %>% filter(table == ""Table1"", source_group == ""Armstrong_1979"") %>%"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,2,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,3,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,4,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,5,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,6,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,7,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,8,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,tr"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,9,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,tr"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,10,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,tr"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,11,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,L"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,12,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,M"
