"species_sci","Species","MSW3_ID","Family","Diet_Inv","Diet_Vend","Diet_Vect","Diet_Vfish","Diet_Vunk","Diet_Scav","Diet_Fruit","Diet_Nect","Diet_Seed","Diet_PlantO","Diet_dominant","Diet_breadth","Trophic_guild","Diet_Certainty","ForStrat_Value","ForStrat_stratum","ForStrat_Certainty","Activity_Nocturnal","Activity_Crepuscular","Activity_Diurnal","Activity_pattern","Activity_Certainty","BodyMass.g","BodyMass_SpecLevel"
"Tachyglossus aculeatus","Tachyglossus aculeatus","1","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","G","Ground","A","1","1","0","Nocturnal","ABC",3025,"1"
"Zaglossus attenboroughi","Zaglossus attenboroughi","2","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",8532.39,"0"
"Zaglossus bartoni","Zaglossus bartoni","3","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","G","Ground","A","1","0","0","Nocturnal","ABC",7180,"1"
"Zaglossus bruijni","Zaglossus bruijni","4","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",10139.5,"1"
"Ornithorhynchus anatinus","Ornithorhynchus anatinus","5","Ornithorhynchidae",80,0,0,20,0,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",1484.25,"1"
"Caluromys philander","Caluromys philander","6","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Other plant",5,"Herbivore","ABC","Ar","Arboreal","A","1","1","0","Nocturnal","ABC",229.25,"1"
"Caluromys derbianus","Caluromys derbianus","7","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Other plant",5,"Herbivore","ABC","Ar","Arboreal","A","1","1","0","Nocturnal","ABC",297,"1"
"Caluromys lanatus","Caluromys lanatus","8","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Other plant",5,"Herbivore","ABC","Ar","Arboreal","A","1","1","0","Nocturnal","ABC",325,"1"
"Caluromysiops irrupta","Caluromysiops irrupta","9","Didelphidae",20,0,0,0,0,0,20,40,0,20,"Nectar",4,"Herbivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",250,"1"
"Glironia venusta","Glironia venusta","10","Didelphidae",40,0,0,0,20,0,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",114,"1"
"Chironectes minimus","Chironectes minimus","11","Didelphidae",50,0,0,30,0,0,0,0,0,20,"Invertebrates",3,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",946,"1"
"Didelphis aurita","Didelphis aurita","12","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Vertebrates (unknown)",4,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",1163.99,"1"
"Didelphis imperfecta","Didelphis imperfecta","13","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",1260.04,"0"
"Didelphis marsupialis","Didelphis marsupialis","14","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Vertebrates (unknown)",4,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",1091.16,"1"
"Didelphis pernigra","Didelphis pernigra","15","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Vertebrates (unknown)",4,"Faunivore","D1","S","Scansorial","A","1","0","0","Nocturnal","ABC",1260.04,"0"
"Didelphis virginiana","Didelphis virginiana","16","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Vertebrates (unknown)",4,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",2195.48,"1"
"Didelphis albiventris","Didelphis albiventris","17","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Vertebrates (unknown)",4,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",904,"1"
"Gracilinanus formosus","Gracilinanus formosus","18","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Invertebrates",3,"Omnivore","D1","S","Scansorial","A","1","1","0","Nocturnal","D1",18.9,"0"
"Gracilinanus emiliae","Gracilinanus emiliae","19","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Invertebrates",3,"Omnivore","ABC","S","Scansorial","A","1","1","0","Nocturnal","ABC",7.6,"1"
"Gracilinanus microtarsus","Gracilinanus microtarsus","20","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Invertebrates",3,"Omnivore","ABC","S","Scansorial","A","1","1","0","Nocturnal","ABC",31,"1"
"Gracilinanus marica","Gracilinanus marica","21","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Invertebrates",3,"Omnivore","ABC","S","Scansorial","A","1","1","0","Nocturnal","ABC",23.8,"1"
"Gracilinanus dryas","Gracilinanus dryas","22","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Invertebrates",3,"Omnivore","ABC","S","Scansorial","A","1","1","0","Nocturnal","ABC",18,"1"
"Gracilinanus aceramarcae","Gracilinanus aceramarcae","23","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Invertebrates",3,"Omnivore","ABC","S","Scansorial","A","1","1","0","Nocturnal","ABC",20.5,"1"
"Gracilinanus agricolai","Gracilinanus agricolai","24","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Invertebrates",3,"Omnivore","D1","S","Scansorial","A","1","1","0","Nocturnal","D1",18.9,"0"
"Gracilinanus agilis","Gracilinanus agilis","25","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Invertebrates",3,"Omnivore","ABC","S","Scansorial","A","1","1","0","Nocturnal","ABC",22,"1"
"Gracilinanus ignitus","Gracilinanus ignitus","26","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Invertebrates",3,"Omnivore","D1","S","Scansorial","A","1","1","0","Nocturnal","D1",18.9,"0"
"Hyladelphys kalinowskii","Hyladelphys kalinowskii","27","Didelphidae",60,10,0,0,0,10,20,0,0,0,"Invertebrates",4,"Faunivore","D2","Ar","Arboreal","A","1","0","0","Nocturnal","D2",16.75,"1"
"Lestodelphys halli","Lestodelphys halli","28","Didelphidae",0,100,0,0,0,0,0,0,0,0,"Endotherm vertebrates",1,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",76,"1"
"Lutreolina crassicaudata","Lutreolina crassicaudata","29","Didelphidae",20,40,20,20,0,0,0,0,0,0,"Endotherm vertebrates",4,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",537.3,"1"
"Marmosa murina","Marmosa murina","30","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Invertebrates",5,"Faunivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",26,"1"
"Marmosa xerophila","Marmosa xerophila","31","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Invertebrates",5,"Faunivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",46.2,"1"
"Marmosa tyleriana","Marmosa tyleriana","32","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Invertebrates",5,"Faunivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",32.4,"1"
"Marmosa rubra","Marmosa rubra","33","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Invertebrates",5,"Faunivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",63,"1"
"Marmosa quichua","Marmosa quichua","34","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Invertebrates",5,"Faunivore","D1","Ar","Arboreal","A","1","0","0","Nocturnal","D1",38.23,"0"
"Marmosa mexicana","Marmosa mexicana","35","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Invertebrates",5,"Faunivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",49.45,"1"
"Marmosa lepida","Marmosa lepida","36","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Invertebrates",5,"Faunivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",14,"1"
"Marmosa andersoni","Marmosa andersoni","37","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Invertebrates",5,"Faunivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",47.4,"1"
"Marmosa robinsoni","Marmosa robinsoni","38","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Invertebrates",5,"Faunivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",56.67,"1"
"Marmosops handleyi","Marmosops handleyi","39","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",30.7,"1"
"Marmosops juninensis","Marmosops juninensis","40","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","D1","Ar","Arboreal","A","1","0","0","Nocturnal","D1",31.57,"0"
"Marmosops pinheiroi","Marmosops pinheiroi","41","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","D1",31.57,"0"
"Marmosops paulensis","Marmosops paulensis","42","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","D1","Ar","Arboreal","A","1","0","0","Nocturnal","D1",38.89,"1"
"Marmosops parvidens","Marmosops parvidens","43","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",15,"1"
"Marmosops noctivagus","Marmosops noctivagus","44","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",21,"1"
"Marmosops neblina","Marmosops neblina","45","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","D1","Ar","Arboreal","A","1","0","0","Nocturnal","D1",31.57,"0"
"Marmosops bishopi","Marmosops bishopi","46","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","D1","Ar","Arboreal","A","1","0","0","Nocturnal","D1",19.5,"1"
"Marmosops impavidus","Marmosops impavidus","47","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",40.5,"1"
"Marmosops incanus","Marmosops incanus","48","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",62.3,"1"
"Marmosops fuscatus","Marmosops fuscatus","49","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",60,"1"
"Marmosops dorothea","Marmosops dorothea","50","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",37.5,"1"
"Marmosops cracens","Marmosops cracens","51","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",25.5,"1"
"Marmosops invictus","Marmosops invictus","52","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Invertebrates",2,"Omnivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",29.2,"1"
"Metachirus nudicaudatus","Metachirus nudicaudatus","53","Didelphidae",30,20,20,0,10,0,20,0,0,0,"Invertebrates",5,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",375,"1"
"Micoureus demerarae","Micoureus demerarae","54","Didelphidae",90,0,0,0,0,0,10,0,0,0,"Invertebrates",2,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",75.75,"1"
"Micoureus regina","Micoureus regina","55","Didelphidae",90,0,0,0,0,0,10,0,0,0,"Invertebrates",2,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",118.6,"1"
"Micoureus paraguayanus","Micoureus paraguayanus","56","Didelphidae",30,0,0,0,30,0,20,20,0,0,"Invertebrates",4,"Omnivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",112.43,"1"
"Micoureus constantiae","Micoureus constantiae","57","Didelphidae",90,0,0,0,0,0,10,0,0,0,"Invertebrates",2,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",90,"1"
"Micoureus alstoni","Micoureus alstoni","58","Didelphidae",90,0,0,0,0,0,10,0,0,0,"Invertebrates",2,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",132.3,"1"
"Micoureus phaeus","Micoureus phaeus","59","Didelphidae",90,0,0,0,0,0,10,0,0,0,"Invertebrates",2,"Faunivore","D1","S","Scansorial","A","1","0","0","Nocturnal","ABC",103.76,"0"
"Monodelphis emiliae","Monodelphis emiliae","60","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",40,"1"
"Monodelphis osgoodi","Monodelphis osgoodi","61","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",112,"1"
"Monodelphis umbristriata","Monodelphis umbristriata","62","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","D1","G","Ground","A","1","0","0","Nocturnal","D1",61.54,"0"
"Monodelphis theresa","Monodelphis theresa","63","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",112,"1"
"Monodelphis sorex","Monodelphis sorex","64","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",48,"1"
"Monodelphis scalops","Monodelphis scalops","65","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",741,"1"
"Monodelphis rubida","Monodelphis rubida","66","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",45.5,"1"
"Monodelphis palliolata","Monodelphis palliolata","67","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","D1","G","Ground","A","1","0","0","Nocturnal","D1",61.54,"0"
"Monodelphis unistriata","Monodelphis unistriata","68","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",55.3,"1"
"Monodelphis kunsi","Monodelphis kunsi","69","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",11.3,"1"
"Monodelphis glirina","Monodelphis glirina","70","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","D1","G","Ground","A","1","0","0","Nocturnal","D1",61.54,"0"
"Monodelphis domestica","Monodelphis domestica","71","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",71.4,"1"
"Monodelphis dimidiata","Monodelphis dimidiata","72","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",58,"1"
"Monodelphis brevicaudata","Monodelphis brevicaudata","73","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",69.63,"1"
"Monodelphis americana","Monodelphis americana","74","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",19.5,"1"
"Monodelphis adusta","Monodelphis adusta","75","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",35,"1"
"Monodelphis maraxina","Monodelphis maraxina","76","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",61.57,"2"
"Monodelphis iheringi","Monodelphis iheringi","77","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Invertebrates",5,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",112,"1"
"Philander andersoni","Philander andersoni","78","Didelphidae",30,30,20,0,10,0,10,0,0,0,"Invertebrates",5,"Faunivore","ABC","S","Scansorial","A","1","1","1","Cathemeral","ABC",325,"1"
"Philander opossum","Philander opossum","79","Didelphidae",30,30,20,0,10,0,10,0,0,0,"Invertebrates",5,"Faunivore","ABC","S","Scansorial","A","1","1","1","Cathemeral","ABC",585.5,"1"
"Philander mcilhennyi","Philander mcilhennyi","80","Didelphidae",30,30,20,0,10,0,10,0,0,0,"Invertebrates",5,"Faunivore","D1","S","Scansorial","A","1","1","1","Cathemeral","ABC",325,"1"
"Philander frenatus","Philander frenatus","81","Didelphidae",30,30,20,0,10,0,10,0,0,0,"Invertebrates",5,"Faunivore","D1","S","Scansorial","A","1","1","1","Cathemeral","D1",395.45,"0"
"Thylamys pusillus","Thylamys pusillus","82","Didelphidae",80,0,0,0,10,0,10,0,0,0,"Invertebrates",3,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",28.21,"1"
"Thylamys venustus","Thylamys venustus","83","Didelphidae",80,0,0,0,20,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",24.41,"0"
"Thylamys tatei","Thylamys tatei","84","Didelphidae",80,0,0,0,20,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",24.41,"0"
"Thylamys sponsorius","Thylamys sponsorius","85","Didelphidae",80,0,0,0,20,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",24.41,"0"
"Thylamys velutinus","Thylamys velutinus","86","Didelphidae",80,0,0,0,10,0,10,0,0,0,"Invertebrates",3,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",20.7,"1"
"Thylamys macrurus","Thylamys macrurus","87","Didelphidae",80,0,0,0,10,0,10,0,0,0,"Invertebrates",3,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",34.43,"1"
"Thylamys karimii","Thylamys karimii","88","Didelphidae",80,0,0,0,20,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",24.41,"0"
"Thylamys cinderella","Thylamys cinderella","89","Didelphidae",80,0,0,0,20,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",24.41,"0"
"Thylamys elegans","Thylamys elegans","90","Didelphidae",80,0,0,0,10,0,10,0,0,0,"Invertebrates",3,"Faunivore","ABC","S","Scansorial","A","1","1","0","Nocturnal","ABC",28.9,"1"
"Thylamys pallidior","Thylamys pallidior","91","Didelphidae",80,0,0,0,10,0,10,0,0,0,"Invertebrates",3,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",14.9,"1"
"Tlacuatzin canescens","Tlacuatzin canescens","92","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Invertebrates",5,"Faunivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",47.73,"1"
"Caenolestes caniventer","Caenolestes caniventer","93","Caenolestidae",70,0,0,0,10,0,10,0,0,10,"Invertebrates",4,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",40,"1"
"Caenolestes condorensis","Caenolestes condorensis","94","Caenolestidae",70,0,0,0,10,0,10,0,0,10,"Invertebrates",4,"Faunivore","D1","G","Ground","A","1","0","0","Nocturnal","ABC",47.81,"1"
"Caenolestes convelatus","Caenolestes convelatus","95","Caenolestidae",70,0,0,0,10,0,10,0,0,10,"Invertebrates",4,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",40,"1"
"Caenolestes fuliginosus","Caenolestes fuliginosus","96","Caenolestidae",70,0,0,0,10,0,10,0,0,10,"Invertebrates",4,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",27.8,"1"
"Lestoros inca","Lestoros inca","97","Caenolestidae",70,0,0,0,10,0,10,0,0,10,"Invertebrates",4,"Faunivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",21.1,"1"
"Rhyncholestes raphanurus","Rhyncholestes raphanurus","98","Caenolestidae",80,0,0,0,0,0,0,0,0,20,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",21,"1"
"Dromiciops gliroides","Dromiciops gliroides","99","Microbiotheriidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",22.3,"1"
"Notoryctes caurinus","Notoryctes caurinus","100","Notoryctidae",90,0,0,0,0,0,0,0,10,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",34,"1"
"Notoryctes typhlops","Notoryctes typhlops","101","Notoryctidae",90,0,0,0,0,0,0,0,10,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",55,"1"
"Myrmecobius fasciatus","Myrmecobius fasciatus","103","Myrmecobiidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","G","Ground","A","0","0","1","Diurnal","ABC",471.5,"1"
"Dasycercus cristicauda","Dasycercus cristicauda","104","Dasyuridae",30,70,0,0,0,0,0,0,0,0,"Endotherm vertebrates",2,"Faunivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",100,"1"
"Dasykaluta rosamondae","Dasykaluta rosamondae","105","Dasyuridae",60,0,0,0,40,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",28.75,"1"
"Dasyuroides byrnei","Dasyuroides byrnei","106","Dasyuridae",30,70,0,0,0,0,0,0,0,0,"Endotherm vertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",109.47,"1"
"Dasyurus spartacus","Dasyurus spartacus","107","Dasyuridae",80,20,0,0,0,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",885.67,"1"
"Dasyurus albopunctatus","Dasyurus albopunctatus","108","Dasyuridae",80,20,0,0,0,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",637,"1"
"Dasyurus viverrinus","Dasyurus viverrinus","109","Dasyuridae",70,20,0,0,0,10,0,0,0,0,"Invertebrates",3,"Faunivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",1090,"1"
"Dasyurus geoffroii","Dasyurus geoffroii","110","Dasyuridae",60,20,10,0,0,10,0,0,0,0,"Invertebrates",4,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",1100,"1"
"Dasyurus maculatus","Dasyurus maculatus","111","Dasyuridae",30,60,10,0,0,0,0,0,0,0,"Endotherm vertebrates",3,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",5500,"1"
"Dasyurus hallucatus","Dasyurus hallucatus","112","Dasyuridae",40,30,20,0,0,0,10,0,0,0,"Invertebrates",4,"Faunivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",525,"1"
"Myoictis melas","Myoictis melas","113","Dasyuridae",50,50,0,0,0,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",200,"1"
"Myoictis wallacii","Myoictis wallacii","114","Dasyuridae",50,50,0,0,0,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",200,"0"
"Neophascogale lorentzi","Neophascogale lorentzi","115","Dasyuridae",80,0,0,0,20,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","Ar","Arboreal","A","0","1","1","Diurnal","ABC",212,"1"
"Parantechinus apicalis","Parantechinus apicalis","116","Dasyuridae",70,0,0,0,0,0,0,30,0,0,"Invertebrates",2,"Faunivore","ABC","Ar","Arboreal","A","1","1","1","Cathemeral","ABC",68.75,"1"
"Phascolosorex doriae","Phascolosorex doriae","117","Dasyuridae",70,0,0,0,0,0,30,0,0,0,"Invertebrates",2,"Faunivore","D1","S","Scansorial","A","1","1","0","Nocturnal","ABC",168.31,"1"
"Phascolosorex dorsalis","Phascolosorex dorsalis","118","Dasyuridae",70,0,0,0,0,0,30,0,0,0,"Invertebrates",2,"Faunivore","D1","S","Scansorial","A","1","1","0","Nocturnal","ABC",138.5,"1"
"Pseudantechinus bilarni","Pseudantechinus bilarni","119","Dasyuridae",70,0,0,0,0,0,0,30,0,0,"Invertebrates",2,"Faunivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",23.05,"1"
"Pseudantechinus woolleyae","Pseudantechinus woolleyae","120","Dasyuridae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",40,"1"
"Pseudantechinus roryi","Pseudantechinus roryi","121","Dasyuridae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",25.06,"0"
"Pseudantechinus ningbing","Pseudantechinus ningbing","122","Dasyuridae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",20,"1"
"Pseudantechinus macdonnellensis","Pseudantechinus macdonnellensis","123","Dasyuridae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",32.5,"1"
"Pseudantechinus mimulus","Pseudantechinus mimulus","124","Dasyuridae",90,0,0,0,10,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",16.5,"1"
"Sarcophilus harrisii","Sarcophilus harrisii","125","Dasyuridae",0,0,0,0,0,100,0,0,0,0,"Carrion/scavenge",1,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",10000,"1"
"Antechinus leo","Antechinus leo","126","Dasyuridae",90,0,0,0,10,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",74,"1"
"Antechinus subtropicus","Antechinus subtropicus","127","Dasyuridae",90,0,0,0,10,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",59.5,"1"
"Antechinus stuartii","Antechinus stuartii","128","Dasyuridae",90,10,0,0,0,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",27.5,"1"
"Antechinus minimus","Antechinus minimus","129","Dasyuridae",90,10,0,0,0,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",53.5,"1"
