"species_sci","Species","MSW3_ID","Family","Diet_Inv","Diet_Vend","Diet_Vect","Diet_Vfish","Diet_Vunk","Diet_Scav","Diet_Fruit","Diet_Nect","Diet_Seed","Diet_PlantO","Diet_dominant","Diet_breadth","Trophic_guild","Diet_Certainty","ForStrat_Value","ForStrat_stratum","ForStrat_Certainty","Activity_Nocturnal","Activity_Crepuscular","Activity_Diurnal","Activity_pattern","Activity_Certainty","BodyMass.g","BodyMass_SpecLevel"
"Myotis melanorhinus","Myotis melanorhinus","4606","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis keenii","Myotis keenii","4607","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",6.27,"1"
"Myotis grisescens","Myotis grisescens","4608","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",10.54,"1"
"Myotis hajastanicus","Myotis hajastanicus","4609","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis hasseltii","Myotis hasseltii","4610","Vespertilionidae",90,0,0,10,0,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",8.75,"1"
"Myotis hermani","Myotis hermani","4611","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis horsfieldii","Myotis horsfieldii","4612","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",6.26,"1"
"Myotis hosonoi","Myotis hosonoi","4613","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis ikonnikovi","Myotis ikonnikovi","4614","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.62,"2"
"Myotis martiniquensis","Myotis martiniquensis","4615","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.9,"2"
"Myotis keaysi","Myotis keaysi","4616","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.3,"1"
"Myotis macrotarsus","Myotis macrotarsus","4617","Vespertilionidae",90,0,0,10,0,0,0,0,0,0,"Invertebrates",2,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",12.5,"1"
"Myotis laniger","Myotis laniger","4618","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis leibii","Myotis leibii","4619","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.13,"1"
"Myotis levis","Myotis levis","4620","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.5,"1"
"Myotis longipes","Myotis longipes","4621","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.25,"2"
"Myotis lucifugus","Myotis lucifugus","4622","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.65,"1"
"Myotis macrodactylus","Myotis macrodactylus","4623","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.2,"1"
"Myotis ozensis","Myotis ozensis","4624","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis insularum","Myotis insularum","4625","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",6.52,"2"
"Myotis ridleyi","Myotis ridleyi","4626","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",4.5,"1"
"Myotis oxygnathus","Myotis oxygnathus","4627","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",21.23,"1"
"Myotis sodalis","Myotis sodalis","4628","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",6.91,"1"
"Myotis simus","Myotis simus","4629","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",8.2,"1"
"Myotis siligorensis","Myotis siligorensis","4630","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",2.7,"1"
"Myotis pruinosus","Myotis pruinosus","4631","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.25,"2"
"Myotis thysanodes","Myotis thysanodes","4632","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",8.13,"1"
