Table 1
Literature Cited (Acoustic communication data references)				
"Aitkin, L. M., Nelson, J.E. (1989) Peripheral and Central Auditory Specialization in a Gliding Marsupial, the Feathertail Glider, Acrobates pygmaeus, Brain Behav Evol 33, 325-333."				
"Albert, J. (2008) ""Pituophis catenifer"" (On-line), Animal Diversity Web."				
"Albert, S. (1977) Eleutherodactylus alcoae, Catalogue of American Amphibians and Reptiles, 192.191."				
"Alonso, J. B., Cabrera, J., Shyamnani, R., Travieso, C. M., Bolanos, F., Garcia, A., Villegas, A., and Wainwright, M. (2017) Automatic anuran identification using noise removal and audio activity detection, Expert Systems with Applications 72, 83-92."				
"Alonso, R., Rodríguez, A., Hernández, A. (2005) Eleutherodactylus albipes (NCN). Reproduction. Herpetological Review 36, 433."				
"Amarasinghe, A. A. T., Tiedemann, F., Karunarathna, D. M. S. S. (2011) Calotes nigrilabris Peters, 1860 (Reptilia: Agamidae: Draconinae): a threatened highland agamid lizard in Sri Lanka, Amphibian & Reptile Conservation 5, 90-100."				
"Amarasinghe, A. A. T., Karunarathna, D. M. S. S., and Fujinuma, J. (2014) A New Calotes Species from Sri Lanka with a Redescription of Calotes Liolepis Boulenger, 1885, Herpetologica 70, 323-338."				
"Amezquita, A., Hodl, W., Lima, A. P., Castellanos, L., Erdtmann, L., and De Araujo, M. C. (2006) Masking interference and the evolution of the acoustic communication system in the amazonian dendrobatid frog Allobates femoralis, Evolution 60, 1874-1887."				
"Amos, E. (2017) ""Microdipodops megacephalus"" (On-line), Animal Diversity Web."				
"Amram, M. F., Zainudin, R., and Wahid, H. A. (2018) Mating Calls of Selected Sarawak Toads (Amphibia: Anura: Bufonidae), Sains Malaysiana 47, 1-7."				
"Anderson, R. (2002) ""Castor canadensis"" (On-line), Animal Diversity Web."				
"Anderson, S., Woods, C.,  Morgan, G.,  Oliver, W. (1983) Geocapromys brownii, Mammalian Species 201, 1-5."				
"Andrews, J. (2011) ""Manis tricuspis"" (On-line), Animal Diversity Web."				
"Anna, T. N. (2014) ""Felis catus"" (On-line), Animal Diversity Web."				
"Apostolopoulos, V. (2010) ""Choloepus hoffmanni"" (On-line), Animal Diversity Web."				
"Araujo, K. C., Pansonato, A., Oliveira, R.H., Morais, D.H., Carvalho, V.T., Avila, R.W. (2018) Advertisement call and new distribution records from Brazil of Teratohyla midas (Lynch & Duellman, 1973)(Anura, Centrolenidae), Check List 14, 303-308."				
"Arnold, B. D., and Wilkinson, G. S. (2011) Individual specific contact calls of pallid bats (Antrozous pallidus) attract conspecifics at roosting sites, Behavioral Ecology and Sociobiology 65, 1581-1593."				
"Arnold, E. N., Ovenden, D. W. (2002) A Field Guide to the Reptiles and Amphibians of Britain and Europe, Sencond ed. ed., Herper Collins, London."				
"Askay, S. (2000) ""Ptilocercus lowii"" (On-line), Animal Diversity Web."				
"Aspetberger, F., Brandsen, D.,  Jacobs, D. . (2004) Geographic variation in the morphology, echolocation and diet of the little free-tailed bat, Chaerephon pumilus (Molossidae), African Zoology 38, 245-254."				
"Ast, J. (2003) ""Anguidae"" (On-line), Animal Diversity Web."				
"Ast, J. (2003b) ""Varanidae"" (On-line), Animal Diversity Web."				
"Atwood, E. (2006) ""Vermivora peregrina"" (On-line), Animal Diversity Web."				
"Axley, E. (2002) ""Melanerpes erythrocephalus"" (On-line), Animal Diversity Web."				
"Bachert, E., Gunn, R.,  Dewey, T. (2009) ""Acrocephalus arundinaceus"" (On-line), Animal Diversity Web."				
"Baeckens, S., Edwards, S., Huyghe, K., and Van Damme, R. (2015) Chemical signalling in lizards: an interspecific comparison of femoral pore numbers in Lacertidae, Biological Journal of the Linnean Society 114, 44-57."				
"Baeckens, S., Van Damme, R., and Cooper, W. E. (2017) How phylogeny and foraging ecology drive the level of chemosensory exploration in lizards and snakes, Journal of Evolutionary Biology 30, 627-640."				
"Baker, H. (2013) ""Odobenus rosmarus"" (On-line), Animal Diversity Web."				
"Barker, J., Grigg, G., Tyler, M. (1995) A field guide to Australian frogs. Chipping Norton: Surrey Beatty and Sons. 407 p."				
"Bandara, I. N. (2012) Territorial and site fidelity behavior of Lyriocephalus scutatus (Agamidae: Draconinae) in Sri Lanka Amphibian & Reptile Conservation 5, 101-113."				
"Barclay, R. M. R., Fullard, J. H., and Jacobs, D. S. (1999) Variation in the echolocation calls of the hoary bat (Lasiurus cinereus): influence of body size, habitat structure, and geographic location, Canadian Journal of Zoology-Revue Canadienne De Zoologie 77, 530-534."				
"Barklow, W. E. (2004) Amphibious communication with sound in hippos, Hippopotamus amphibius, Animal Behaviour 68, 1125-1132."				
