"Stephan_code","Species_Stephan1988","BoW_g","BrW_mg","EI","activity","diet_category","locomotion","ecoethology_refs","source"
"0577","Tenrec ecaudatus",832,2570,0.91,NA,NA,NA,NA,"Stephan_etal_1988"
"0579","Setifer setosus",248,1510,1.14,NA,NA,NA,NA,"Stephan_etal_1988"
"0581","Hemicentetes semispinosus",110,830,1.05,NA,NA,NA,NA,"Stephan_etal_1988"
"0585","Echinops telfairi",87.5,620,0.9,NA,NA,NA,NA,"Stephan_etal_1988"
"1263","Tupaia glis",170,3200,3.07,NA,NA,NA,NA,"Stephan_etal_1988"
"1269","Tupaia minor",120,2580,3.08,NA,NA,NA,NA,"Stephan_etal_1988"
"1289","Urogale everetti",275,4280,3.03,NA,NA,NA,NA,"Stephan_etal_1988"
"3199","Microcebus murinus",54,1780,3.52,"N","1","AQP","4,8,13,16,20,21","Stephan_etal_1988"
"3203","Cheirogaleus major",450,6800,3.53,"N","2","AQP","4,8,10,13,20,21","Stephan_etal_1988"
"3205","Cheirogaleus medius",177,3140,2.94,"N","2","AQP","4,8,13,16,21","Stephan_etal_1988"
"3216","Lemur fulvus",1400,23300,5.92,"D","3a","AQP","8,10,16,20,21","Stephan_etal_1988"
"3227","Varecia variegata",3000,31500,4.95,"D","3a","AQP","4,7,8,20,21","Stephan_etal_1988"
"3239","Lepilemur ruficaudatus",915,7600,2.53,"N","3b","VCL","4,5,16,21","Stephan_etal_1988"
"3243","Avahi laniger laniger",1285,10490,2.81,"N","3b","VCL","4,5,8,10,19,20,21","Stephan_etal_1988"
"3244","Avahi l. occidentalis",860,9670,3.34,"N","3b","VCL","4,5,8,10,19,20,21","Stephan_etal_1988"
"3247","Propithecus verreauxi",3480,26700,3.82,"D","3c","VCL","4,5,8,10,16,17,20,21","Stephan_etal_1988"
"3249","Indri indri",6250,38300,3.79,"D","3c","VCL","4,5,7,10,16,17,20","Stephan_etal_1988"
"3251","Daubentonia madagascariensis",2800,45150,7.42,"N","1","AQP","4,8,16,20,21","Stephan_etal_1988"
"3253","Loris tardigradus",322,6600,4.23,"N","1","SCQ","4,7,8,10,16,21","Stephan_etal_1988"
"3255","Nycticebus coucang",800,12500,4.52,"N","1","SCQ","4,7,8,16,21","Stephan_etal_1988"
"3259","Perodicticus potto",1150,14000,4.03,"N","2","SCQ","4,7,8,10,13,15,16,21","Stephan_etal_1988"
"3265","Galago senegalensis",186,4800,4.35,"N","2","VCL","4,8,15,16,21","Stephan_etal_1988"
"3267","Otolemur crassicaudatus",850,10300,3.59,"N","2","VCL","4,7,10,13,15,16","Stephan_etal_1988"
"3275","Galagoides demidoff",81,3380,5.17,"N","1","VCL","4,8,10,15,16,21","Stephan_etal_1988"
"3282","Tarsius spp.",125,3600,4.19,"N","1","VCL","4,7,8,18,21","Stephan_etal_1988"
"3287","Callithrix jacchus",280,7600,5.32,"D","2","NAQ","1,4,5,7,10,12","Stephan_etal_1988"
"3289","Cebuella pygmaea",120,4150,4.96,"D","2","NAQ","1,4,5,6,12","Stephan_etal_1988"
"3305","Saguinus midas",340,10300,6.39,"D","2","NAQ","1,4,5,12","Stephan_etal_1988"
"3311","Saguinus oedipus",380,10000,5.78,"D","2","NAQ","1,4,5,10,12","Stephan_etal_1988"
"3315","Callimico goeldii",480,11000,5.49,"D","2","NAQ","1,4,5,12","Stephan_etal_1988"
"3317","Cebus albifrons",3100,71000,10.9,"D","2","NAQ","1,3,4,5,9","Stephan_etal_1988"
"3325","Aotus trivirgatus",830,17100,6.04,"N","2","NAQ","1,4,10","Stephan_etal_1988"
"3327","Callicebus moloch",900,19000,6.38,"D","2","NAQ","1,4","Stephan_etal_1988"
"3335","Saimiri sciureus",660,24000,9.8,"D","2","NAQ","1,3,4,7,10","Stephan_etal_1988"
"3341","Pithecia monachus",1500,35000,8.52,"D","2","NAQ","1,3,4","Stephan_etal_1988"
"3363","Alouatta seniculus",6400,52000,5.07,"D","3","NSB","2,3,4,5,9","Stephan_etal_1988"
"3371","Ateles geoffroyi",8000,108000,9.16,"D","2","NSB","2,3,4,5,9,10,11","Stephan_etal_1988"
"3379","Lagothrix lagothricha",5200,101000,11.2,"D","2","NSB","2,3,4,5,7","Stephan_etal_1988"
"3391","Macaca mulatta",7800,93000,8.01,"D","2","OTQ","3,4;5,7,9,11,14","Stephan_etal_1988"
"3407","Cercocebus albigena",7900,104000,8.89,"D","2","OAQ","3,4,5,11,14","Stephan_etal_1988"
"3415","Papio anubis",25000,201000,8.31,"D","2","OTQ","3,4,5,9,11,14","Stephan_etal_1988"
"3433","Cercopithecus ascanius",3400,67000,9.74,"D","2","OAQ","3,4,14","Stephan_etal_1988"
"3453","Cercopithecus mitis",6300,75000,7.39,"D","2","OAQ","3,4,7,14","Stephan_etal_1988"
"3469","Miopithecus talapoin",1200,40000,11.2,"D","2","OAQ","7,14","Stephan_etal_1988"
"3473","Erythrocebus patas",7800,108000,9.3,"D","2","OTQ","3,4,5,7,14","Stephan_etal_1988"
"3477","Colobus badius",7000,78000,7.19,"D","3","OSB","2,3,4,5,11,14","Stephan_etal_1988"
"3493","Pygathrix nemaeus",7500,77000,6.8,"D","3","OSB","5,14","Stephan_etal_1988"
"3499","Nasalis larvatus",14000,97000,5.78,"D","3","OSB","2,3,4,5,14","Stephan_etal_1988"
"3539","Hylobates lar",5700,102000,10.7,"D","2","OTB","2,3,4,5,7,11","Stephan_etal_1988"
"3549","Pan troglodytes",46000,405000,11.4,"D","2","OMB","2,3,4,5,7,10,11","Stephan_etal_1988"
"3551","Gorilla gorilla",105000,500000,8.37,"D","3","OMB","2,3,4,5,7,10,11","Stephan_etal_1988"
