"species_sci","Species","taxon_group","AG_own_mm2","FI_own","T_own_mm","AG_other_mm2","FI_other","T_other_mm","Reference"
"Marmota mitis","Marmota mitis","Marsupialia",NA,NA,NA,219,1,0.806,"1"
"Didelphis virginiana","Didelphis virginiana","Marsupialia",NA,NA,NA,660,1.119,0.826,"1"
"Wallabia rufogrisea","Wallabia rufogrisea","Marsupialia",NA,NA,NA,2165,1.23,2.471,"1"
"Macropus melanops","Macropus melanops","Marsupialia",NA,NA,NA,3745,1.413,2.243,"1"
"Procavia capensis","Procavia capensis","Afrotheria",2113,1.355,1.482,NA,NA,NA,"17"
"Dendrohyrax dorsalis","Dendrohyrax dorsalis","Afrotheria",1895,1.36,1.598,NA,NA,NA,"17"
"Loxodonta africana","Loxodonta africana","Afrotheria",257067,4.137,2.633,313750,3.84,2.234,"15, 1"
"Setifer setosus","Setifer setosus","Afrotheria",NA,NA,NA,216,1,0.944,"1"
"Elephantulus fuscipes","Elephantulus fuscipes","Afrotheria",NA,NA,NA,233,1,0.865,"1"
"Potamogale velox","Potamogale velox","Afrotheria",NA,NA,NA,414,1,1.618,"1"
"Rhychocyon stuhlmanni","Rhychocyon stuhlmanni","Afrotheria",NA,NA,NA,715,NA,1.406,"1"
"Trichechus manatus","Trichechus manatus","Afrotheria",NA,NA,NA,6300,1.06,4.23,"23"
"Mus musculus","Mus musculus","Glires",148,1.019,0.725,NA,NA,NA,"20"
"Rattus norvegicus","Rattus norvegicus","Glires",356,1.043,1.212,322,1,NA,"20, 1"
"Cavia porcellus","Cavia porcellus","Glires",536,1.044,1.515,NA,NA,NA,"20"
"Dasyprocta promnolopha","Dasyprocta promnolopha","Glires",1413,1.171,1.846,NA,NA,NA,"20"
"Hydrochoerus hydrochoeris","Hydrochoerus hydrochoeris","Glires",6005,1.304,2.814,NA,NA,NA,"20"
"Oryctolagus cuniculus","Oryctolagus cuniculus","Glires",NA,NA,NA,690,1.15,NA,"1"
"Dolychotus sp.","Dolychotus sp.","Glires",NA,NA,NA,3255,1.418,2.012,"1"
"Tupaia glis","Tupaia glis","Scandentia",NA,NA,NA,645,NA,0.946,"1"
