,VENs in FI,VEN CE Gunderson m = 1,VEN CE Schmitz-Hof 1st,Neurons in FI,Neuron CE Gunderson m = 1,Neuron CE Schmitz-Hof 1st,VEN %
Elephant 1 right hemisphere,"10,200",0.05,0.05,"1,300,000",0.05,0.04,0.78%
Elephant 1 left hemisphere,"9,110",0.08,0.08,"348,000",0.06,0.09,2.6%
