"species","common_name","habitat_depth","retinal_q10_light_adapted","fff_at_10c_hz","fff_at_20c_hz","n","r_squared","source"
"Xiphias gladius","swordfish","Deep-diving (surface to ~500 m)",5.1,5,NA,NA,0.8,"Fig. 2A and text (p. 55)"
"Thunnus albacares","yellowfin tuna","Surface-living",2.3,NA,NA,5,0.72,"Fig. 2B and text (p. 55)"
"Thunnus obesus","bigeye tuna","Deep-diving",2.5,NA,NA,6,0.76,"Fig. 2B and text (p. 55)"
