Common name,Species,Habitat descriptor as printed,Retinal Q10 (light-adapted),n,r-squared,Source in paper
Swordfish,Xiphias gladius,,5.1,6,0.80,text p. 55 and Fig. 2A legend
Yellowfin tuna,Thunnus albacares,surface-living,2.3,5,0.72,text p. 55 and Fig. 2B legend
Bigeye tuna,Thunnus obesus,deep-diving,2.5,6,0.76,text p. 55 and Fig. 2B legend
