"species","cerebellum_mm3","diencephalon_mm3","telencephalon_mm3","bulbus_olfactorius_mm3","septum_mm3","striatum_mm3","schizo_cortex_mm3","hippocampus_mm3","neocortex_mm3","palaeocortex_mm3","amygdala_mm3","source"
"Rattus norvegicus",233.7,1770,232.33,153.06,943.52,62.23,18.82,90.48,63.18,97.46,495.12,"Frahm_etal_1997"
"Spalax ehrenbergi",112.9,NA,298.8,176.91,1122,74.6,25.6,132.13,77.04,121.75,550.67,"Frahm_etal_1997"
