"Specimen","Species","Group","Seymour_flow__BGU","Seymour_flow__ratio_MH","Boyer_ACA_scaled__BGU","Boyer_ACA_scaled__ratio_MH","s4_volume__BGU","s4_volume__ratio_MH","n_teams","teams","consensus_ratio_MH","consensus_ratio_sd","consensus_BGU_umol_min"
"Amud 1","Homo neanderthalensis","Neanderthal",NA,NA,NA,NA,391.1,1.191,1,"s4_volume",1.191,NA,510.4
"La Ferrassie 1","Homo neanderthalensis","Neanderthal",NA,NA,NA,NA,377.3,1.149,1,"s4_volume",1.149,NA,492.4
"Mladeč 1","Homo sapiens","H. sapiens (early/recent)",NA,NA,NA,NA,361.8,1.101,1,"s4_volume",1.101,NA,471.8
"Cro-Magnon 1","Homo sapiens","H. sapiens (early/recent)",NA,NA,NA,NA,359.9,1.096,1,"s4_volume",1.096,NA,469.7
"M3-A343","H. sapiens (Bushman)","H. sapiens (early/recent)",471.8,1.101,436.2,1.029,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",1.065,0.051,456.4
"BC1","H. sapiens","H. sapiens (early/recent)",445.5,1.04,431.5,1.018,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",1.029,0.016,441
"La Chapelle-aux-Saints 1","H. neanderthalensis","Neanderthal",404.6,0.944,450.3,1.062,341.6,1.04,3,"Seymour_flow; Boyer_ACA_scaled; s4_volume",1.015,0.063,435.1
"AS8078","H. sapiens","H. sapiens (early/recent)",428.6,1,423.9,1,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",1,0,428.6
"Qafzeh 9","Homo sapiens","H. sapiens (early/recent)",NA,NA,NA,NA,322.7,0.982,1,"s4_volume",0.982,NA,420.8
"M4-A344","H. sapiens (Bushman)","H. sapiens (early/recent)",409.9,0.956,419,0.988,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.972,0.023,416.6
"LH 18","H. sapiens","H. sapiens (early/recent)",351.5,0.82,385.2,0.909,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.865,0.063,370.5
"Skhul 5","H. sapiens","H. sapiens (early/recent)",276.7,0.646,385.3,0.909,316.7,0.964,3,"Seymour_flow; Boyer_ACA_scaled; s4_volume",0.84,0.17,359.8
"Kabwe (Broken Hill)","H. heidelbergensis","early Homo",327,0.763,385.8,0.91,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.837,0.104,358.5
"Forbes' Quarry 1","H. neanderthalensis","Neanderthal",355,0.828,366.7,0.865,267.7,0.815,3,"Seymour_flow; Boyer_ACA_scaled; s4_volume",0.836,0.026,358.3
"Sambungmacan 3","H. erectus","early Homo",293.7,0.685,296,0.698,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.692,0.009,296.3
"Ngandong 14 (Solo XI)","H. erectus (soloensis)","early Homo",261,0.609,317.6,0.749,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.679,0.099,291
"Sangiran 12","H. erectus","early Homo",228.3,0.533,297,0.701,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.617,0.119,264.4
"OH 9","H. erectus","early Homo",222.4,0.519,291.9,0.689,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.604,0.12,258.8
"Ndutu","H. heidelbergensis","early Homo",187.4,0.437,293.5,0.692,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.565,0.18,241.9
"KNM-ER 42700 (IIIeret)","H. erectus","early Homo",178.1,0.416,216.5,0.511,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.464,0.067,198.6
"OH 24","H. habilis","early Homo",138.4,0.323,176.9,0.417,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.37,0.066,158.6
"AL 166-9","A. afarensis","Australopithecus",138.4,0.323,163.4,0.386,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.355,0.045,151.9
"KNM-ER 1470","H. rudolfensis","early Homo",102.8,0.24,190,0.448,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.344,0.147,147.4
"STW 98h","A. africanus","Australopithecus",91.7,0.214,136.9,0.323,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.268,0.077,115.1
"STW 329h","A. africanus","Australopithecus",88.7,0.207,135.5,0.32,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.264,0.08,112.9
"DH3 (Rising Star)","H. naledi","early Homo",82.9,0.193,136.6,0.322,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.258,0.091,110.4
"STW 255h","A. africanus","Australopithecus",77.1,0.18,129.9,0.306,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.243,0.089,104.1
"Dmanisi D2700","H. georgicus","early Homo",61.3,0.143,144.7,0.341,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.242,0.14,103.7
"AL 333-105","A. afarensis","Australopithecus",80.6,0.188,122.1,0.288,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.238,0.071,102
"STS 25h","A. africanus","Australopithecus",70.1,0.163,126.3,0.298,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.23,0.095,98.8
"Sts 5","A. africanus","Australopithecus",60.1,0.14,124.6,0.294,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.217,0.109,93
"Sts 19","A. africanus","Australopithecus",63.6,0.149,119,0.281,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.215,0.093,92.1
"MLD 37 / 38","A. africanus","Australopithecus",60.7,0.142,117.5,0.277,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.21,0.095,89.8
"STW 53g","A. africanus","Australopithecus",49.6,0.116,114.2,0.269,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.192,0.108,82.5
"LB1","H. floresiensis","early Homo",46.1,0.108,104.7,0.247,NA,NA,2,"Seymour_flow; Boyer_ACA_scaled",0.178,0.098,76.1
