canonical_specimen,record_type,collection,wherelocated,located,species,other sp.,subspecies,source,Art. Nr.,Tier Nr.,Frahm Species,other code,Macleod code,my working code,name or nickname,box slide catalog code,inst code,simple code,Sex,Age (Yr),taxon_flag
CAT-046,specimen,,Ddorf,,Cebus sp.,,,,,,,CEBUS I  FRONTAL,H1,,,I,,I,M,A,
CAT-047,specimen,,Ddorf,,Cercocebus albigena,,,Congo,,,,CERCOCEBUS A221,H1,,,A221,A,221,M,A,
CAT-048,specimen,Stephan,Ddorf,X,Cercocebus albigena,,,,3407,242,,,,ca_242,,242,,242,M,,
CAT-049,specimen,Stephan,Ddorf,,Cercopithecus ascanius,,,,3433,58,,,,,,A58,,58,F,,
CAT-050,specimen,Stephan,Ddorf,,Cercopithecus ascanius,,,,3433,219,231.0,,,,,219,,219,F,,
CAT-051,specimen,Stephan,Ddorf,X,Cercopithecus mitis,,,,3453,261,,,,cma,,261,,261,M,,
CAT-052,specimen,,Ddorf,,Cercopithecus sp.,,,,,,,CERCOPITHECUS S,H1,,,,,,,,
CAT-053,specimen,,Ddorf,,Cercopithecus sp.,,,,,,,CERCOPITHECUS CER,H2,,,,,,M,A,
CAT-054,specimen,Stephan,Ddorf,,Cheirogaleus major,,,,3203,56,,,,,,56,,56,M,,
CAT-055,specimen,Stephan,Ddorf,,Cheirogaleus major,,,,3203,1062,,,,,,1062,,1062,M,,
CAT-056,specimen,Stephan,Ddorf,,Cheirogaleus medius,,,,3205,70,,,,,,70,,70,M,,
CAT-057,specimen,Stephan,Ddorf,,Cheirogaleus medius,,,,3205,71,,,,,,71,,71,M,,
CAT-058,specimen,Stephan,Ddorf,,Daubentonia madagascariensis,,,,3251,53,136.0,,,,,53,,53,F,,
CAT-059,specimen,Zilles from Stephan,Ddorf,,Erythrocebus patas,,,,,,,PATAS 1545,H1,,,1545,,1545,M,JUV,
CAT-060,specimen,Stephan,Ddorf,X,Erythrocebus patas,,,,3473,1340,,,,ep1,,1340,,1340,F,,
CAT-061,specimen,Stephan,Ddorf,,Erythrocebus patas,,,,3473,1341,,,,,,1341,,1341,F,,
CAT-062,specimen,Stephan,Ddorf,X,Eulemur fulvus,Lemur fulvus,,,3216,7,118.0,,,lf_m7,,7,,7,M,,alt-species-listed
CAT-063,specimen,Stephan,Ddorf,,Eulemur fulvus,Lemur fulvus,,,3216,78,,,,,,78,,78,M,,alt-species-listed
CAT-064,specimen,Stephan,Ddorf,,Eulemur fulvus,Lemur fulvus,,,3216,82,,,,,,82,,82,M,,alt-species-listed
CAT-065,specimen,Stephan,Ddorf,,Galago senegalensis,,,,3265,338,,,,,,338,,338,F,,
CAT-066,specimen,Stephan,Ddorf,X,Galagoides demidoff,,,,3275,87,142.0,,,gd_87,,87,,87,M,,
CAT-067,specimen,Stephan,Ddorf,,Galagoides demidoff,,,,3275,102,,,,,,102,,102,F,,
CAT-068,specimen,Stephan,Ddorf,,Galagoides demidoff,,,,3275,A281,,,,,,A281,,281,F,,
CAT-069,specimen,Stephan,Ddorf,X,Gorilla gorilla,,?East lowland,Belgian Congo (bilota),3551,375,,,H1,gga,,A375,A,375,M,JUV,subspecies-mismatch
CAT-070,specimen,Zilles,Ddorf,X,Gorilla gorilla,,,Yerkes,,,,,H3,ggy,Jinji,YN82/140,YN,82140,F,20,
CAT-071,specimen,Stephan,Ddorf,,Gorilla gorilla,,,Congo (Uti),,,,,H2,,,1001,,1001,U,A,
CAT-072,specimen,Zilles,Ddorf,,Gorilla gorilla,,,,,,,1931605,,,Moshe,,,,,,
CAT-073,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,Case 7,H6,hs14,,SN146/86,SN,14686,M,37,
CAT-074,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,,hs16,,1696,,1696,M,54,
CAT-075,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,,hs18,,18992,,18992,m,56,
CAT-076,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,,hs20,,20784,,20784,m,75,
CAT-077,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,,hs28,,28193,,28193,m,69,
CAT-078,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,,hs29,,295,,295,f,85,
CAT-079,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,Case 5,H3,hs38,,SN382/81,SN,38281,F,59,
CAT-080,specimen,Zilles,Ddorf,X,Homo sapiens,,,,,,,,,hs5,,54491,,54491,F,79,
CAT-081,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,,hs56,,5694,,5694,f,72,
CAT-082,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,,hs6,,6895,,6895,F,79,
CAT-083,specimen,Stephan,Ddorf,,Homo sapiens,,,,3553,1044,280.0,,,,,1044,,1044,M,,
CAT-084,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,H5,,,14/94,,1494,F,43,
CAT-085,specimen,,Ddorf,,Homo sapiens,,,,,,,,,,,2431,,2431,,,
CAT-086,specimen,,Ddorf,,Homo sapiens,,,,,,,,,,,3903,,3903,,,
CAT-087,specimen,,Ddorf,,Homo sapiens,,,,,,,,,,,7186,,7186,,,
CAT-088,specimen,,Ddorf,,Homo sapiens,,,,,,,,,,,34083,,34083,,,
CAT-089,specimen,,Ddorf,,Homo sapiens,,,,,,,,,,,64679,,64679,,,
CAT-090,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,H1,,,139/95,,13995,M,74,
CAT-091,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,H7,,,SN201/86,SN,20186,M,72,
CAT-092,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,H8,,,SN503/81,SN,50381,F,75,
CAT-093,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,H4,,,SN71/84,SN,7184,F,77,
CAT-094,specimen,Zilles,Ddorf,,Homo sapiens,,,,,,,,H2,,,H9/88,H,988,M,21,
CAT-095,specimen,Zilles,Ddorf,X,Hylobates lar,,,Yerkes,,,,GPZ-5542,H4,hld,Disco,3/97,,397,F,22,
CAT-096,specimen,Zilles,Ddorf,X,Hylobates lar,,,Yerkes,,,,,H1,hly,,YN81/146,YN,81146,F,A,
CAT-097,specimen,Stephan,Ddorf,X,Hylobates lar,,,Trader,3539,1203,271.0,,H5,,,1203,,1203,M,A,
CAT-098,specimen,Zilles from Stephan,Ddorf,,Hylobates lar,,,Wild,,,,,H3,,,1547,,1547,M,JUV,
CAT-099,specimen,,Ddorf,,Hylobates lar,,,,,,,,,,,1960/60,,196060,,,
CAT-100,specimen,Zilles from Stephan,Ddorf,,Hylobates lar,Hylobates sp.,,,,,,,H2,,,2436,,2436,,,alt-species-listed
CAT-101,specimen,Stephan,Ddorf,X,Indri indri,,,,3249,193,,,,ii_193,,193,,193,M,,
CAT-102,specimen,Stephan,Ddorf,,Indri indri,,,,3249,192,133.0,,,,,192,,192,F,,
CAT-103,specimen,Stephan,Ddorf,,Lagothrix lagothricha,,,,3379,1142,,,,,,1142,,1142,U,,
CAT-104,specimen,Stephan,Ddorf,,Lagothrix lagothricha,,,,3379,1164,186.0,,,,,1164,,1164,U,,
CAT-105,specimen,Stephan,Ddorf,,Lagothrix lagothricha,,,,3379,1571,,,,,,1571,,1571,F,,
CAT-106,specimen,Stephan,Ddorf,,Lepilemur ruficaudatus,,,,3239,73,,,,,,73,,73,F,,
CAT-107,specimen,Stephan,Ddorf,,Lepilemur ruficaudatus,,,,3239,81,,,,,,81,,81,F,,
CAT-108,specimen,Stephan,Ddorf,,Lepilemur ruficaudatus,,,,3239,84,117.0,,,,,84,,84,F,,
CAT-109,specimen,Stephan,Ddorf,X,Loris tardigradus,,,,3253,964,,,,lt_946,,964,,964,M,,
CAT-110,specimen,Stephan,Ddorf,,Loris tardigradus,,,,3253,1218,,,,,,1218,,1218,F,,
CAT-111,specimen,,Ddorf,X,Macaca fascicularis,,,,,,,,,mf2,,ma22,,ma22,M,3,
CAT-112,specimen,Zilles,Ddorf,X,Macaca mulatta,,,,,,,RHESUS R4,H2,mm4,,R4,,R4,,A,
CAT-113,specimen,Stephan,Ddorf,?,Macaca mulatta,,,,3391,1104,,,,,,1104,,1104,U,,
CAT-114,specimen,Zilles,Ddorf,X,Macaca mulatta,,,,,,,,,mmd,,DP1,,DP1,U,,
CAT-115,specimen,Zilles,Ddorf,,Macaca mulatta,,,,,,,RHESUS 516,H1,,,516,,516,F,A,
CAT-116,specimen,Stephan,Ddorf,,Macaca mulatta,,,,3391,476,,,,,,476,,476,U,,
CAT-117,specimen,Stephan,Ddorf,,Microcebus murinus,,,,3199,19,114.0,,,,,19,,19,F,,
CAT-118,specimen,Stephan,Ddorf,,Microcebus murinus,,,,3199,40,114.0,,,,,40,,40,M,,
CAT-119,specimen,Stephan,Ddorf,,Microcebus murinus,,,,3199,54,,,,,,54,,54,F,,
CAT-120,specimen,Stephan,Ddorf,,Microcebus murinus,,,,3199,87,114.0,,,,,87,,87,F,,
CAT-121,specimen,Stephan,Ddorf,,Microcebus murinus,,,,3199,1051,,,,,,1051,,1051,F,,
CAT-122,specimen,Stephan,Ddorf,,Microcebus murinus,,,,3199,1078,114.0,,,,,1078,,1078,F,,
CAT-123,specimen,Stephan,Ddorf,X,Miopithecus talapoin,,,,3469,1171,,,,mt_1171,,1171,,1171,M,,
CAT-124,specimen,Stephan,Ddorf,X,Miopithecus talapoin,,,,3469,1201,,,,mt1,,1201,,1201,F,,
CAT-125,specimen,Stephan,Ddorf,X,Nasalis larvatus,,,,3499,1365,,,,nl1,,1365,,1365,F,,
CAT-126,specimen,Stephan,Ddorf,,Nycticebus coucang,,,,3255,1153,,,,,,1153,,1153,F,,
CAT-127,specimen,Stephan,Ddorf,,Nycticebus coucang,,,,3255,1187,138.0,,,,,1187,,1187,F,,
CAT-128,specimen,Stephan,Ddorf,X,Otolemur crassicaudatus,,,,3267,1100,,,,oc_1100,,1100,,1100,M,,
CAT-129,specimen,Stephan,Ddorf,,Otolemur crassicaudatus,,,,3267,1173,,,,,,1173,,1173,M,,
CAT-130,specimen,Zilles,Ddorf,X,Pan paniscus,,,Yerkes,,,,,H1,ppy,Mulika,YN86/137,YN,86137,F,2,
CAT-131,specimen,Zilles,Ddorf,X,Pan paniscus,,,Yerkes,,,,,H2,ppz,Zahlia,1/97,,197,F,11,
CAT-132,specimen,Stephan (!?),Ddorf,X,Pan troglodytes,,,"Tampa, USA",,,,Schimp 1,H3,pt1,,1,,1,F,22,
CAT-133,specimen,Zilles,Ddorf,X,Pan troglodytes,,,Yerkes,,,,WPZ-486,H4,ptb,Bathesha,4/97,,497,F,24,
CAT-134,specimen,Zilles from Stephan,Ddorf,X,Pan troglodytes,,,,3549,1548,,,H2,ptd,,1548,,1548,U,,
CAT-135,specimen,Zilles,Ddorf,X,Pan troglodytes,,,Yerkes,,,,,H1,pty,Harv,YN89/278,YN,89278,M,22,
CAT-136,specimen,Stephan,Ddorf,,Pan troglodytes,,Pan Troglodytes schweinfurthi,Bafa,,,,Schimpanse 278,H6,,,278,,278,F,A,subspecies-mismatch
CAT-137,specimen,Stephan,Ddorf,X,Pan troglodytes,,Pan Troglodytes schweinfurthi,Belgian Congo,3549,280,277.0,Schimpanse 280,H5,,,280,,280,M,,subspecies-mismatch
CAT-138,specimen,Stephan,Ddorf,,Pan troglodytes,,Pan Troglodytes schweinfurthi,Beananbo,,,,Schimpanse A269,H7,,,A269,A,269,M,JUV,subspecies-mismatch
CAT-139,specimen,Stephan,Ddorf,,Papio anubis,,,,3415,97,212.0,,,,,97,,97,F,,
CAT-140,specimen,Stephan,Ddorf,,Papio anubis,,,,3415,251,,,,,,251,,251,M,,
CAT-141,specimen,Zilles from Armstrong,Ddorf,,Papio cynocephalus,,,,,,,PAPIO CYNOCEPHALUS P3,H1,,,P3,P,3,F,5.5,
CAT-142,specimen,Zilles from Armstrong,Ddorf,,Papio cynocephalus,,,,,,,PAPIO C.  P4,H2,,,P4,P,4,F,5.5,
CAT-143,specimen,Stephan,Ddorf,X,Perodicticus potto,,,,3259,70,,,,pp_A70,,A70,,70,M,,
CAT-144,specimen,Stephan,Ddorf,,Perodicticus potto,,,,3259,924,,,,,,924,,924,U,,
CAT-145,specimen,Stephan,Ddorf,X,Pithecia monachus,,,,3341,1180,,,,pm_1180,,1180,,1180,M,,
CAT-146,specimen,Stephan,Ddorf,,Pithecia monachus,,,,3341,1194,,,,,,1194,,1194,M,,
CAT-147,specimen,Zilles,Ddorf,X,Pongo pygmaeus,,,Yerkes,,,,,H4,oub,Briggs,5/97,,597,M,34,
CAT-148,specimen,Zilles,Ddorf,X,Pongo pygmaeus,,,Yerkes,,,,,H3,ouh,Harry,2/97,,297,M,37,
CAT-149,specimen,Zilles,Ddorf,X,Pongo pygmaeus,,,,,,,,H1,oun,,0475,,0475,F,neonate,
CAT-150,specimen,Zilles,Ddorf,X,Pongo pygmaeus,,Pongo pygmaeus abeli,Yerkes,,,,,H2,ouy,,YN85/38,YN,8538,M,16.5,sumatran-in-pygmaeus
CAT-151,specimen,Zilles,Ddorf,X,Pongo pygmaeus,,sumatra,,,,,,,,,0459,,0459,F,A,sumatran-in-pygmaeus
CAT-152,specimen,,Ddorf,X,Pongo pygmaeus,,,,,,,,,,,OI,,I,,,
CAT-153,specimen,,Ddorf,X,Pongo pygmaeus,,,,,,,,,,,OII,,II,,newborn,
CAT-154,specimen,Stephan,Ddorf,X,Procolobus badius,Colobus badius,,,3477,213,246.0,,,pba,,213,,213,F,,alt-species-listed
CAT-155,specimen,Stephan,Ddorf,X,Procolobus badius,Colobus badius,,,3477,216,,,,,,216,,216,F,,alt-species-listed
CAT-156,specimen,Stephan,Ddorf,X,Propithecus verreauxi,,,,3247,89,132.0,,,pv_89,,89,,89,M,,
CAT-157,specimen,Stephan,Ddorf,,Propithecus verreauxi,,,,3247,100,132.0,,,,,100,,100,F,,
CAT-158,specimen,Stephan,Ddorf,X,Pygathrix nemaeus,,,,3493,1364,,,,pn1,,1364,,1364,F,,
CAT-159,specimen,Stephan,Ddorf,,Saguinus midas,,,,3305,1182,,,,,,1182,,1182,F,,
CAT-160,specimen,Stephan,Ddorf,X,Saguinus midas,,,,3305,1183,,,,sm_1183,,1183,,1183,M,,
CAT-161,specimen,Stephan,Ddorf,X,Saguinus oedipus,,,,3311,979,,,,so_3311,,979,,979,M,,
CAT-162,specimen,Stephan,Ddorf,,Saguinus oedipus,,,,3311,1220,,,,,,1220,,1220,M,,
CAT-163,specimen,Stephan,Ddorf,,Saguinus oedipus,,,,3311,1222,,,,,,1222,,1222,F,,
CAT-164,specimen,Zilles from Stephan,Ddorf,,Saimiri sciureus,,,,,,,SAIMIRI 1064,H1,,,1064,,1064,F,,
CAT-165,specimen,Zilles from Stephan,Ddorf,,Saimiri sciureus,,,,,,,SAIMIRI 2408,H2,,,2408,,2408,M,A,
CAT-166,specimen,Stephan,Ddorf,X,Saimiri sciureus,,,,3335,1039,192.0,,,,,1039,,1039,M,,
CAT-167,specimen,Stephan,Ddorf,,Tarsius syrichta,Tarsius sp.,,,3282,1033,147.0,,,,,1033,,1033,F,,alt-species-listed
CAT-168,specimen,Stephan,Ddorf,,Tarsius syrichta,Tarsius sp.,,,3282,1333,,,,,,1333,,1333,F,,alt-species-listed
CAT-169,specimen,Stephan,Ddorf,X,Varecia variegatus,,,,3227,191,,,,vv_m191,,191,,191,M,,
CAT-170,specimen,GWU,GWU,,Cercopithecus kandti,Cercopithecus mitis,,,,,,,,,,,,201202,M,A,alt-species-listed
CAT-171,specimen,GWU,GWU,,Colobus angolensis,,,,,,,,,,,,,M00652,M,18,
CAT-172,specimen,GWU,GWU,,Hylobates muelleri,,,,,,,,,,Mel,,,970431,M,18.6,
CAT-173,specimen,GWU,GWU,,Pan paniscus,,,,,,,,,ppm,Milwaukee,MCZ-2007-52,,MCZ-2007-52,F,25,
CAT-174,specimen,GWU,GWU,,Pongo pygmaus,,,,,,,,,,,,,100344,M,39,
CAT-175,specimen,GWU,GWU,,Symphalangus syndactylus,,,,,,,Siamang 1,,ss1,Siamang 1,880804,,880804,M,33,
CAT-176,specimen,GWU,GWU,,Trachypithecus francoisi,,,,,,,,,,,,,,M,,
CAT-177,specimen,Mount Sinai,Mount Sinai,,Gorilla gorilla,,,,,,,,,,Willy B?,,,,,,
CAT-178,specimen,Mount Sinai,Mount Sinai,,Macaca fascicularis,,,,,,,,,mft,TicToc,,,,,,
CAT-179,specimen,Mount Sinai,Mount Sinai,,Pan troglodytes,,,,,,,,,ptc,Bananas,,,,,,
CAT-180,specimen,Mount Sinai,Mount Sinai,,Pongo pygmaeus,,,,,,,,,,PP?,,,,,,
CAT-181,specimen,UCSD?,UCSD,,Homo sapiens,,,,,,,,,,,,,CS025,m,44,
