canonical_specimen,record_type,collection,wherelocated,located,species,other sp.,subspecies,source,Art. Nr.,Tier Nr.,Frahm Species,other code,Macleod code,my working code,name or nickname,box slide catalog code,inst code,simple code,Sex,Age (Yr),taxon_flag
CAT-001,specimen,Yakovlev-Haleem,AFIP,,Pan troglodytes,,,,,,,CHIMP1,,ptc1,,3.1.1.0.1,,1,F,,
CAT-002,specimen,Yakovlev-Haleem,AFIP,,Pan troglodytes,,,,,,,CHIMP3,,ptc3,Abel,3.1.1.0.3,,3,M,6 or 7,
CAT-003,specimen,Welker,AFIP,,Pan troglodytes,,,,,,,,,ptw1,,56_49,,5649,,,
CAT-004,specimen,Welker,AFIP,,Pan troglodytes,,,,,,,,,ptw2,,53_31,,5331,,,
CAT-005,specimen,,Ddorf,,?,,,,,,,,,,Brian,,,,,,
CAT-006,specimen,,Ddorf,,?,,,,,,,,,,Jill,,,,,,
CAT-007,specimen,,Ddorf,,?,,,,,,,,,,Lorel,,,,,,
CAT-008,specimen,,Ddorf,,?,,,,,,,,,,Lulu,,,,,,
CAT-009,specimen,,Ddorf,,?,,,,,,,,,,Minyak,,,,,,
CAT-010,specimen,,Ddorf,,?,,,,,,,,,,Molek,,,,,,
CAT-011,specimen,,Ddorf,,?,,,,,,,,,,Zora,,,,,,
CAT-012,specimen,Zilles from Stephan,Ddorf,,Alouatta seniculus,,,,,,,ALOUATTA 1961/8,H1,,,1961/8,,19618,M,JUV,
CAT-013,specimen,Zilles from Stephan,Ddorf,,Alouatta seniculus,,,,,,,ALOUATTA 1961/9,H2,,,1961/9,,19689,F,5-7 wks,
CAT-014,specimen,Stephan,Ddorf,X,Alouatta seniculus,,,,3363,1172,,,,,,1172,,1172,M,,
CAT-015,specimen,Stephan,Ddorf,,Alouatta seniculus,,,,3363,1184,178.0,,,,,1184,,1184,M,,
CAT-016,specimen,Stephan,Ddorf,,Aotus trivirgatus,,,,3325,1081,,,,,,1081,,1081,F,,
CAT-017,specimen,Stephan,Ddorf,,Aotus trivirgatus,,,,3325,387,,,,,,387,,387,U,,
CAT-018,specimen,,Ddorf,,Aotus trivirgatus,,,,,,,AOTUS 888,H3,,,888,,888,,A,
CAT-019,specimen,Stephan,Ddorf,,Aotus trivirgatus,,,,3325,1076,171.0,,,,,1076,,1076,F,,
CAT-020,specimen,Stephan,Ddorf,,Aotus trivirgatus,,,,3325,1084,,,,,,1084,,1084,U,,
CAT-021,specimen,,Ddorf,,Aotus trivirgatus,,,,,,,AOTUS 1535,H4,,,1535,,1535,F,(blank),
CAT-022,specimen,Zilles,Ddorf,,Aotus trivirgatus,,,,,,,AOTUS 1536,H1,,,1536,,1536,F,,
CAT-023,specimen,Zilles,Ddorf,,Aotus trivirgatus,,,,,,,AOTUS K197,H2,,,K197,K,197,F,A,
CAT-024,specimen,Stephan,Ddorf,X,Aotus trivirgatus,,,,3325,112,,,,at_1960/122,,112,,112,M,,
CAT-025,specimen,Stephan,Ddorf,X,Ateles geoffroyi,,,,3371,1000,,,,ag_1000,,1000,,1000,M,,
CAT-026,specimen,,Ddorf,,Ateles paniscus,,,,,,,ATELES 1541,H2,,,1541,,1541,M,JUV,
CAT-027,specimen,,Ddorf,,Ateles paniscus,,,,,,,ATELES 2412,H1,,,2412,,2412,,,
CAT-028,specimen,,Ddorf,,Ateles paniscus,,,,,,,ATLES 1538,H3,,,1538,,1538,M,JUV,
CAT-029,specimen,Stephan,Ddorf,,Avahi laniger laniger,,,,3243,129,,,,,,129,,129,F,,
CAT-030,specimen,Stephan,Ddorf,,Avahi laniger laniger,,,,3243,135,,,,,,135,,135,F,,
CAT-031,specimen,Stephan,Ddorf,X,Avahi laniger occidentalis,,,,3244,109,,,,al_109,,109,,109,M,,
CAT-032,specimen,Stephan,Ddorf,,Avahi laniger occidentalis,,,,3244,69,131.0,,,,,69,,69,F,,
CAT-033,specimen,Stephan,Ddorf,X,Callicebus moloch,,,,3327,1181,,,,cm_1181,,1181,,1181,M,,
CAT-034,specimen,Stephan,Ddorf,,Callicebus moloch,,,,3327,1190,,,,,,1190,,1190,F,,
CAT-035,specimen,Stephan,Ddorf,,Callimico goeldii,,,,3315,621,,,,,,621,,621,U,,
CAT-036,specimen,Stephan,Ddorf,,Callithrix jacchus,,,,3287,475,,,,,,475,,475,U,,
CAT-037,specimen,Stephan,Ddorf,,Callithrix jacchus,,,,3287,2543,,,,,,2543,,2543,M,,
CAT-038,specimen,Stephan,Ddorf,,Callithrix jacchus,,,,3287,2545,151.0,,,,,2545,,2545,M,,
CAT-039,specimen,Stephan,Ddorf,X,Callithrix jacchus,,,,3287,1955,,,,,,1955,,1955,M,,
CAT-040,specimen,Stephan,Ddorf,X,Callithrix jacchus,,,,3287,1928,,,,,,,,1928,,,
CAT-041,specimen,Stephan,Ddorf,X,Cebuella pygmaea,,,,3289,5923,156.0,,,,,5923,,5923,M,,
CAT-042,specimen,Stephan,Ddorf,,Cebuella pygmaea,,,,3289,5925,,,,,,5925,,5925,M,,
CAT-043,specimen,Stephan,Ddorf,X,Cebus albifrons,Cebus sp.,,,3317,1200,191.0,,,ca_1200,,1200,,1200,M,,alt-species-listed
CAT-044,specimen,Stephan,Ddorf,,Cebus albifrons,Cebus sp.,,,"3317, 3324",6062,,,,,,6062,,6062,F,,alt-species-listed
CAT-045,specimen,,Ddorf,X,Cebus sp.,,,,,,,CEBUS 5,H2,,,5,,5,,A,
