canonical_specimen,taxon,Kochiyama_cerebellum_Vol.cc,Weaver_cerebellum_Vol.cc,ratio_Koch_over_Weaver,diff_cc,Weaver_group,Weaver_brain_mass.g,Kochiyama_cerebrum_Vol.cc,method_note
La Chapelle-aux-Saints 1,Neanderthal,140,119.01,1.176,20.99,12-LAH,1516.76,1159,Koch: cerebellum reconstructed (GM+WM) by deforming MRI brains; Weaver: cerebellum from 3D virtual endocast models
La Ferrassie 1,Neanderthal,166,118.33,1.403,47.67,12-LAH,1575.83,1268,Koch: cerebellum reconstructed (GM+WM) by deforming MRI brains; Weaver: cerebellum from 3D virtual endocast models
Gibraltar 1 (Forbes’ Quarry 1),Neanderthal,106,81.71,1.297,24.29,12-LAH,1185.58,912,Koch: cerebellum reconstructed (GM+WM) by deforming MRI brains; Weaver: cerebellum from 3D virtual endocast models
Cro-Magnon 1,early Homo sapiens,156,118.92,1.312,37.08,13-EMH,1477.34,1208,Koch: cerebellum reconstructed (GM+WM) by deforming MRI brains; Weaver: cerebellum from 3D virtual endocast models
