Table 1. Data on total MOB (layers 1-6 + periventricular zone).
code number of species,species name,n,volume in mm3,SEM in %,size index,MOB in %0 of net brain,MOB in %0 of telencephalon
,Basal Insectivora,,,,,,
0577,Tenrec ecaudatus,3,314,5.9,120,136,223
0579,Setifer setosus,2,209,1.8,160,149,231
0581,Hemicentetes semispin.,1,93.6,-,114,124,213
0585,Echinops telfairi,2*,71.2,11.5,98,126,212
0689,Erinaceus algirus1,3,285,15.2,112,100,161
0695,Erinaceus europaeus,5*,332,3.3,125,109,172
0701,Hemiechinus auritus,3,175,9.2,133,102,163
0715,Sorex araneus,5*,15.7,9.0,73,83,135
0769,Sorex minutus,1,8.65,-,59,84,142
0943,Crocidura flavescens2,2,37.6,6.2,99,92,156
1071,Crocidura russula,2*,16.3,5.4,74,92,154
1137,Suncus murinus,1,34.2,-,79,97,164
,Progressive Insectivora,,,,,,
0575,Solenodon paradoxus,2*,464 +,4.0,170,108,179
0589,Oryzorictes talpoides,1,46.9,-,96,87,141
0595,Microgale cowani,1,35.9,-,135,92,145
0601,Microgale dobsoni3,1,53.6,-,130,104,164
0629,Microgale talazaci4,1,74.3,-,141,100,157
0633,Limnogale mergulus,1,42.9,-,58,41,83
0637,Potamogale velox,2,86.0,4.5,38,22,44
0639,Micropotamogale lamottei,3,34.1 +,24.2,56,46,84
0643,Chrysochloris asiatica,1,58.5,-,112,89,136
0645,Chrysochloris stuhlmanni5,2*,60.6,8.2,131,87,133
0839,Neomys fodiens,2,15.8,18.4,59,53,90
1205,Desmana moschata,1,141,-,78,39,66
1207,Galemys pyrenaicus,2,39.0,3.9,69,32,53
1215,Talpa europaea,2*,59.6,13.0,89,63,108
,Scandentia,,,,,,
1263,Tupaia glis,20*,131,8.2,125,44,70
1269,Tupaia minor,2,94.3,3.9,148,39,65
1289,Urogale everetti,1,184,-,133,46,76
,Primates,,,,,,
,Prosimians,,,,,,
3199,Microcebus murinus,6*,43.0,9.2,78,26,38
3203,Cheirogaleus major,2,158,5.7,86,25,37
3205,Cheirogaleus medius,2,102,7.3,94,34,53
3215,Lemur albifrons6,3,207,8.1,59,9.3,13
3227,Varecia variegata7,1,369,-,68,12,18
3239,Lepilemur ruficaudatus,3,113,20.5,41,16,24
3243,Avahi laniger laniger,2,89.2,7.4,27,9.1,14
3244,Avahi l. occidentalis,2*,70.1,16.7,26,7.7,12
3247,Propithecus verreauxi,2*,147,16.6,25,5.9,8.7
3249,Indri indri,2*,168,23.9,20,4.6,6.6
3251,Daubentonia madagascar.,1,685,-,131,16,23
3253,Loris tardigradus,1,85.8,-,56,14,19
3255,Nycticebus coucang,2,159,0.1,62,14,19
3259,Perodicticus potto,2,310,16.0,99,23,33
3265,Galago senegalensis,1,79.2,-,71,18,26
3267,Otolemur crassicaudatus8,2,166,9.6,63,17,25
3275,Galagoides demidoff9,2*,83.1,5.2,120,26,37
3282,Tarsius spp.,2,18.8,12.4,21,5.5,8.3
,Simians,,,,,,
3287,Callithrix jacchus,3,22.6+,22.6,16,3.1,4.3
3289,Cebuella pygmaea,2,12.3,2.0,13,2.9,4.0
3306,Saguinus midas10,2*,17.3,6.8,11,1.8,2.5
3311,Saguinus oedipus,3*,19.1,22.7,11,2.0,2.7
3315,Callimico goeldii,1,27.0,-,14,2.6,3.5
3324,Cebus spp.,2*,39.9,26.8,7.2,0.6,0.8
3325,Aotus trivirgatus,3,61.0+,18.1,23,3.8,5.0
3327,Callicebus moloch,2*,19.2,8.1,7.0,1.1,1.4
3335,Saimiri sciureus,1,26.8,-,12,1.2,1.5
3341,Pithecia monachus,2,34.8,11.2,9.5,1.1,1.4
3366,Alouatta spp.,2,41.4,14.9,5.0,0.8,1.1
3371,Ateles geoffroyi,1,90.4,-,9.5,0.9,1.1
3379,Lagothrix lagothricha,3,73.4,10.2,9.9,0.8,1.0
3391,Macaca mulatta,1,84.3,-,9.0,1.0,1.2
3407,Cercocebus albigena,1,121,-,13,1.2,1.6
3415,Papio anubis,2*,287,5.5,16,1.5,1.9
3433,Cercopithecus ascanius,1,99.5,-,17,1.6,1.9
3453,Cercopithecus mitis,1,117,-,14,1.7,2.1
3469,Miopithecus talapoin11,2*,27.8,25.4,8.6,0.7,0.9
3473,Erythrocebus patas,2,51.8,26.1,5.5,0.5,0.6
3477,Colobus badius,2,51.3,1.7,5.8,0.7,0.9
3493,Pygathrix nemaeus,1,10.7,-,1.2,0.15,0.2
3499,Nasalis larvatus,1,30.3,-,2.3,0.3,0.4
3539,Hylobates lar,1,43.9,-,5.6,0.45,0.6
3549,Pan troglodytes,1,257,-,10,0.7,0.8
3551,Gorilla gorilla,1,316,-,7.7,0.7,0.85
3553,Homo sapiens,1,114,-,3.6,0.09,0.1
,Macroscelidea,,,,,,
7993,Elephantulus fuscipes,2,63.3,4.3,112,51,90
8011,Rhynchocyon cirnei12,2,426,5.1,220,75,128
,Means,,,,,,
0577-0585,Tenrecinae,3,4,6.4,123,134,220
0689-0701,Erinaceidae,3,3,9.2,123,104,165
0715-1137,Soricidae (terrest.),3,5,6.9,77,90,150
,Basal Insectivora,9,12,7.5,104,108,177
0589-0633,Oryzorictinae,0,5,-,112,85,138
0637-0639,Potamogalinae,2,2,14.4,47,34,64
0643-0645,Chrysochloridae,1,2,8.2,122,88,135
1205-1215,Talpidae,2,3,8.5,79,45,76
,Progr. Insectivora,7,14,10.9,97,66,113
0575-1215,Insectivora,16,26,9.0,100,87,143
1263-1289,Scandentia,2,3,6.1,135,43,70
3199-3205,Cheirogaleidae,3,3,7.4,86,28,43
3215-3239,Lemuridae,2,3,14.3,56,12,18
3243-3249,Indriidae,4,4,16.2,25,6.8,10
3253-3275,Lorisidae,4,6,7.7,79,19,27
3199-3282,Prosimians,14,18,11.3,64,16,23
3287-3315,Callitrichidae,4,5,13.5,13,2.5,3.4
3324-3379,Cebidae,6,8,14.9,10,1.3,1.7
3391-3473,Cercopithecinae,3,7,19.0,12,1.2,1.5
3477-3499,Colobinae,1,3,1.7,3.1,0.4,0.5
3391-3499,Cercopithecidae,4,10,14.7,9.2,0.9,1.2
3539-3551,Pongidae,0,3,-,7.8,0.6,0.8
3287-3553,Simians,14,27,14.4,9.9,1.3,1.6
3199-3553,Primates,28,45,12.9,31,7.0,10
7993-8011,Macroscelidea,2,2,4.7,166,63,109
Footnotes to Table 1,,,,,,,
"Classification and species names were adapted to the list given by CORBET and HILL (1980). Names differing from those used in former papers and in STEPHAN et al. (1981a) are: 1 Aethechinus algirus. 2 Crocidura occidentalis, 3 Nesogale dobsoni, 4 Nesogale talazaci, 5 Chlorotalpa stuhlmanni, 6 Lemur fulvus, 7 Lemur variegatus, 8 Galago crassicaudatus, 9 Galago demidovii, 10 Saguinus tamarin, 11 Cercopithecus talapoin, 12 Rhynchocyon stuhlmanni.",,,,,,,
n Number of individuals; 2* n is number of measured MOBs.,,,,,,,
* In these species both sexes are present.,,,,,,,
+ Figures slightly different from those given by STEPHAN et al. (1981a) because of re-examination and/or additional data.,,,,,,,
N Number of species.,,,,,,,
The first N refers to the number of species (with more than one animal investigated) which were used to calculate the figures in column 3. The second N refers to the number of species (with one or more individuals) which were included to calculate the figures given in columns 4-6.,,,,,,,
