status,flag_reason,code_join,code_snapshot,code_csv,species_snapshot,species_csv_baron1983,n_snapshot,n_snapshot_num,n_csv,n_csv_num,volume_snapshot,volume_snapshot_num,volume_csv,volume_csv_num,n_match,volume_match,faithful_name_match
matched_by_code,faithful-name transcription typo in CSV,581,0581,581,Hemicentetes semispin.,Hemicentetes semispinosus,1,1,1,1,93.6,93.6,93.6,93.6,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,589,0589,589,Oryzorictes talpoides,Oryzorictes hova,1,1,1,1,46.9,46.9,46.9,46.9,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,601,0601,601,Microgale dobsoni3,Nesogale dobsoni,1,1,1,1,53.6,53.6,53.6,53.6,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,629,0629,629,Microgale talazaci4,Nesogale talazaci,1,1,1,1,74.3,74.3,74.3,74.3,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,633,0633,633,Limnogale mergulus,Microgale mergulus,1,1,1,1,42.9,42.9,42.9,42.9,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,689,0689,689,Erinaceus algirus1,Atelerix algirus,3,3,3,3,285,285,285,285,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,3215,3215,3215,Lemur albifrons6,Eulemur fulvus,3,3,3,3,207,207,207,207,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,3243,3243,3243,Avahi laniger laniger,Avahi laniger,2,2,2,2,89.2,89.2,89.2,89.2,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,3244,3244,3244,Avahi l. occidentalis,Avahi occidentalis,2*,2,2*,2,70.1,70.1,70.1,70.1,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,3251,3251,3251,Daubentonia madagascar.,Daubentonia madagascariensis,1,1,1,1,685,685,685,685,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,3282,3282,3282,Tarsius spp.,Tarsius sp.,2,2,2,2,18.8,18.8,18.8,18.8,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,3289,3289,3289,Cebuella pygmaea,Callithrix pygmaea,2,2,2,2,12.3,12.3,12.3,12.3,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,3324,3324,3324,Cebus spp.,Cebus albifrons,2*,2,2*,2,39.9,39.9,39.9,39.9,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,3366,3366,3366,Alouatta spp.,Alouatta seniculus,2,2,2,2,41.4,41.4,41.4,41.4,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,3407,3407,3407,Cercocebus albigena,Lophocebus albigena,1,1,1,1,121,121,121,121,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,3477,3477,3477,Colobus badius,Piliocolobus badius,2,2,2,2,51.3,51.3,51.3,51.3,TRUE,TRUE,FALSE
matched_by_code,faithful-name transcription typo in CSV,3551,3551,3551,Gorilla gorilla,Gorilla sp.,1,1,1,1,316,316,316,316,TRUE,TRUE,FALSE
