Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,binomial harmonized to project key,,Species,,primary,Primates + carnivores,Bush_Allman_2004_a,via _keys/Allman/species_key.csv,
species_as_published,species as printed in Table 2,,Species,,primary,,Bush_Allman_2004_a,title-case as published,
frontal_grey_cm3,frontal cortex grey matter volume,FrontalGrey,Volume.cm3,,primary,,Bush_Allman_2004_a,FrG,
rest_of_cortex_grey_cm3,rest-of-cortex grey matter volume,CortexGreyRest,Volume.cm3,,primary,,Bush_Allman_2004_a,RoG,
frontal_ratio,frontal grey / (frontal + rest-of-cortex grey),FrontalGrey,ratio,,primary,,Bush_Allman_2004_a,FrRat,
whole_brain_cm3,whole brain volume,WholeBrain,Volume.cm3,,primary,,Bush_Allman_2004_a,WhBr,
neocortex_grey_cm3,neocortex grey matter volume,NeocortexGrey,Volume.cm3,,primary,,Bush_Allman_2004_a,NeoG; ~3-12% < Frahm,
neocortex_white_cm3,neocortex white matter volume,NeocortexWhite,Volume.cm3,,primary,,Bush_Allman_2004_a,NeoW,
activity,activity pattern (D/N/C),,ActivityPattern,,secondary,,Bush_Allman_2004_a,Act,
diet,diet category,,Diet,,secondary,,Bush_Allman_2004_a,,
group_type,social group type,,SocialGroup,,secondary,,Bush_Allman_2004_a,Gr,
group_size,mean group size,,GroupSize,,secondary,,Bush_Allman_2004_a,Grsz,
source,source identifier,,Source,,primary,,Bush_Allman_2004_a,,
