species	species_as_published	frontal_grey_cm3	rest_of_cortex_grey_cm3	frontal_ratio	whole_brain_cm3	neocortex_grey_cm3	neocortex_white_cm3	activity	diet	group_type	group_size	source
Eulemur mongoz	Eulemur mongoz	2.84	5.35	0.53	22.24	8.2	3.83	C	NA	NA	2.6	Bush_Allman_2004_a
Galago senegalensis	Galago senegalensis	0.3	1.04	0.29	3.58	1.34	0.23	N	I	S	NA	Bush_Allman_2004_a
Lemur catta	Lemur catta	2.74	6.22	0.44	21	8.96	2.12	D	FGS	T	18	Bush_Allman_2004_a
Microcebus murinus	Microcebus murinus	0.09	0.5	0.18	1.65	0.59	0.1	N	I	S	NA	Bush_Allman_2004_a
Nycticebus coucang	Nycticebus coucang	1.16	3.25	0.36	11.27	4.4	1.07	N	FGS	S	NA	Bush_Allman_2004_a
Otolemur crassicaudatus	Otolemur crassicaudatus	0.88	2.21	0.4	7.11	3.1	0.57	N	FGS	S	NA	Bush_Allman_2004_a
Perodicticus potto	Perodicticus Potto	1.32	2.59	0.51	10.16	3.91	0.64	N	FGS	S	NA	Bush_Allman_2004_a
Propithecus verreauxi	Propithecus verreauxi	2.25	7.59	0.3	25.19	9.84	2.35	D	NA	NA	NA	Bush_Allman_2004_a
Daubentonia madagascariensis	Daubentonia madagascariensis	7	12.79	0.55	41.07	19.79	4.28	N	FGS	S	NA	Bush_Allman_2004_a
Cheirogaleus medius	Cheirogaleus medius	0.23	0.66	0.35	2.63	0.89	0.13	N	FGS	S	NA	Bush_Allman_2004_a
Odocoileus virginianus	Odocoileus virginianus	NA	NA	NA	140.74	51.96	24.38	NA	NA	NA	NA	Bush_Allman_2004_a
Tayassu tajacu	Tayassu tajacu	NA	NA	NA	48.28	18.36	6.96	NA	NA	NA	NA	Bush_Allman_2004_a
Llama glama	Llama glama	10.87	94.08	0.12	281.27	104.95	58.67	NA	NA	NA	NA	Bush_Allman_2004_a
Marmosa mitis	Marmosa mitis	NA	NA	NA	0.77	0.12	0.01	NA	NA	NA	NA	Bush_Allman_2004_a
Didelphis marsupialis	Didelphis marsupialis	NA	NA	NA	5.89	0.94	0.15	NA	NA	NA	NA	Bush_Allman_2004_a
Myrmecophaga tridactyla	Myrmecophaga tridactyla	NA	NA	NA	78.04	19.86	8.58	NA	NA	NA	NA	Bush_Allman_2004_a
Tamandua tetradactyla	Tamandua tetradactyla	NA	NA	NA	24.64	7.25	2.16	NA	NA	NA	NA	Bush_Allman_2004_a
Choloepus didactylis	Choloepus didactylis	2.1	5.81	0.36	25.56	7.91	2.63	NA	NA	NA	NA	Bush_Allman_2004_a
Procavia capensis	Procavia capensis	0.79	3.37	0.23	12.68	4.17	1.33	NA	NA	NA	NA	Bush_Allman_2004_a
Equus burchelli	Equus burchelli	NA	NA	NA	371.75	148.88	88.36	NA	NA	NA	NA	Bush_Allman_2004_a
Applodontia rufa	Applodontia rufa	NA	NA	NA	5.6	1.48	0.38	NA	NA	NA	NA	Bush_Allman_2004_a
Chinchilla laniger	Chinchilla laniger	NA	NA	NA	5.15	1.16	0.27	NA	NA	NA	NA	Bush_Allman_2004_a
Myoxus glis	Myoxus glis	NA	NA	NA	2	0.49	0.07	NA	NA	NA	NA	Bush_Allman_2004_a
Rattus norvegicus	Rattus norvegicus	NA	NA	NA	1.69	0.53	0.05	NA	NA	NA	NA	Bush_Allman_2004_a
Sciurus carolinensis	Sciurus carolinensis	NA	NA	NA	7.7	2.48	0.44	NA	NA	NA	NA	Bush_Allman_2004_a
Ailurus fulgens	Ailurus fulgens	2.96	10.86	0.27	36.62	13.82	6.25	NA	NA	NA	1	Bush_Allman_2004_a
Canis latrans	Canis latrans	5.48	24.94	0.22	73.16	30.42	15.55	NA	NA	NA	5	Bush_Allman_2004_a
Crocuta crocuta	Crocuta crocuta	13.36	42.91	0.31	134.31	56.27	28.93	NA	NA	NA	55	Bush_Allman_2004_a
Galictis vitatus	Galictis vitatus	2.53	6.57	0.39	19.36	9.09	2.72	NA	NA	NA	NA	Bush_Allman_2004_a
Mustela putorius	Mustela putorius	0.69	1.45	0.48	5.88	2.14	0.57	NA	NA	NA	NA	Bush_Allman_2004_a
Mustela vison	Mustela vison	1.25	3.49	0.36	11	4.75	1.21	NA	NA	NA	NA	Bush_Allman_2004_a
Mustela erminea	Mustela erminea	0.41	0.94	0.44	3.89	1.35	0.23	NA	NA	NA	1	Bush_Allman_2004_a
Nasua narica	Nasua narica	3.15	8.98	0.35	30.19	12.13	4.8	NA	NA	NA	10	Bush_Allman_2004_a
Panthera leo	Panthera leo	12.27	63.03	0.19	192.64	75.3	45.79	NA	NA	NA	8.7	Bush_Allman_2004_a
Potos flavus	Potos flavus	3.41	9.76	0.35	38.24	13.17	6.16	NA	NA	NA	NA	Bush_Allman_2004_a
Procyon lotor	Procyon lotor	2.97	10.21	0.29	34.1	13.18	5.51	NA	NA	NA	1	Bush_Allman_2004_a
Ursus maritimus	Ursus maritimus	29.38	69.69	0.42	281	99.07	73.01	NA	NA	NA	1	Bush_Allman_2004_a
Vulpes zerda	Vulpes zerda	0.81	4.93	0.16	13.32	5.73	1.53	NA	NA	NA	NA	Bush_Allman_2004_a
Zalophus californianus	Zalophus californianus	32.4	181.26	0.18	455.7	213.66	88.72	NA	NA	NA	NA	Bush_Allman_2004_a
Cynictis penicillata	Cynictis penicillata	1.02	3.88	0.26	14.23	4.9	2.02	NA	NA	NA	NA	Bush_Allman_2004_a
