paper_folder,table,column,n_distinct,n_matched,match_rate,looks_like_row_index,registered,column_rejected,tier,species_code_overlap_rate
Kochiyama_etal_2018,Kochiyama_etal_2018_FossilSpecimensText.csv,Specimen,8,8,1,FALSE,FALSE,FALSE,A_register_now,0
deSousa_etal_2009,deSousa_etal_2009_Table1.csv,code,9,9,1,FALSE,FALSE,FALSE,A_register_now,0
deSousa_etal_2009,deSousa_etal_2009_Table1.csv,archive_number,9,9,1,FALSE,FALSE,FALSE,A_register_now,0
Barger_etal_2007,Barger_etal_2007_Table1.csv,specimen,12,12,1,FALSE,TRUE,FALSE,A_register_now,0
Smaers_etal_2010,Smaers_etal_2010_Table1_Stephan_specimen_data_via_Frahm.csv,catalogue_number,16,16,1,FALSE,TRUE,FALSE,A_register_now,0.125
Smaers_etal_2011,Smaers_etal_2011_SupplementaryTable2.csv,catalogue_number,26,25,0.9615384615384616,FALSE,TRUE,FALSE,A_register_now,0.076923077
Smaers_etal_2011,Smaers_etal_2011_SupplementaryTable1.csv,catalogue_number,26,25,0.9615384615384616,FALSE,TRUE,FALSE,A_register_now,0.076923077
Smaers_etal_2010,Smaers_etal_2010_Table1.csv,catalogue_number,18,17,0.9444444444444444,FALSE,TRUE,FALSE,A_register_now,0.1111111111111111
Matano_etal_1985_b,Matano_etal_1985_b_Table1.csv,code,48,43,0.8958333333333334,FALSE,FALSE,FALSE,A_register_now,0
MacLeod__2000,MacLeod__2000_APPENDIXI.csv,primary_identifier,44,38,0.8636363636363636,FALSE,FALSE,FALSE,A_register_now,0
deSousa_etal_2010,deSousa_etal_2010_Table1.csv,code,29,24,0.8275862068965517,FALSE,TRUE,FALSE,A_register_now,0
Matano_etal_1985_a,Matano_etal_1985_a_Table1.csv,code,56,43,0.7678571428571429,FALSE,FALSE,FALSE,A_register_now,0.017857142857142856
Stephan_etal_1984,Stephan_etal_1984_Table1.csv,code,53,36,0.6792452830188679,FALSE,FALSE,FALSE,B_review_then_register,0
MacLeod__2000,MacLeod__2000_APPENDIXI.csv,identifier_raw,47,29,0.6170212765957447,FALSE,FALSE,FALSE,B_review_then_register,0
MacLeod__2000,MacLeod__2000_APPENDIXI.csv,alternate_identifiers,47,29,0.6170212765957447,FALSE,FALSE,FALSE,B_review_then_register,0
Collins_etal_2010,Collins_etal_2010_DatasetS1.csv,specimen,5,3,0.6,FALSE,TRUE,FALSE,B_review_then_register,0
Baron_etal_1983,Baron_etal_1983_Table1.csv,code_Baron1983,76,41,0.5394736842105263,FALSE,FALSE,FALSE,B_review_then_register,0
Young_etal_2013_b,Young_etal_2013_b_Table1.csv,case,4,2,0.5,FALSE,TRUE,FALSE,B_review_then_register,0
Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table1.csv,Individual,43,21,0.4883720930232558,FALSE,FALSE,FALSE,B_review_then_register,0
Ebinger__1974,Ebinger__1974_Tables3-4.csv,individual,10,4,0.4,FALSE,FALSE,FALSE,C_rejected_series_code_collision,0
