"taxon_group","Species","VT_mm3","VG_mm3","VW_mm3","AT_mm2","T_mm","AE_mm2","N"
"Rodentia","Mus musculus",115.9,107.1,8.8,147.8,0.725,145,6845000
"Rodentia","Rattus norvegicus",495.4,430.8,64.6,355.5,1.212,341,15510000
"Rodentia","Cavia porcellus",906.9,412.4,94.5,536.1,1.044,514,21755000
"Rodentia","Dasyprocta primnolopha",3280.4,2607.8,672.5,1412.7,1.171,1206,56320000
"Rodentia","Hydrochoerus hydrochoeris",21883.8,16896.5,4987.3,6004.5,1.304,4603,153150000
"Primata","Callithrix jacchus",2923.2,2036.1,887.1,1534,1.327,1306,120330000
"Primata","Otolemur garnettii",3552.3,2492,1060.3,1745,1.428,1399,88500000
"Primata","Callimico goeldii",4538.5,3125.1,1413.4,1953,1.262,1548,178700000
"Primata","Aotus trivirgatus",4560.6,3295.4,1265.2,2214,1.488,1633,200320000
"Primata","Saimiri sciureus",12159.2,7706.7,4452.5,5250,1.468,3335,645740000
"Primata","Cebus apella",21696.1,13475.6,8220.5,7653,1.761,4518,931250000
"Primata","Macaca radiata",22334.5,13220.4,9114.1,8441,1.807,4671,829600000
"Primata","Macaca fascicularis",25145.6,13234.4,11911.2,9381,1.652,5679,400740000
"Primata","Papio anubis",51724.5,33910.3,17814.2,16689,2.032,8697,1420000000
"Primata","Homo sapiens",498612,276361,222251,94050,2.938,42557,8170000000
"Scandentia","Tupaia belangeri",713.7,531.9,181.8,497,1.07,477,21950000
"Artiodactyla","Sus scrofa domesticus",14641.4,8807,5834.4,6593.6,1.336,3490,153541202
"Artiodactyla","Antidorcas marsupialis",26872,16063,10809,9623,1.669,4769,198448080
"Artiodactyla","Damaliscus dorcas",57022,36692,20330,16915,2.169,8425,285336716
"Artiodactyla","Tragelaphus stripceros",77731.7,52041,25690.7,22203,2.344,10957,381283589
"Artiodactyla","Girafa camelopardalis",156356.7,96047.7,60309,40128,2.394,16662,865256730
"Afrotheria","Dendrohyrax dorsalis",3395.8,3028.7,367.1,1895.4,1.598,1394,49480000
"Afrotheria","Procavia capensis",4059,3131.5,927.4,2112.6,1.482,1559,98966500
"Afrotheria","Loxodonta africana",1351645,676937,674708,257067,2.633,62146,2796620516
"Marsupialia","Sarcophilus harrisii",2155.6,1365,790.5,1139.7,1198,960,35827774
"Marsupialia","Macropus parma",3388.3,2488.3,900,1682.5,1.479,1383,67812736
"Marsupialia","Macropus rufogriseus",6093.3,4290.3,1803,2627.6,1.633,2060,128392285
"Marsupialia","Wallabia bicolor",6938.1,4217.2,2721,2522,1.672,1963,104056657
"Marsupialia","Dendrolagus goodfellowi",7488.8,5038.9,2449.9,3064.2,1.644,2387,136717492
"Marsupialia","Macropus fuliginosus",14480.8,9074.3,5406.5,4150.2,2.186,2814,185085864
"Carnivora","Mustela putorius furo",1244,990,254,882,1.122,597,19090641
"Carnivora","Mungos mungo",3648,2714,934,1949,1.393,1389,57885196
"Carnivora","Felis catus",8001,5921,2080,3342,1.772,2054,124917098
"Carnivora","Procyon lotor",8319,6411,1908,3939,1.628,2316,255750095
"Carnivora","Hyaena hyaena",26227,18233,7994,8702,2.095,5182,247641266
"Carnivora","Canis familiaris",34378,22814,11564,10904,2.092,6023,313406750
"Carnivora","Panthera leo",58628,36574,22054,14876,2.459,8701,272619343
"Carnivora","Ursus arctos",79970,44955,35015,22394,2.007,10922,125484635
