Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
Species,species name as printed in the paper,,,info,,,Stephan_etal_1984_Table1,taxonomy applied later via ../_keys/Stephan/,
code,specimen series code (Düsseldorf),,,info,,,Stephan_etal_1984_Table1,,
n,number of specimens,,,n,primary,Insectivora & Primates,Stephan_etal_1984_Table1,,
Corpus_geniculatum_laterale_mm3,Corpus geniculatum laterale (Vol.mm3),Corpus_geniculatum_laterale,Vol.mm3,,primary,Insectivora & Primates,Stephan_etal_1984_Table1,from comparison CSV column Corpus_geniculatum_laterale_1984,
