Species,Prefrontal Gray,Other cortical association areas Gray,Frontal motor Gray,Primary visual White Smaers,Prefrontal White,Other cortical association areas White,Frontal motor
Cercopithecus_ascanius,1.154,16.06,1.351,0.834,0.159,8.297,0.93
Cercopithecus_mitis,1.38,19.385,1.852,1.042,0.205,9.911,0.946
Erythrocebus_patas,1.56,,2.552,,0.272,,1.848
Miopithecus_talapoin,1.018,12.218,0.906,0.709,0.152,4.642,0.548
Alouatta_seniculus,1.015,12.394,1.077,0.543,0.177,4.212,0.866
Ateles_geoffroyi,2.773,32.933,3.119,0.985,0.286,10.332,1.586
Lagothrix_lagotricha,1.887,24.188,2.434,1.226,0.226,12.496,1.625
Cebus_albifrons,1.434,21.024,1.977,0.939,0.257,12.053,1.425
Gorilla_gorilla,11.642,125.539,14.854,3.123,2.608,60.386,10.295
Homo_sapiens,46.323,271.891,29.013,5.439,28.135,258.218,29.755
Hylobates_lar,2.588,28.424,2.744,1.176,0.51,12.915,1.743
Pan_paniscus,7.956,,8.356,,2.056,,5.243
Pan_troglodytes,14.209,112.75,13.407,4.004,4.607,76.6,12.78
Pongo_pygmaeus,8.596,76.924,6.353,,2.52,,4.745
Pithecia_pithecia,0.6,9.242,0.819,0.451,0.081,4.2,0.496
Lophocebus_albigena,2.311,29.102,3.926,1.411,0.424,17.092,3.063
Papio_anubis,3.921,45.24,4.686,3.74,0.845,33.835,3.325
Nasalis_larvatus,0.813,,1.749,,0.074,,0.933
Piliocolobus_badius,1.591,22.629,2.26,0.926,0.201,9.665,1.317
