Species,Primary visual,Prefrontal,Other cortical association areas,Frontal motor
Callithrix_jacchus,341,148,993,167
Saimiri_sciureus,744,,,
Cebus_apella,1786,1260,8814,1822
Macaca_mulatta,1866,1733,9892,1817
Papio_cynocephalus,2559,2111,13506,2200
Papio_hamadryas,2130,1967,13599,2898
Mandrillus_sphinx,3537,2168,23422,2194
Hylobates_lar,1899,1839,10912,1651
Pan_troglodytes_troglodytes,3212,6719,24252,5389
Homo_sapiens,3495,30234,68355,6117
