"species","group","amygdala_total_mm3","corticobasolateral_LAM_mm3","magnocellular_basal_MCB_mm3","centromedial_MAM_mm3","olfactory_tract_nucleus_NTO_mm3","species_printed","source"
"Microcebus murinus","Prosimii",36.6,24.5,2.1,12,0.3,"Microcebus murinus","Stephan_etal_1987"
"Cheirogaleus major","Prosimii",102.3,68.8,8.8,33.6,0.95,"Cheirogaleus major","Stephan_etal_1987"
"Cheirogaleus medius","Prosimii",64.9,40.8,3.9,24.1,0.55,"Cheirogaleus medius","Stephan_etal_1987"
"Eulemur fulvus","Prosimii",260.7,185.5,20,75.2,1.5,"Lemur albifrons","Stephan_etal_1987"
"Varecia variegata","Prosimii",368.2,253.5,22.9,114.7,2.6,"Varecia variegata","Stephan_etal_1987"
"Lepilemur ruficaudatus","Prosimii",133.9,91.4,7.8,42.5,0.64,"Lepilemur ruficaudatus","Stephan_etal_1987"
"Avahi laniger","Prosimii",113.2,73.8,5.4,39.5,1.1,"Avahi l. laniger","Stephan_etal_1987"
"Avahi occidentalis","Prosimii",121.1,86.5,6.4,34.6,0.27,"Avahi l. occidentalis","Stephan_etal_1987"
"Propithecus verreauxi","Prosimii",302.2,206.4,22.5,95.8,1.1,"Propithecus verreauxi","Stephan_etal_1987"
"Indri indri","Prosimii",398.5,277.7,26,120.8,0.99,"Indri indri","Stephan_etal_1987"
"Daubentonia madagascariensis","Prosimii",481.7,357.1,25.3,124.6,3.6,"Daubentonia madagasc.","Stephan_etal_1987"
"Loris tardigradus","Prosimii",104.1,72.5,6,31.6,0.47,"Loris tardigradus","Stephan_etal_1987"
"Nycticebus coucang","Prosimii",189.2,121.4,11.4,67.8,1.1,"Nycticebus coucang","Stephan_etal_1987"
"Perodicticus potto","Prosimii",202.2,138.8,14.1,63.5,1.9,"Perodicticus potto","Stephan_etal_1987"
"Galago senegalensis","Prosimii",73.2,51.5,4.2,21.7,0.55,"Galago senegalensis","Stephan_etal_1987"
"Otolemur crassicaudatus","Prosimii",148.8,103.3,8.5,45.5,1.4,"Otolemur crassicaudatus","Stephan_etal_1987"
"Galagoides demidoff","Prosimii",57.9,40.4,3.2,17.6,0.73,"Galagoides demidoff","Stephan_etal_1987"
"Tarsius sp.","Prosimii",53.4,39.7,3.3,13.7,0.09,"Tarsius spp.","Stephan_etal_1987"
"Callithrix jacchus","Simiae",106.1,75.6,7.7,30.5,0,"Callithrix jacchus","Stephan_etal_1987"
"Callithrix pygmaea","Simiae",75.4,57.9,7.1,17.5,0.11,"Cebuella pygmaea","Stephan_etal_1987"
"Saguinus midas","Simiae",144.9,106.1,8.8,38.8,0,"Saguinus midas tamarin","Stephan_etal_1987"
"Saguinus oedipus","Simiae",141.8,110.2,11.4,31.6,0.12,"Saguinus oedipus","Stephan_etal_1987"
"Callimico goeldii","Simiae",146.9,111.2,11.6,35.6,0,"Callimico goeldii","Stephan_etal_1987"
"Cebus albifrons","Simiae",458.2,337.8,36,120.4,0,"Cebus albifrons","Stephan_etal_1987"
"Aotus trivirgatus","Simiae",193.6,136.9,14.6,56.6,0.21,"Aotus trivirgatua","Stephan_etal_1987"
"Callicebus moloch","Simiae",254.1,179.5,16.3,74.6,0,"Callicebus moloch","Stephan_etal_1987"
"Saimiri sciureus","Simiae",242.4,188.3,15.5,54.1,0,"Saimiri sciureus","Stephan_etal_1987"
"Pithecia monachus","Simiae",365.3,273.7,31.7,91.6,0,"Pithecia monachus","Stephan_etal_1987"
"Alouatta seniculus","Simiae",426,324.3,31.4,101.7,0,"Alouatta seniculus","Stephan_etal_1987"
"Ateles geoffroyi","Simiae",868.8,644.5,74.7,224.3,0,"Ateles geoffroyi","Stephan_etal_1987"
"Lagothrix lagothricha","Simiae",753.2,565.2,74.6,188,0,"Lagothrix lagothricha","Stephan_etal_1987"
"Macaca mulatta","Simiae",678.4,493.2,69.7,185.2,0.13,"Macaca mulatta","Stephan_etal_1987"
"Lophocebus albigena","Simiae",781.3,515.9,83.5,265.4,0,"Cercocebus albigena","Stephan_etal_1987"
"Papio anubis","Simiae",953.5,740.2,104.7,213.3,0,"Papio anubis","Stephan_etal_1987"
"Cercopithecus ascanius","Simiae",572.5,433.2,45.6,139.3,0,"Cercopithecus ascanius","Stephan_etal_1987"
"Cercopithecus mitis","Simiae",704,493.1,66.4,210.9,0,"Cercopithecus mitis","Stephan_etal_1987"
"Miopithecus talapoin","Simiae",413.1,311.3,52.9,101.9,0,"Miopithecus talapoin","Stephan_etal_1987"
"Erythrocebus patas","Simiae",688.4,489,63.7,199.4,0,"Erythrocebus patas","Stephan_etal_1987"
"Piliocolobus badius","Simiae",500.9,377.3,47.7,123.6,0,"Colobus badius","Stephan_etal_1987"
"Pygathrix nemaeus","Simiae",489.2,337.5,51.2,151.6,0,"Pygathrix nemaeus","Stephan_etal_1987"
"Nasalis larvatus","Simiae",718.9,499.1,55.8,219.8,0,"Nasalis larvatus","Stephan_etal_1987"
"Hylobates lar","Simiae",666.2,510.2,84.6,156,0,"Hylobates lar","Stephan_etal_1987"
"Pan troglodytes","Simiae",1421.8,1046.5,136,375.3,0,"Pan troglodytes","Stephan_etal_1987"
"Gorilla sp.","Simiae",2752.6,1998.1,227.5,754.5,0,"Gorilla gorilla","Stephan_etal_1987"
"Homo sapiens","Simiae",5286.6,3980.2,349.9,1306.4,0,"Homo sapiens","Stephan_etal_1987"
