group,species,AMY_mm3,LAM_mm3,MCB_mm3,MAM_mm3,NTO_mm3
Macroscelidea,Elephantulus fuscipes,35.6,19.7,1.3,15.9,0.91
Macroscelidea,Rhynchocyon cirnei,176,93.2,5.4,82.9,6.1
Insectivora,Solenodon paradoxus,133.8,83.1,14.1,50.7,2.5
Insectivora,Tenrec ecaudatus,88.2,49.1,9.1,39.1,3.1
Insectivora,Setifer setosus,68.7,36.6,8.1,34.5,2.9
Insectivora,Hemicentetes semispinosus,22.4,12.1,2.4,10.4,1.3
Insectivora,Echinops telfairi,22.4,11.3,3.2,11.1,0.7
Insectivora,Oryzorictes talpoides,20.8,11.1,1.2,9.7,0.64
Insectivora,Microgale cowani,14.8,9.3,0.91,5.5,0.7
Insectivora,Microgale dobsoni,17,10.2,1.7,6.8,0.75
Insectivora,Microgale talazaci,25.8,13.4,1.7,12.4,0.77
Insectivora,Limnogale mergulus,26.8,15.8,2.5,11,0.31
Insectivora,Potamogale velox,62.3,33.6,5.3,28.7,0.46
Insectivora,Micropotamogale lamottei,19,10.3,1.4,8.7,0.27
Insectivora,Micropotamogale ruwenzorii,22.2,12.9,1.6,9.3,0.47
Insectivora,Chrysochloris asiatica,20,11,1.6,9.1,0.83
Insectivora,Chrysochloris stuhlmanni,23.3,11.1,2.1,12.2,0.96
Insectivora,Erinaceus algirus,101.3,55.4,7.5,45.9,3.1
Insectivora,Erinaceus europaeus,108.1,63.3,11.5,44.8,3.7
Insectivora,Hemiechinus auritus,71.8,41.9,4.9,29.9,2.8
Insectivora,Sorex araneus,7.7,3.9,0.76,3.7,0.27
Insectivora,Sorex cinereus,4.9,2.5,0.54,2.4,0.24
Insectivora,Sorex fumeus,7.4,3.8,0.64,3.7,0.33
Insectivora,Sorex minutus,3.7,1.7,0.61,1.9,0.19
Insectivora,Microsorex hoyi,3.5,2.1,0.25,1.4,0.11
Insectivora,Neomys fodiens,8.6,4.4,1.2,4.1,0.24
Insectivora,Blarina brevicauda,10.9,5.9,0.89,5,0.45
Insectivora,Crocidura flavescens,13,6.6,1.2,6.4,0.43
Insectivora,Crocidura hildegardeae,6.9,3.4,0.59,3.5,0.34
Insectivora,Crocidura jacksoni,7.6,4.1,0.54,3.5,0.24
Insectivora,Crocidura russula,6.3,3.2,0.73,3.1,0.23
Insectivora,Suncus etruscus,1.7,0.81,0.12,0.91,0.08
Insectivora,Suncus murinus,10.9,5.6,0.78,5.3,0.43
Insectivora,Sylvisorex granti,5.1,2.6,0.54,2.4,0.32
Insectivora,Sylvisorex megalura,5.5,2.6,0.45,2.9,0.26
Insectivora,Ruwenzorisorex suncoides,10.2,5.5,0.69,4.7,0.18
Insectivora,Myosorex babaulti,12.1,5.9,1.1,6.2,0.58
Insectivora,Scutisorex somereni,17.8,9.8,1.7,8,0.79
Insectivora,Desmana moschata,90.8,49.9,12.2,40.9,0.09
Insectivora,Galemys pyrenaicus,36.5,21.5,5.7,15,0.23
Insectivora,Talpa europaea,26.3,15,3.5,11.3,0.56
Scandentia,Tupaia glis,87.3,59.3,4.6,28,2.2
Scandentia,Tupaia minor,66.6,43,3.3,23.6,0.88
Scandentia,Urogale everetti,105.2,69,10.6,36.2,2.2
