species,frontal_cortex_pct_of_cortex_volume,sd,brodmann1909_surface_pct,blinkov_glezer1965_surface_pct,source,note
Homo sapiens,37.7,0.9,36.3,32.8,Semendeferi_etal_2002,
Pan troglodytes,35.4,1.9,30.5,22.1,Semendeferi_etal_2002,
Pan paniscus,34.7,0.6,,,Semendeferi_etal_2002,
Gorilla gorilla,35.95,,,,Semendeferi_etal_2002,n=2 (two specimens)
Pongo pygmaeus,37.6,1.1,,21.3,Semendeferi_etal_2002,
Hylobates lar,29.4,1.8,21.4,21.2,Semendeferi_etal_2002,
Macaca sp.,30.6,1.5,,,Semendeferi_etal_2002,
Cebus sp.,30.55,,22.5,,Semendeferi_etal_2002,n=2 (two specimens)
