Original_Term,Reference,Standardized_Term
species,Stephan_etal_1981_TableIX,Species
Area_striata,Stephan_etal_1981_TableIX,Area_striata_Vol.mm3
Corpus_geniculatum_laterale,Stephan_etal_1981_TableIX,Corpus_geniculatum_laterale_Vol.mm3
