Original_Term,Reference,Standardized_Term
Species,Rilling_Insel_1999_Table1,Species
Neocortex_GMWM,Rilling_Insel_1999_Table1,Neocortex_Vol.mm3
neocortical_gray_matter_cc_mean,Rilling_Insel_1999_Table1,Neocortex_grey_matter_Vol.mm3
cerebral_white_matter_cc_mean,Rilling_Insel_1999_Table1,Neocortex_white_matter_Vol.mm3
brain_volume_cc_mean,Rilling_Insel_1999_Table1,Total_brain_net_volume_Vol.mm3
body_weight_kg_mean,Rilling_Insel_1999_Table1,Body_Mass.g
spinal_cord_area_mm2_mean,Rilling_Insel_1999_Table1,Spinal_cord_area.mm2
neocortical_gray_matter_cc_sd,Rilling_Insel_1999_Table1,Neocortex_grey_matter_Vol.mm3_SD
cerebral_white_matter_cc_sd,Rilling_Insel_1999_Table1,Neocortex_white_matter_Vol.mm3_SD
brain_volume_cc_sd,Rilling_Insel_1999_Table1,Total_brain_net_volume_Vol.mm3_SD
body_weight_kg_sd,Rilling_Insel_1999_Table1,Body_Mass.g_SD
spinal_cord_area_mm2_sd,Rilling_Insel_1999_Table1,Spinal_cord_area.mm2_SD
