Original_Term,Reference,Standardized_Term
Species,Frahm_Zilles_1994_Table1,Species
body_weight_g,Frahm_Zilles_1994_Table1,Body_Mass.g
hippocampus_total_mm3,Frahm_Zilles_1994_Table1,Hippocampus_Vol.mm3
HP_HS_fibers_mm3,Frahm_Zilles_1994_Table1,HP_HS_fibers_Vol.mm3
hippocampus_retrocommissuralis_mm3,Frahm_Zilles_1994_Table1,Hippocampus_retrocommissuralis_Vol.mm3
subiculum_mm3,Frahm_Zilles_1994_Table1,Subiculum_Vol.mm3
CA1_mm3,Frahm_Zilles_1994_Table1,CA1_Vol.mm3
CA2_mm3,Frahm_Zilles_1994_Table1,CA2_Vol.mm3
CA3_mm3,Frahm_Zilles_1994_Table1,CA3_Vol.mm3
hilus_mm3,Frahm_Zilles_1994_Table1,Hilus_Vol.mm3
fascia_dentata_mm3,Frahm_Zilles_1994_Table1,Fascia_dentata_Vol.mm3
