Original_Term,Reference,Standardized_Term
Species_Frahm1997,Frahm_etal_1997_Table1,Species
body_weight_g,Frahm_etal_1997_Table1,Body_Mass.g
brain_weight_mg,Frahm_etal_1997_Table1,Brain_Mass.mg
Cerebellum_mm3,Frahm_etal_1997_Table1,Cerebellum_Vol.mm3
Diencephalon_mm3,Frahm_etal_1997_Table1,Diencephalon_Vol.mm3
Telencephalon_mm3,Frahm_etal_1997_Table1,Telencephalon_Vol.mm3
Bulbus_olfactorius_mm3,Frahm_etal_1997_Table1,Bulbus_olfactorius_Vol.mm3
Septum_mm3,Frahm_etal_1997_Table1,Septum_Vol.mm3
Striatum_mm3,Frahm_etal_1997_Table1,Striatum_Vol.mm3
Schizo_cortex_mm3,Frahm_etal_1997_Table1,Schizo_cortex_Vol.mm3
Hippocampus_mm3,Frahm_etal_1997_Table1,Hippocampus_Vol.mm3
Neocortex_mm3,Frahm_etal_1997_Table1,Neocortex_Vol.mm3
Palaeocortex_mm3,Frahm_etal_1997_Table1,Palaeocortex_Vol.mm3
Amygdala_mm3,Frahm_etal_1997_Table1,Amygdala_Vol.mm3
