Original_Term,Reference,Standardized_Term
species,Stephan_etal_1981_TableX,Species
Palaeocortex,Stephan_etal_1981_TableX,Palaeocortex_Vol.mm3
Amygdala,Stephan_etal_1981_TableX,Amygdala_Vol.mm3
Complexus_centromedialis,Stephan_etal_1981_TableX,Complexus_centromedialis_Vol.mm3
Nucleus_tractus_olfactorius,Stephan_etal_1981_TableX,Nucleus_tractus_olfactorius_Vol.mm3
Complexus_corticobasolateralis,Stephan_etal_1981_TableX,Complexus_corticobasolateralis_Vol.mm3
Nucleus_amygdalae_basalis_pars_magnocellularis,Stephan_etal_1981_TableX,Nucleus_amygdalae_basalis_pars_magnocellularis_Vol.mm3
