source,species,weighting,region,measure,stat,built,manual,status,diff
weights_compilation,Canis,unweighted,Whole Brain,CBF,N,1.0,1.0,match,
weights_compilation,Canis,unweighted,Whole Brain,CBF,Mean,30.8,30.8,match,
weights_compilation,Canis,unweighted,Whole Brain,CBF,SD,6.6,6.6,match,
weights_compilation,Canis,unweighted,Whole Brain,CBF,CV,21.43,21.43,match,
weights_compilation,Canis,unweighted,Whole Brain,CBF,CVstar,26.79,26.79,match,
weights_compilation,Canis,unweighted,Whole Brain,CMRO2,N,1.0,1.0,match,
weights_compilation,Canis,unweighted,Whole Brain,CMRO2,Mean,205.4,205.4,match,
weights_compilation,Canis,unweighted,Whole Brain,CMRO2,SD,22.3,22.3,match,
weights_compilation,Canis,unweighted,Whole Brain,CMRO2,CV,10.86,10.86,match,
weights_compilation,Canis,unweighted,Whole Brain,CMRO2,CVstar,13.57,13.57,match,
weights_compilation,Canis,unweighted,Whole Brain,CMRgl,N,1.0,1.0,match,
weights_compilation,Canis,unweighted,Whole Brain,CMRgl,Mean,44.5,44.5,match,
weights_compilation,Canis,unweighted,Whole Brain,CMRgl,SD,5.0,5.0,match,
weights_compilation,Canis,unweighted,Whole Brain,CMRgl,CV,11.24,11.24,match,
weights_compilation,Canis,unweighted,Whole Brain,CMRgl,CVstar,14.04,14.04,match,
weights_compilation,Canis,weighted,Whole Brain,CBF,N,12.0,12.0,match,
weights_compilation,Canis,weighted,Whole Brain,CBF,Mean,30.8,30.8,match,
weights_compilation,Canis,weighted,Whole Brain,CBF,SD,6.6,6.6,match,
weights_compilation,Canis,weighted,Whole Brain,CBF,CV,21.43,21.43,match,
weights_compilation,Canis,weighted,Whole Brain,CBF,CVstar,21.88,21.88,match,
weights_compilation,Canis,weighted,Whole Brain,CMRO2,N,8.0,8.0,match,
weights_compilation,Canis,weighted,Whole Brain,CMRO2,Mean,205.4,205.4,match,
weights_compilation,Canis,weighted,Whole Brain,CMRO2,SD,22.3,22.3,match,
weights_compilation,Canis,weighted,Whole Brain,CMRO2,CV,10.86,10.86,match,
weights_compilation,Canis,weighted,Whole Brain,CMRO2,CVstar,11.2,11.2,match,
weights_compilation,Canis,weighted,Whole Brain,CMRgl,N,8.0,8.0,match,
weights_compilation,Canis,weighted,Whole Brain,CMRgl,Mean,44.5,44.5,match,
weights_compilation,Canis,weighted,Whole Brain,CMRgl,SD,5.0,5.0,match,
weights_compilation,Canis,weighted,Whole Brain,CMRgl,CV,11.24,11.24,match,
weights_compilation,Canis,weighted,Whole Brain,CMRgl,CVstar,11.59,11.59,match,
weights_compilation,Capra,unweighted,Whole Brain,CBF,N,1.0,1.0,match,
weights_compilation,Capra,unweighted,Whole Brain,CBF,Mean,77.0,77.0,match,
weights_compilation,Capra,unweighted,Whole Brain,CBF,SD,7.0,7.0,match,
weights_compilation,Capra,unweighted,Whole Brain,CBF,CV,9.09,9.09,match,
weights_compilation,Capra,unweighted,Whole Brain,CBF,CVstar,11.36,11.36,match,
weights_compilation,Capra,unweighted,Whole Brain,CMRO2,N,2.0,2.0,match,
weights_compilation,Capra,unweighted,Whole Brain,CMRO2,Mean,173.43,173.43,match,
weights_compilation,Capra,unweighted,Whole Brain,CMRO2,SD,26.83,26.83,match,
weights_compilation,Capra,unweighted,Whole Brain,CMRO2,CV,15.47,15.47,match,
weights_compilation,Capra,unweighted,Whole Brain,CMRO2,CVstar,17.4,17.4,match,
weights_compilation,Capra,weighted,Whole Brain,CBF,N,17.0,17.0,match,
weights_compilation,Capra,weighted,Whole Brain,CBF,Mean,77.0,77.0,match,
weights_compilation,Capra,weighted,Whole Brain,CBF,SD,7.0,7.0,match,
weights_compilation,Capra,weighted,Whole Brain,CBF,CV,9.09,9.09,match,
weights_compilation,Capra,weighted,Whole Brain,CBF,CVstar,9.22,9.22,match,
weights_compilation,Capra,weighted,Whole Brain,CMRO2,N,23.0,23.0,match,
weights_compilation,Capra,weighted,Whole Brain,CMRO2,Mean,182.5,182.5,match,
weights_compilation,Capra,weighted,Whole Brain,CMRO2,SD,14.03,14.03,match,
weights_compilation,Capra,weighted,Whole Brain,CMRO2,CV,7.69,7.69,match,
weights_compilation,Capra,weighted,Whole Brain,CMRO2,CVstar,7.77,7.77,match,
weights_compilation,Equus,unweighted,Whole Brain,CBF,N,2.0,2.0,match,
