Species,Domain,Standardized_Term,Value,source,team,dependency_group
Alouatta palliata,Vocalization,VocalRepertoire,22,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Arctocebus calabarensis,Vocalization,VocalRepertoire,2,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Callicebus moloch,Vocalization,VocalRepertoire,10,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Callimico goeldii,Vocalization,VocalRepertoire,28,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Callithrix jacchus,Vocalization,VocalRepertoire,8,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Callithrix pygmaea,Vocalization,VocalRepertoire,16,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Cebus olivaceus,Vocalization,VocalRepertoire,11,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Cercocebus torquatus,Vocalization,VocalRepertoire,8,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Cercopithecus cephus,Vocalization,VocalRepertoire,16,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Chlorocebus aethiops,Vocalization,VocalRepertoire,25,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Daubentonia madagascariensis,Vocalization,VocalRepertoire,9,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Eulemur fulvus,Vocalization,VocalRepertoire,14,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Eulemur macaco,Vocalization,VocalRepertoire,16,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Eulemur mongoz,Vocalization,VocalRepertoire,15,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Euoticus elegantulus,Vocalization,VocalRepertoire,6,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Galago alleni,Vocalization,VocalRepertoire,5,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Galago senegalensis,Vocalization,VocalRepertoire,18,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Galagoides demidoff,Vocalization,VocalRepertoire,8,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Gorilla gorilla,Vocalization,VocalRepertoire,17,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Lagothrix lagothricha,Vocalization,VocalRepertoire,8,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Lemur catta,Vocalization,VocalRepertoire,22,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Leontopithecus rosalia,Vocalization,VocalRepertoire,20,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Macaca fascicularis,Vocalization,VocalRepertoire,17,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Macaca fuscata,Vocalization,VocalRepertoire,34,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
