source,Domain,Standardized_Term,Species,Value
ManyPrimates__2022_speciespredictors,Vocalization,VocalRepertoire,Saguinus midas,33
ManyPrimates__2022_speciespredictors,Vocalization,VocalRepertoire,Saimiri sciureus,21
ManyPrimates__2022_speciespredictors,Vocalization,VocalRepertoire,Sapajus apella,31
ManyPrimates__2022_speciespredictors,Vocalization,VocalRepertoire,Symphalangus syndactylus,9
ManyPrimates__2022_speciespredictors,Vocalization,VocalRepertoire,Trachypithecus auratus,5
ManyPrimates__2022_speciespredictors,Vocalization,VocalRepertoire,Trachypithecus francoisi,15
ManyPrimates__2022_speciespredictors,Vocalization,VocalRepertoire,Varecia rubra,13
ManyPrimates__2022_speciespredictors,Vocalization,VocalRepertoire,Varecia variegata,13
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Orycteropus afer,2
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Myrmecophaga jubata,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Dasypus novemcinctus,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Desmodus rufus,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Horpyiocepalus leucogostra,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Myotis,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Pteropus edulis,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Rhinolophus,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Tadarida cynocephala,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,NA,2
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Castor canadensis,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Otolemur garnettii,5
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Galago senegalensis,5
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Camelus,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Felis catus,2
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Pan troglodytes,6
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Tamias striatus,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,NA,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Myocastor coypus,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,NA,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Canis latrans,2
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Elephas maximus,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Mustela putorius furo,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Hylobates lar,6
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Hylobates syndactylus,6
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Capra hircus,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Spermophilus tridecemlineatus,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Cavia aperea,2
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Cricetus auratus,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Erinaceus,2
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Paraechinus,2
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Sus scrofa,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Equus caballus,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Potos flavus,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Lemur catta,5
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Homo sapiens,7
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Scalopus aquaticus,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Ateles ater,4
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Sapajus apella,5
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Chlorocebus sabaeus,6
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Lagothrix lagotricha,5
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Macaca irus,6
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Macaca mulatta,6
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Papio anubis,6
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Saguinus oedipus,4
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Saimiri boliviensis boliviensis,5
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Mus musculus,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Equus,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Didelphis virginiana,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Pongo pygmaeus,6
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Manis pentadactyla,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Trichosurus vulpecula,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Microsorex hoyi,2
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Setonix brachyurus,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Oryctolagus cuniculus,2
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Procyon lotor,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Rattus norvegicus,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Procavia capensis,2
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Callorhinus ursinus,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Ovis aries,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Nycticebus coucang,5
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Tachyglossus aculeatus,2
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Sciurus hudsonius,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Tapirus,1
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Tarsius,4
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Potorous apicalis,2
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Tupaia belangeri,3
Heffner_Masterton_1975_TableI,Dexterity,Dexterity,Phocoena phocoena,1
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Ateles ater,4
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Canis latrans,2
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Capra hircus,1
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Sapajus apella,5
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Chlorocebus sabaeus,6
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Dasypus novemcinctus,1
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Didelphis virginiana,3
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Felis catus,2
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Otolemur garnettii,5
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Homo sapiens,7
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Hylobates lar,6
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Lagothrix lagotricha,5
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Macaca mulatta,6
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Myocastor coypus,3
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Nycticebus coucang,5
