source,Domain,Standardized_Term,Species,Value
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Connochaetes taurinus,72
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Lasiorhinus krefftii,73
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ursus americanus,67
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Antilocapra americana,62.01923077
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Cuon alpinus,69.61538462
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Lama glama,72
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Loxodonta africana,74
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Lynx rufus,71
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ursus arctos,65
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Bubalus bubalis,63.16964286
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Okapia johnstoni,60.65281462
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Bison bison,71
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Mungos mungo,60
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ursus maritimus,68
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Panthera leo,68
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Oryx gazella,66.66
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Giraffa camelopardalis,68
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Procyon lotor,71
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Chrysocyon brachyurus,62.84858552
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Tachyglossus aculeatus,67
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Vicugna pacos,55.80683333
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Panthera onca,64.09999999999999
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Crocuta crocuta,66
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ateles geoffroyi,71.8768163
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ateles fusciceps,71.24029949
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Trichosurus vulpecula,66.97199999999999
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Daubentonia madagascariensis,65.79056326
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Lemur catta,65.24681400999999
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Pygathrix nemaeus,64.94111999
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Priodontes maximus,64.79469
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Hapalemur griseus,64.61677813999999
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Cyclopes didactylus,64.59
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Varecia variegata,64.53997173
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Pygathrix cinerea,64.50219231
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Trachypithecus poliocephalus,64.09781361
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ateles paniscus,63.99376761
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Macaca fascicularis,63.07784027
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Macaca mulatta,63.03289724
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Propithecus coquereli,62.88913796
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Cebus capucinus,62.83883438
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Eulemur mongoz,62.43998388
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Rhinopithecus roxellana,62.15191445
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Trachypithecus hatinhensis,61.45227488
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Trachypithecus phayrei,61.25
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Trachypithecus delacouri,59.72837684
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Saimiri sciureus,58.76699956
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Aotus nancymaae,58.37598712
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Potos flavus,58.32665589
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Leontopithecus rosalia,58.27
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Caluromys philander,58
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Papio ursinus,56.90476
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Alouatta seniculus,56.89748148
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Mandrillus sphinx,56.08974
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Loris tardigradus,55.85018746
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Nycticebus pygmaeus,55.66518816
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Cheirogaleus medius,55.44482598
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Philander opossum,54.058
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Pseudocheirus peregrinus,53.17378571
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Bradypus variegatus,52.04
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Acrobates pygmaeus,50.19
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Sapajus apella,49.53562611
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Orycteropus afer,49.46041
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Choloepus didactylus,49.43348146
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Pan troglodytes,48.05556
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Monodelphis domestica,46.31073333
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Phascolarctos cinereus,45.50568
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Hippopotamus amphibius,45
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Mesocricetus auratus,45
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Petaurus breviceps,45
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Chiropotes satanas,44.79006856
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ornithorhynchus anatinus,44.35640697
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Gorilla gorilla,43.42752
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Oreotragus oreotragus,42.85714
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Isoodon macrourus,41.78658333
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Dasyurus maculatus,41.39767
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Mystacina tuberculata,40.67614286
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Mus musculus,40
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Tupaia tana,38.08
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Muscardinus avellanarius,36.74
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Castor canadensis,36.6823
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Dasypus novemcinctus,36.36
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Rattus norvegicus,36
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Apodemus agrarius,35.52
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Sciurus griseus,35.32612782
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Didelphis virginiana,34.86
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Micromys minutus,34.05
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Erinaceus europaeus,33.33
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Talpa europaea,33.33
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Vulpes vulpes,32.52033
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Tragelaphus strepsiceros,32.03419
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Thallomys paedulcus,31.885
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Odocoileus virginianus,31
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Moschus leucogaster,30.21
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Myrmecobius fasciatus,30
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Pteropus vampyrus,29.84214946
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Desmodus rotundus,29.50951127
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Bos taurus,29
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Erethizon dorsatum,29
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Pithecia pithecia,28.91843349
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Apodemus flavicollis,28.77
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Cervus elaphus,28.19172
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Hydrochoerus hydrochaeris,28.15789
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ovis aries,28
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Cryptoprocta ferox,27.47909
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Enhydra lutris,27.285
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Myrmecophaga tridactyla,27
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Sciurus niger,26.26435189
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Mellivora capensis,26.14
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ammotragus lervia,26
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Tapirus indicus,26
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Tapirus terrestris,26
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Myodes glareolus,25.86
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Sus scrofa,25.74963
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Mephitis mephitis,25.63
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Equus asinus,25
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Zaglossus bruijni,24.28250762
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Canis aureus,24.25926
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Paradoxurus hermaphroditus,24.12
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Equus caballus,24
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Equus burchelli,24
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Pecari tajacu,23.79032
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Leptailurus serval,23.49302641
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Muntiacus muntjak,23.41897
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Cephalophus silvicultor,23.12
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Capra aegagrus,23
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Camelus dromedarius,22.78823
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Nasua nasua,22.5366778
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Cephalophus natalensis,22.5
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Vombatus ursinus,22.41667
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Dendrohyrax arboreus,22.22
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Dendrolagus goodfellowi,22
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Tapirus bairdii,21.96879
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Felis catus,21.71555499
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ovis canadensis,21.6864
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Nandinia binotata,21.43
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Arctictis binturong,21.41
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Saiga tatarica,21.36364
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Nanger granti,21.0492
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Camelus bactrianus,21
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ceratotherium simum,21
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Kobus ellipsiprymnus,20.9
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Moschiola meminna,20.76149
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ailurus fulgens,20.41667
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Panthera tigris,20.32129476
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ailuropoda melanoleuca,20.16835
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Sarcophilus harrisii,20.12
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Caracal caracal,20.07495141
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Leopardus pardalis,19.12393178
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Zalophus wollebaeki,19.11
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Aepyceros melampus,19
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Elephas maximus,19
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Alcelaphus buselaphus,18.96552
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Canis lupus,18.965
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Acinonyx jubatus,18
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Connochaetes taurinus,18
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Lasiorhinus krefftii,18
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ursus americanus,18
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Antilocapra americana,17.94872
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Cuon alpinus,17.94872
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Lama glama,17
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Loxodonta africana,17
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Lynx rufus,17
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ursus arctos,17
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Bubalus bubalis,16.96429
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Okapia johnstoni,16.90813
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Bison bison,16
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Mungos mungo,16
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Ursus maritimus,16
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Panthera leo,15
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Oryx gazella,14.81
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Giraffa camelopardalis,14
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Procyon lotor,14
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Chrysocyon brachyurus,13.18249
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Tachyglossus aculeatus,13
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Vicugna pacos,12.92514634
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Panthera onca,10.256
Wimberly_etal_2021_mammalgait.txt,Gait,Phase,Crocuta crocuta,10
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Ateles geoffroyi,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Ateles fusciceps,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Trichosurus vulpecula,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Daubentonia madagascariensis,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Lemur catta,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Pygathrix nemaeus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Priodontes maximus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Hapalemur griseus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Cyclopes didactylus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Varecia variegata,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Pygathrix cinerea,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Trachypithecus poliocephalus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Ateles paniscus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Macaca fascicularis,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Macaca mulatta,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Propithecus coquereli,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Cebus capucinus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Eulemur mongoz,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Rhinopithecus roxellana,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Trachypithecus hatinhensis,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Trachypithecus phayrei,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Trachypithecus delacouri,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Saimiri sciureus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Aotus nancymaae,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Potos flavus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Leontopithecus rosalia,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Caluromys philander,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Papio ursinus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Alouatta seniculus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Mandrillus sphinx,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Loris tardigradus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Nycticebus pygmaeus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Cheirogaleus medius,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Philander opossum,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Pseudocheirus peregrinus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Bradypus variegatus,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Acrobates pygmaeus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Sapajus apella,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Orycteropus afer,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Choloepus didactylus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Pan troglodytes,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Monodelphis domestica,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Phascolarctos cinereus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Hippopotamus amphibius,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Mesocricetus auratus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Petaurus breviceps,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Chiropotes satanas,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Ornithorhynchus anatinus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Gorilla gorilla,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Oreotragus oreotragus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Isoodon macrourus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Dasyurus maculatus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Mystacina tuberculata,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Mus musculus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Tupaia tana,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Muscardinus avellanarius,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Castor canadensis,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Dasypus novemcinctus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Rattus norvegicus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Apodemus agrarius,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Sciurus griseus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Didelphis virginiana,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Micromys minutus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Erinaceus europaeus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Talpa europaea,DSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Vulpes vulpes,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Tragelaphus strepsiceros,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Thallomys paedulcus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Odocoileus virginianus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Moschus leucogaster,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Myrmecobius fasciatus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Pteropus vampyrus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Desmodus rotundus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Bos taurus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Erethizon dorsatum,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Pithecia pithecia,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Apodemus flavicollis,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Cervus elaphus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Hydrochoerus hydrochaeris,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Ovis aries,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Cryptoprocta ferox,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Enhydra lutris,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Myrmecophaga tridactyla,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Sciurus niger,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Mellivora capensis,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Ammotragus lervia,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Tapirus indicus,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Tapirus terrestris,LSDC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Myodes glareolus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Sus scrofa,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Mephitis mephitis,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Equus asinus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Zaglossus bruijni,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Canis aureus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Paradoxurus hermaphroditus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Equus caballus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Equus burchelli,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Pecari tajacu,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Leptailurus serval,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Muntiacus muntjak,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Cephalophus silvicultor,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Capra aegagrus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Camelus dromedarius,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Nasua nasua,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Cephalophus natalensis,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Vombatus ursinus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Dendrohyrax arboreus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Dendrolagus goodfellowi,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Tapirus bairdii,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Felis catus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Ovis canadensis,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Nandinia binotata,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Arctictis binturong,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Saiga tatarica,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Nanger granti,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Camelus bactrianus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Ceratotherium simum,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Kobus ellipsiprymnus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Moschiola meminna,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Ailurus fulgens,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Panthera tigris,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Ailuropoda melanoleuca,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Sarcophilus harrisii,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Caracal caracal,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Leopardus pardalis,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Zalophus wollebaeki,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Aepyceros melampus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Elephas maximus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Alcelaphus buselaphus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Canis lupus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Acinonyx jubatus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Connochaetes taurinus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Lasiorhinus krefftii,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Ursus americanus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Antilocapra americana,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Cuon alpinus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Lama glama,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Loxodonta africana,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Lynx rufus,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Ursus arctos,LSLC
Wimberly_etal_2021_mammalgait.txt,Gait,Gait,Bubalus bubalis,LSLC
