Species,measure_class,Measure,Team,role,Value
Eulemur coronatus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Eulemur coronatus,manipulation,Extractive_foraging,Heldstab,primary,0
Eulemur coronatus,locomotion,Intermembral_index,Granatosky,primary,69
Eulemur coronatus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.32285696027778
Eulemur coronatus,manipulation,Manipulation_complexity,Heldstab,primary,1.6
Eulemur coronatus,manipulation,Tool_use,Heldstab,primary,0
Eulemur coronatus,vocalization,VocalRepertoire,ManyPrimates,secondary,13
Eulemur flavifrons,vocalization,VocalRepertoire,ManyPrimates,secondary,10
Eulemur fulvus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Eulemur fulvus,locomotion,Intermembral_index,Granatosky,primary,72
Eulemur fulvus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.30441240377472
Eulemur fulvus,vocalization,VocalRepertoire,ManyPrimates,secondary,11
Eulemur fulvus,vocalization,VocalRepertoire,Schniter,primary,14
Eulemur macaco,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Eulemur macaco,manipulation,Extractive_foraging,Heldstab,primary,0
Eulemur macaco,locomotion,Intermembral_index,Granatosky,primary,71
Eulemur macaco,locomotion,Locomotor_diversity_index,Granatosky,primary,1.43123180445711
Eulemur macaco,manipulation,Manipulation_complexity,Heldstab,primary,1.23
Eulemur macaco,manipulation,Tool_use,Heldstab,primary,0
Eulemur macaco,vocalization,VocalRepertoire,ManyPrimates,secondary,10
Eulemur macaco,vocalization,VocalRepertoire,Schniter,primary,16
Eulemur mongoz,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Eulemur mongoz,gait,Duty_Factor,Wimberly,primary,53.53277563
Eulemur mongoz,gait,Foot_Posture,Wimberly,primary,plantigrade
Eulemur mongoz,gait,Gait,Wimberly,primary,DSDC
Eulemur mongoz,locomotion,Intermembral_index,Granatosky,primary,72
Eulemur mongoz,locomotion,Locomotor_diversity_index,Granatosky,primary,1.43236716092924
Eulemur mongoz,gait,Phase,Wimberly,primary,62.43998388
Eulemur mongoz,vocalization,VocalRepertoire,ManyPrimates,secondary,9
Eulemur mongoz,vocalization,VocalRepertoire,Schniter,primary,15
Eulemur rubriventer,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Eulemur rubriventer,locomotion,Intermembral_index,Granatosky,primary,68
Eulemur rubriventer,locomotion,Locomotor_diversity_index,Granatosky,primary,0.969736905647942
Euoticus elegantulus,vocalization,VocalRepertoire,Schniter,primary,6
Felis catus,dexterity,Dexterity,Heffner,primary,2
Felis catus,dexterity,Dexterity,Iwaniuk,secondary,2
Felis catus,gait,Duty_Factor,Wimberly,primary,63.8762843
Felis catus,gait,Foot_Posture,Wimberly,primary,digitigrade
Felis catus,gait,Gait,Wimberly,primary,LSLC
Felis catus,gait,Phase,Wimberly,primary,21.71555499
Galago alleni,vocalization,VocalRepertoire,Schniter,primary,5
Galago matschiei,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Galago matschiei,locomotion,Locomotor_diversity_index,Granatosky,primary,1.55376177629077
Galago senegalensis,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Galago senegalensis,dexterity,Dexterity,Heffner,primary,5
Galago senegalensis,locomotion,Intermembral_index,Granatosky,primary,52
Galago senegalensis,locomotion,Locomotor_diversity_index,Granatosky,primary,1.03969242563174
Galago senegalensis,vocalization,VocalRepertoire,Schniter,primary,18
Galagoides demidoff,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Galagoides demidoff,locomotion,Intermembral_index,Granatosky,primary,68
Galagoides demidoff,locomotion,Locomotor_diversity_index,Granatosky,primary,1.40614065804908
Galagoides demidoff,vocalization,VocalRepertoire,Schniter,primary,8
Galagoides thomasi,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Galagoides thomasi,locomotion,Intermembral_index,Granatosky,primary,67
Galagoides thomasi,locomotion,Locomotor_diversity_index,Granatosky,primary,1.53051572202163
Galeopterus variegatus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.24539319229782
Giraffa camelopardalis,gait,Duty_Factor,Wimberly,primary,68
Giraffa camelopardalis,gait,Foot_Posture,Wimberly,primary,unguligrade
Giraffa camelopardalis,gait,Gait,Wimberly,primary,LSLC
Giraffa camelopardalis,gait,Phase,Wimberly,primary,14
Glaucomys volans,locomotion,Locomotor_diversity_index,Granatosky,primary,1.41481405296438
Gorilla gorilla,locomotion,Arboreal_terrestrial,Granatosky,primary,T
Gorilla gorilla,gait,Duty_Factor,Wimberly,primary,61.54791155
Gorilla gorilla,manipulation,Extractive_foraging,Heldstab,primary,1
Gorilla gorilla,gait,Foot_Posture,Wimberly,primary,plantigrade
Gorilla gorilla,gait,Gait,Wimberly,primary,LSDC
Gorilla gorilla,handedness,Handedness_index_mean,Caspar,primary,0.248
Gorilla gorilla,handedness,Handedness_strength_mean,Caspar,primary,0.541
Gorilla gorilla,locomotion,Intermembral_index,Granatosky,primary,116
Gorilla gorilla,locomotion,Locomotor_diversity_index,Granatosky,primary,0.188053654103712
Gorilla gorilla,manipulation,Manipulation_complexity,Heldstab,primary,5
Gorilla gorilla,gait,Phase,Wimberly,primary,43.42752
Gorilla gorilla,manipulation,Tool_use,Heldstab,primary,0
Gorilla gorilla,vocalization,VocalRepertoire,ManyPrimates,secondary,16
Gorilla gorilla,vocalization,VocalRepertoire,Schniter,primary,17
Hapalemur griseus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Hapalemur griseus,gait,Duty_Factor,Wimberly,primary,61.92340311
Hapalemur griseus,manipulation,Extractive_foraging,Heldstab,primary,0
Hapalemur griseus,gait,Foot_Posture,Wimberly,primary,plantigrade
Hapalemur griseus,gait,Gait,Wimberly,primary,DSDC
Hapalemur griseus,locomotion,Intermembral_index,Granatosky,primary,64
Hapalemur griseus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.15600589287313
Hapalemur griseus,manipulation,Manipulation_complexity,Heldstab,primary,1.78
Hapalemur griseus,gait,Phase,Wimberly,primary,64.61677813999999
Hapalemur griseus,manipulation,Tool_use,Heldstab,primary,0
Hippopotamus amphibius,gait,Duty_Factor,Wimberly,primary,76
Hippopotamus amphibius,gait,Foot_Posture,Wimberly,primary,digitigrade
Hippopotamus amphibius,gait,Gait,Wimberly,primary,LSDC
Hippopotamus amphibius,gait,Phase,Wimberly,primary,45
Homo sapiens,dexterity,Dexterity,Heffner,primary,7
Homo sapiens,dexterity,Dexterity,Iwaniuk,secondary,7
Homo sapiens,manipulation,Extractive_foraging,Heldstab,primary,1
Homo sapiens,handedness,Handedness_index_mean,Caspar,primary,0.761
Homo sapiens,handedness,Handedness_strength_mean,Caspar,primary,0.9429999999999999
Homo sapiens,manipulation,Manipulation_complexity,Heldstab,primary,5.4
Homo sapiens,manipulation,Tool_use,Heldstab,primary,1
Horpyiocepalus leucogostra,dexterity,Dexterity,Heffner,primary,1
Hydrochoerus hydrochaeris,gait,Duty_Factor,Wimberly,primary,69.21052632
Hydrochoerus hydrochaeris,gait,Foot_Posture,Wimberly,primary,digitigrade
Hydrochoerus hydrochaeris,gait,Gait,Wimberly,primary,LSDC
Hydrochoerus hydrochaeris,gait,Phase,Wimberly,primary,28.15789
Hylobates agilis,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Hylobates agilis,locomotion,Intermembral_index,Granatosky,primary,129
Hylobates agilis,locomotion,Locomotor_diversity_index,Granatosky,primary,1.46623688969866
Hylobates lar,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Hylobates lar,dexterity,Dexterity,Heffner,primary,6
Hylobates lar,dexterity,Dexterity,Iwaniuk,secondary,6
Hylobates lar,handedness,Handedness_index_mean,Caspar,primary,-0.011
Hylobates lar,handedness,Handedness_strength_mean,Caspar,primary,0.614
Hylobates lar,locomotion,Intermembral_index,Granatosky,primary,130
Hylobates lar,locomotion,Locomotor_diversity_index,Granatosky,primary,1.08697816813994
Hylobates lar,vocalization,VocalRepertoire,ManyPrimates,secondary,14
Hylobates moloch,handedness,Handedness_index_mean,Caspar,primary,-0.115
Hylobates moloch,handedness,Handedness_strength_mean,Caspar,primary,0.799
Hylobates moloch,vocalization,VocalRepertoire,ManyPrimates,secondary,14
Hylobates muelleri,vocalization,VocalRepertoire,ManyPrimates,secondary,14
Hylobates pileatus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Hylobates pileatus,manipulation,Extractive_foraging,Heldstab,primary,0
Hylobates pileatus,locomotion,Intermembral_index,Granatosky,primary,129.5
Hylobates pileatus,locomotion,Locomotor_diversity_index,Granatosky,primary,0.566784872290849
Hylobates pileatus,manipulation,Manipulation_complexity,Heldstab,primary,2.14
Hylobates pileatus,manipulation,Tool_use,Heldstab,primary,0
Hylobates syndactylus,dexterity,Dexterity,Heffner,primary,6
Isoodon macrourus,gait,Duty_Factor,Wimberly,primary,74.38809091
Isoodon macrourus,gait,Foot_Posture,Wimberly,primary,plantigrade
Isoodon macrourus,gait,Gait,Wimberly,primary,LSDC
Isoodon macrourus,gait,Phase,Wimberly,primary,41.78658333
Kobus ellipsiprymnus,gait,Duty_Factor,Wimberly,primary,67.16
Kobus ellipsiprymnus,gait,Foot_Posture,Wimberly,primary,unguligrade
Kobus ellipsiprymnus,gait,Gait,Wimberly,primary,LSLC
Kobus ellipsiprymnus,gait,Phase,Wimberly,primary,20.9
Lagothrix lagothricha,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Lagothrix lagothricha,locomotion,Intermembral_index,Granatosky,primary,98
Lagothrix lagothricha,locomotion,Locomotor_diversity_index,Granatosky,primary,1.67997850986382
Lagothrix lagothricha,vocalization,VocalRepertoire,ManyPrimates,secondary,6
Lagothrix lagothricha,vocalization,VocalRepertoire,Schniter,primary,8
Lagothrix lagotricha,dexterity,Dexterity,Heffner,primary,5
Lagothrix lagotricha,dexterity,Dexterity,Iwaniuk,secondary,5
Lama glama,gait,Duty_Factor,Wimberly,primary,72
Lama glama,gait,Foot_Posture,Wimberly,primary,digitigrade
Lama glama,gait,Gait,Wimberly,primary,LSLC
Lama glama,gait,Phase,Wimberly,primary,17
Lasiorhinus krefftii,gait,Duty_Factor,Wimberly,primary,73
Lasiorhinus krefftii,gait,Foot_Posture,Wimberly,primary,plantigrade
Lasiorhinus krefftii,gait,Gait,Wimberly,primary,LSLC
Lasiorhinus krefftii,gait,Phase,Wimberly,primary,18
Lemur catta,locomotion,Arboreal_terrestrial,Granatosky,primary,T
Lemur catta,dexterity,Dexterity,Heffner,primary,5
Lemur catta,gait,Duty_Factor,Wimberly,primary,64.50073161
Lemur catta,manipulation,Extractive_foraging,Heldstab,primary,0
Lemur catta,gait,Foot_Posture,Wimberly,primary,plantigrade
Lemur catta,gait,Gait,Wimberly,primary,DSDC
Lemur catta,locomotion,Intermembral_index,Granatosky,primary,70
Lemur catta,locomotion,Locomotor_diversity_index,Granatosky,primary,1.35877626253505
Lemur catta,manipulation,Manipulation_complexity,Heldstab,primary,1.48
Lemur catta,gait,Phase,Wimberly,primary,65.24681400999999
Lemur catta,manipulation,Tool_use,Heldstab,primary,0
Lemur catta,vocalization,VocalRepertoire,ManyPrimates,secondary,22
Lemur catta,vocalization,VocalRepertoire,Schniter,primary,22
Leontopithecus chrysomelas,manipulation,Extractive_foraging,Heldstab,primary,1
Leontopithecus chrysomelas,handedness,Handedness_index_mean,Caspar,primary,0.151
Leontopithecus chrysomelas,handedness,Handedness_strength_mean,Caspar,primary,0.514
Leontopithecus chrysomelas,manipulation,Manipulation_complexity,Heldstab,primary,1.63
Leontopithecus chrysomelas,manipulation,Tool_use,Heldstab,primary,0
Leontopithecus chrysopygus,handedness,Handedness_index_mean,Caspar,primary,0.039
Leontopithecus chrysopygus,handedness,Handedness_strength_mean,Caspar,primary,0.35
Leontopithecus rosalia,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Leontopithecus rosalia,gait,Duty_Factor,Wimberly,primary,65.77
Leontopithecus rosalia,manipulation,Extractive_foraging,Heldstab,primary,1
Leontopithecus rosalia,gait,Foot_Posture,Wimberly,primary,plantigrade
Leontopithecus rosalia,gait,Gait,Wimberly,primary,DSDC
Leontopithecus rosalia,handedness,Handedness_index_mean,Caspar,primary,0.022
Leontopithecus rosalia,handedness,Handedness_strength_mean,Caspar,primary,0.502
Leontopithecus rosalia,locomotion,Intermembral_index,Granatosky,primary,89
Leontopithecus rosalia,locomotion,Locomotor_diversity_index,Granatosky,primary,1.64214160038655
Leontopithecus rosalia,manipulation,Manipulation_complexity,Heldstab,primary,1.2
Leontopithecus rosalia,gait,Phase,Wimberly,primary,58.27
Leontopithecus rosalia,manipulation,Tool_use,Heldstab,primary,0
Leontopithecus rosalia,vocalization,VocalRepertoire,ManyPrimates,secondary,16
Leontopithecus rosalia,vocalization,VocalRepertoire,Schniter,primary,20
Leopardus pardalis,gait,Duty_Factor,Wimberly,primary,60.88318534
Leopardus pardalis,gait,Foot_Posture,Wimberly,primary,digitigrade
Leopardus pardalis,gait,Gait,Wimberly,primary,LSLC
Leopardus pardalis,gait,Phase,Wimberly,primary,19.12393178
Lepilemur edwardsi,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Lepilemur edwardsi,locomotion,Intermembral_index,Granatosky,primary,60
Lepilemur edwardsi,locomotion,Locomotor_diversity_index,Granatosky,primary,1.15243525834186
Leptailurus serval,gait,Duty_Factor,Wimberly,primary,58.31083859
Leptailurus serval,gait,Foot_Posture,Wimberly,primary,digitigrade
Leptailurus serval,gait,Gait,Wimberly,primary,LSLC
Leptailurus serval,gait,Phase,Wimberly,primary,23.49302641
Lophocebus albigena,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Lophocebus albigena,locomotion,Intermembral_index,Granatosky,primary,78
Lophocebus albigena,locomotion,Locomotor_diversity_index,Granatosky,primary,1.15397234190199
Loris tardigradus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Loris tardigradus,gait,Duty_Factor,Wimberly,primary,51.88678685
Loris tardigradus,gait,Foot_Posture,Wimberly,primary,plantigrade
Loris tardigradus,gait,Gait,Wimberly,primary,DSDC
Loris tardigradus,locomotion,Intermembral_index,Granatosky,primary,90
Loris tardigradus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.40106786758068
Loris tardigradus,gait,Phase,Wimberly,primary,55.85018746
Loxodonta africana,gait,Duty_Factor,Wimberly,primary,74
Loxodonta africana,gait,Foot_Posture,Wimberly,primary,plantigrade
Loxodonta africana,gait,Gait,Wimberly,primary,LSLC
Loxodonta africana,gait,Phase,Wimberly,primary,17
Lynx rufus,gait,Duty_Factor,Wimberly,primary,71
Lynx rufus,gait,Foot_Posture,Wimberly,primary,digitigrade
Lynx rufus,gait,Gait,Wimberly,primary,LSLC
Lynx rufus,gait,Phase,Wimberly,primary,17
Macaca fascicularis,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Macaca fascicularis,gait,Duty_Factor,Wimberly,primary,60.20866946
Macaca fascicularis,manipulation,Extractive_foraging,Heldstab,primary,1
Macaca fascicularis,gait,Foot_Posture,Wimberly,primary,plantigrade
Macaca fascicularis,gait,Gait,Wimberly,primary,DSDC
Macaca fascicularis,handedness,Handedness_index_mean,Caspar,primary,-0.036
Macaca fascicularis,handedness,Handedness_strength_mean,Caspar,primary,0.6840000000000001
Macaca fascicularis,locomotion,Intermembral_index,Granatosky,primary,93
Macaca fascicularis,locomotion,Locomotor_diversity_index,Granatosky,primary,1.23184052217936
Macaca fascicularis,manipulation,Manipulation_complexity,Heldstab,primary,4.11
Macaca fascicularis,gait,Phase,Wimberly,primary,63.07784027
Macaca fascicularis,manipulation,Tool_use,Heldstab,primary,1
Macaca fascicularis,vocalization,VocalRepertoire,ManyPrimates,secondary,17
Macaca fascicularis,vocalization,VocalRepertoire,Schniter,primary,17
Macaca fuscata,locomotion,Arboreal_terrestrial,Granatosky,primary,T
Macaca fuscata,locomotion,Locomotor_diversity_index,Granatosky,primary,0.80440397625966
Macaca fuscata,vocalization,VocalRepertoire,Schniter,primary,34
Macaca irus,dexterity,Dexterity,Heffner,primary,6
Macaca mulatta,locomotion,Arboreal_terrestrial,Granatosky,primary,T
Macaca mulatta,dexterity,Dexterity,Heffner,primary,6
Macaca mulatta,dexterity,Dexterity,Iwaniuk,secondary,6
Macaca mulatta,gait,Duty_Factor,Wimberly,primary,62.76238395
Macaca mulatta,gait,Foot_Posture,Wimberly,primary,plantigrade
Macaca mulatta,gait,Gait,Wimberly,primary,DSDC
Macaca mulatta,locomotion,Intermembral_index,Granatosky,primary,93
Macaca mulatta,locomotion,Locomotor_diversity_index,Granatosky,primary,1.02674163828187
Macaca mulatta,gait,Phase,Wimberly,primary,63.03289724
Macaca mulatta,vocalization,VocalRepertoire,ManyPrimates,secondary,18
Macaca nemestrina,handedness,Handedness_index_mean,Caspar,primary,0.035
Macaca nemestrina,handedness,Handedness_strength_mean,Caspar,primary,0.527
Macaca nemestrina,vocalization,VocalRepertoire,Schniter,primary,16
Macaca radiata,vocalization,VocalRepertoire,Schniter,primary,21
Macaca silenus,handedness,Handedness_index_mean,Caspar,primary,-0.051
Macaca silenus,handedness,Handedness_strength_mean,Caspar,primary,0.467
Macaca silenus,vocalization,VocalRepertoire,ManyPrimates,secondary,15
Macaca silenus,vocalization,VocalRepertoire,Schniter,primary,15
Macaca sylvanus,manipulation,Extractive_foraging,Heldstab,primary,1
Macaca sylvanus,handedness,Handedness_index_mean,Caspar,primary,-0.025
Macaca sylvanus,handedness,Handedness_strength_mean,Caspar,primary,0.67
Macaca sylvanus,manipulation,Manipulation_complexity,Heldstab,primary,3.76
Macaca sylvanus,manipulation,Tool_use,Heldstab,primary,0
Macaca sylvanus,vocalization,VocalRepertoire,ManyPrimates,secondary,14
Macaca sylvanus,vocalization,VocalRepertoire,Schniter,primary,14
Macaca tonkeana,manipulation,Extractive_foraging,Heldstab,primary,0
Macaca tonkeana,handedness,Handedness_index_mean,Caspar,primary,-0.057
Macaca tonkeana,handedness,Handedness_strength_mean,Caspar,primary,0.543
Macaca tonkeana,manipulation,Manipulation_complexity,Heldstab,primary,3
Macaca tonkeana,manipulation,Tool_use,Heldstab,primary,0
Macaca tonkeana,vocalization,VocalRepertoire,ManyPrimates,secondary,20
Mandrillus sphinx,gait,Duty_Factor,Wimberly,primary,63.9957265
Mandrillus sphinx,manipulation,Extractive_foraging,Heldstab,primary,0
Mandrillus sphinx,gait,Foot_Posture,Wimberly,primary,plantigrade
Mandrillus sphinx,gait,Gait,Wimberly,primary,DSDC
Mandrillus sphinx,handedness,Handedness_index_mean,Caspar,primary,0.034
Mandrillus sphinx,handedness,Handedness_strength_mean,Caspar,primary,0.389
Mandrillus sphinx,manipulation,Manipulation_complexity,Heldstab,primary,2.21
Mandrillus sphinx,gait,Phase,Wimberly,primary,56.08974
Mandrillus sphinx,manipulation,Tool_use,Heldstab,primary,0
Mandrillus sphinx,vocalization,VocalRepertoire,Schniter,primary,10
Manis pentadactyla,dexterity,Dexterity,Heffner,primary,1
Mellivora capensis,gait,Duty_Factor,Wimberly,primary,62.05
Mellivora capensis,gait,Foot_Posture,Wimberly,primary,plantigrade
Mellivora capensis,gait,Gait,Wimberly,primary,LSDC
Mellivora capensis,gait,Phase,Wimberly,primary,26.14
Mephitis mephitis,gait,Duty_Factor,Wimberly,primary,74.17
Mephitis mephitis,gait,Foot_Posture,Wimberly,primary,digitigrade
Mephitis mephitis,gait,Gait,Wimberly,primary,LSLC
Mephitis mephitis,gait,Phase,Wimberly,primary,25.63
Mesocricetus auratus,gait,Duty_Factor,Wimberly,primary,70
Mesocricetus auratus,gait,Foot_Posture,Wimberly,primary,plantigrade
Mesocricetus auratus,gait,Gait,Wimberly,primary,LSDC
Mesocricetus auratus,gait,Phase,Wimberly,primary,45
Microcebus murinus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Microcebus murinus,locomotion,Intermembral_index,Granatosky,primary,72
Microcebus murinus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.37713994283633
Micromys minutus,gait,Duty_Factor,Wimberly,primary,65.63
Micromys minutus,gait,Foot_Posture,Wimberly,primary,plantigrade
Micromys minutus,gait,Gait,Wimberly,primary,LSDC
Micromys minutus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.36527966118353
Micromys minutus,gait,Phase,Wimberly,primary,34.05
Microsciurus flaviventer,locomotion,Locomotor_diversity_index,Granatosky,primary,1.39151305970536
Microsorex hoyi,dexterity,Dexterity,Heffner,primary,2
Miopithecus talapoin,vocalization,VocalRepertoire,Schniter,primary,12
Mirza coquereli,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Mirza coquereli,locomotion,Intermembral_index,Granatosky,primary,70
Mirza coquereli,locomotion,Locomotor_diversity_index,Granatosky,primary,1.55871076469281
Monodelphis domestica,gait,Duty_Factor,Wimberly,primary,68.60473333
Monodelphis domestica,gait,Foot_Posture,Wimberly,primary,plantigrade
Monodelphis domestica,gait,Gait,Wimberly,primary,LSDC
Monodelphis domestica,gait,Phase,Wimberly,primary,46.31073333
Moschiola meminna,gait,Duty_Factor,Wimberly,primary,68.17528736
Moschiola meminna,gait,Foot_Posture,Wimberly,primary,unguligrade
Moschiola meminna,gait,Gait,Wimberly,primary,LSLC
Moschiola meminna,gait,Phase,Wimberly,primary,20.76149
Moschus leucogaster,gait,Duty_Factor,Wimberly,primary,72.02
Moschus leucogaster,gait,Foot_Posture,Wimberly,primary,unguligrade
Moschus leucogaster,gait,Gait,Wimberly,primary,LSDC
Moschus leucogaster,gait,Phase,Wimberly,primary,30.21
Mungos mungo,gait,Duty_Factor,Wimberly,primary,60
Mungos mungo,gait,Foot_Posture,Wimberly,primary,digitigrade
Mungos mungo,gait,Gait,Wimberly,primary,LSLC
Mungos mungo,gait,Phase,Wimberly,primary,16
Muntiacus muntjak,gait,Duty_Factor,Wimberly,primary,67.63833992000001
Muntiacus muntjak,gait,Foot_Posture,Wimberly,primary,unguligrade
Muntiacus muntjak,gait,Gait,Wimberly,primary,LSLC
Muntiacus muntjak,gait,Phase,Wimberly,primary,23.41897
Mus musculus,dexterity,Dexterity,Heffner,primary,3
Mus musculus,gait,Duty_Factor,Wimberly,primary,86
Mus musculus,gait,Foot_Posture,Wimberly,primary,plantigrade
Mus musculus,gait,Gait,Wimberly,primary,LSDC
Mus musculus,gait,Phase,Wimberly,primary,40
Muscardinus avellanarius,gait,Duty_Factor,Wimberly,primary,64.25
Muscardinus avellanarius,gait,Foot_Posture,Wimberly,primary,plantigrade
Muscardinus avellanarius,gait,Gait,Wimberly,primary,LSDC
Muscardinus avellanarius,gait,Phase,Wimberly,primary,36.74
Mustela putorius furo,dexterity,Dexterity,Heffner,primary,3
Myocastor coypus,dexterity,Dexterity,Heffner,primary,3
Myocastor coypus,dexterity,Dexterity,Iwaniuk,secondary,3
Myodes glareolus,gait,Duty_Factor,Wimberly,primary,68.34999999999999
Myodes glareolus,gait,Foot_Posture,Wimberly,primary,plantigrade
Myodes glareolus,gait,Gait,Wimberly,primary,LSLC
Myodes glareolus,gait,Phase,Wimberly,primary,25.86
Myotis,dexterity,Dexterity,Heffner,primary,1
Myrmecobius fasciatus,gait,Duty_Factor,Wimberly,primary,55
Myrmecobius fasciatus,gait,Foot_Posture,Wimberly,primary,digitigrade
Myrmecobius fasciatus,gait,Gait,Wimberly,primary,LSDC
Myrmecobius fasciatus,gait,Phase,Wimberly,primary,30
Myrmecophaga jubata,dexterity,Dexterity,Heffner,primary,1
Myrmecophaga tridactyla,gait,Duty_Factor,Wimberly,primary,70
Myrmecophaga tridactyla,gait,Foot_Posture,Wimberly,primary,plantigrade
Myrmecophaga tridactyla,gait,Gait,Wimberly,primary,LSDC
Myrmecophaga tridactyla,gait,Phase,Wimberly,primary,27
Mystacina tuberculata,gait,Duty_Factor,Wimberly,primary,60.77757143
Mystacina tuberculata,gait,Gait,Wimberly,primary,LSDC
Mystacina tuberculata,gait,Phase,Wimberly,primary,40.67614286
Nandinia binotata,gait,Duty_Factor,Wimberly,primary,58.93
Nandinia binotata,gait,Gait,Wimberly,primary,LSLC
Nandinia binotata,gait,Phase,Wimberly,primary,21.43
Nanger granti,gait,Duty_Factor,Wimberly,primary,67.38351254
Nanger granti,gait,Foot_Posture,Wimberly,primary,unguligrade
Nanger granti,gait,Gait,Wimberly,primary,LSLC
Nanger granti,gait,Phase,Wimberly,primary,21.0492
Nasua nasua,gait,Duty_Factor,Wimberly,primary,70.51411278
Nasua nasua,gait,Foot_Posture,Wimberly,primary,plantigrade
Nasua nasua,gait,Gait,Wimberly,primary,LSLC
Nasua nasua,gait,Phase,Wimberly,primary,22.5366778
Nomascus gabriellae,handedness,Handedness_index_mean,Caspar,primary,-0.173
Nomascus gabriellae,handedness,Handedness_strength_mean,Caspar,primary,0.618
Nomascus leucogenys,handedness,Handedness_index_mean,Caspar,primary,-0.031
Nomascus leucogenys,handedness,Handedness_strength_mean,Caspar,primary,0.555
Nomascus leucogenys,vocalization,VocalRepertoire,ManyPrimates,secondary,19
Nomascus nasutus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Nomascus nasutus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.12300989482099
Nycticebus coucang,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Nycticebus coucang,dexterity,Dexterity,Heffner,primary,5
Nycticebus coucang,dexterity,Dexterity,Iwaniuk,secondary,5
Nycticebus coucang,locomotion,Intermembral_index,Granatosky,primary,88
Nycticebus coucang,locomotion,Locomotor_diversity_index,Granatosky,primary,1.49154515081169
Nycticebus pygmaeus,gait,Duty_Factor,Wimberly,primary,53.51858708
Nycticebus pygmaeus,gait,Foot_Posture,Wimberly,primary,plantigrade
Nycticebus pygmaeus,gait,Gait,Wimberly,primary,DSDC
Nycticebus pygmaeus,gait,Phase,Wimberly,primary,55.66518816
Odocoileus virginianus,gait,Duty_Factor,Wimberly,primary,69
Odocoileus virginianus,gait,Foot_Posture,Wimberly,primary,unguligrade
Odocoileus virginianus,gait,Gait,Wimberly,primary,LSDC
Odocoileus virginianus,gait,Phase,Wimberly,primary,31
Okapia johnstoni,gait,Duty_Factor,Wimberly,primary,60.65281462
Okapia johnstoni,gait,Foot_Posture,Wimberly,primary,unguligrade
Okapia johnstoni,gait,Gait,Wimberly,primary,LSLC
Okapia johnstoni,gait,Phase,Wimberly,primary,16.90813
Oreotragus oreotragus,gait,Duty_Factor,Wimberly,primary,64.28571429
Oreotragus oreotragus,gait,Foot_Posture,Wimberly,primary,unguligrade
Oreotragus oreotragus,gait,Gait,Wimberly,primary,LSDC
Oreotragus oreotragus,gait,Phase,Wimberly,primary,42.85714
Ornithorhynchus anatinus,gait,Duty_Factor,Wimberly,primary,58.59656149
Ornithorhynchus anatinus,gait,Foot_Posture,Wimberly,primary,plantigrade
Ornithorhynchus anatinus,gait,Gait,Wimberly,primary,LSDC
Ornithorhynchus anatinus,gait,Phase,Wimberly,primary,44.35640697
Orycteropus afer,dexterity,Dexterity,Heffner,primary,2
Orycteropus afer,gait,Duty_Factor,Wimberly,primary,69.98224148
Orycteropus afer,gait,Foot_Posture,Wimberly,primary,digitigrade
Orycteropus afer,gait,Gait,Wimberly,primary,LSDC
Orycteropus afer,gait,Phase,Wimberly,primary,49.46041
Oryctolagus cuniculus,dexterity,Dexterity,Heffner,primary,2
Oryx gazella,gait,Duty_Factor,Wimberly,primary,66.66
Oryx gazella,gait,Foot_Posture,Wimberly,primary,unguligrade
Oryx gazella,gait,Gait,Wimberly,primary,LSLC
Oryx gazella,gait,Phase,Wimberly,primary,14.81
Otolemur garnettii,dexterity,Dexterity,Heffner,primary,5
Otolemur garnettii,dexterity,Dexterity,Iwaniuk,secondary,5
Ovis aries,dexterity,Dexterity,Heffner,primary,1
