Species,measure_class,Measure,Team,role,Value
Ateles geoffroyi,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Ateles geoffroyi,gait,Duty_Factor,Wimberly,primary,60.68357468
Ateles geoffroyi,manipulation,Extractive_foraging,Heldstab,primary,0
Ateles geoffroyi,gait,Foot_Posture,Wimberly,primary,plantigrade
Ateles geoffroyi,gait,Gait,Wimberly,primary,DSDC
Ateles geoffroyi,handedness,Handedness_index_mean,Caspar,primary,0.061
Ateles geoffroyi,handedness,Handedness_strength_mean,Caspar,primary,0.829
Ateles geoffroyi,locomotion,Intermembral_index,Granatosky,primary,105
Ateles geoffroyi,locomotion,Locomotor_diversity_index,Granatosky,primary,1.29373888903011
Ateles geoffroyi,manipulation,Manipulation_complexity,Heldstab,primary,2.48
Ateles geoffroyi,gait,Phase,Wimberly,primary,71.8768163
Ateles geoffroyi,manipulation,Tool_use,Heldstab,primary,0
Ateles hybridus,handedness,Handedness_index_mean,Caspar,primary,-0.377
Ateles hybridus,handedness,Handedness_strength_mean,Caspar,primary,0.917
Ateles paniscus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Ateles paniscus,gait,Duty_Factor,Wimberly,primary,60.59999272
Ateles paniscus,gait,Foot_Posture,Wimberly,primary,plantigrade
Ateles paniscus,gait,Gait,Wimberly,primary,DSDC
Ateles paniscus,locomotion,Intermembral_index,Granatosky,primary,105
Ateles paniscus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.76983447403569
Ateles paniscus,gait,Phase,Wimberly,primary,63.99376761
Avahi occidentalis,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Avahi occidentalis,locomotion,Locomotor_diversity_index,Granatosky,primary,1.14885486473691
Bison bison,gait,Duty_Factor,Wimberly,primary,71
Bison bison,gait,Foot_Posture,Wimberly,primary,unguligrade
Bison bison,gait,Gait,Wimberly,primary,LSLC
Bison bison,gait,Phase,Wimberly,primary,16
Bos taurus,gait,Duty_Factor,Wimberly,primary,69
Bos taurus,gait,Foot_Posture,Wimberly,primary,unguligrade
Bos taurus,gait,Gait,Wimberly,primary,LSDC
Bos taurus,gait,Phase,Wimberly,primary,29
Bradypus variegatus,gait,Duty_Factor,Wimberly,primary,78.56999999999999
Bradypus variegatus,gait,Foot_Posture,Wimberly,primary,plantigrade
Bradypus variegatus,gait,Gait,Wimberly,primary,DSDC
Bradypus variegatus,gait,Phase,Wimberly,primary,52.04
Bubalus bubalis,gait,Duty_Factor,Wimberly,primary,63.16964286
Bubalus bubalis,gait,Foot_Posture,Wimberly,primary,unguligrade
Bubalus bubalis,gait,Gait,Wimberly,primary,LSLC
Bubalus bubalis,gait,Phase,Wimberly,primary,16.96429
Cacajao calvus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cacajao calvus,locomotion,Intermembral_index,Granatosky,primary,83
Cacajao calvus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.86810866495463
Callicebus brunneus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Callicebus brunneus,locomotion,Intermembral_index,Granatosky,primary,79
Callicebus brunneus,locomotion,Locomotor_diversity_index,Granatosky,primary,0.9954182990798069
Callicebus cupreus,manipulation,Extractive_foraging,Heldstab,primary,0
Callicebus cupreus,manipulation,Manipulation_complexity,Heldstab,primary,1.85
Callicebus cupreus,manipulation,Tool_use,Heldstab,primary,0
Callicebus moloch,vocalization,VocalRepertoire,Schniter,primary,10
Callicebus torquatus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Callicebus torquatus,locomotion,Intermembral_index,Granatosky,primary,79
Callicebus torquatus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.29137383119401
Callimico goeldii,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Callimico goeldii,manipulation,Extractive_foraging,Heldstab,primary,0
Callimico goeldii,locomotion,Intermembral_index,Granatosky,primary,69
Callimico goeldii,locomotion,Locomotor_diversity_index,Granatosky,primary,1.56568356541191
Callimico goeldii,manipulation,Manipulation_complexity,Heldstab,primary,1.43
Callimico goeldii,manipulation,Tool_use,Heldstab,primary,0
Callimico goeldii,vocalization,VocalRepertoire,Schniter,primary,28
Callithrix geoffroyi,manipulation,Extractive_foraging,Heldstab,primary,1
Callithrix geoffroyi,manipulation,Manipulation_complexity,Heldstab,primary,1.32
Callithrix geoffroyi,manipulation,Tool_use,Heldstab,primary,0
Callithrix jacchus,manipulation,Extractive_foraging,Heldstab,primary,1
Callithrix jacchus,manipulation,Manipulation_complexity,Heldstab,primary,1.33
Callithrix jacchus,manipulation,Tool_use,Heldstab,primary,0
Callithrix jacchus,vocalization,VocalRepertoire,ManyPrimates,secondary,13
Callithrix jacchus,vocalization,VocalRepertoire,Schniter,primary,8
Callithrix pygmaea,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Callithrix pygmaea,locomotion,Intermembral_index,Granatosky,primary,69
Callithrix pygmaea,locomotion,Locomotor_diversity_index,Granatosky,primary,1.32325697190067
Callithrix pygmaea,vocalization,VocalRepertoire,Schniter,primary,16
Callorhinus ursinus,dexterity,Dexterity,Heffner,primary,1
Caluromys philander,gait,Duty_Factor,Wimberly,primary,67.03085345
Caluromys philander,gait,Foot_Posture,Wimberly,primary,plantigrade
Caluromys philander,gait,Gait,Wimberly,primary,DSDC
Caluromys philander,locomotion,Locomotor_diversity_index,Granatosky,primary,1.15402168831365
Caluromys philander,gait,Phase,Wimberly,primary,58
Camelus,dexterity,Dexterity,Heffner,primary,1
Camelus bactrianus,gait,Duty_Factor,Wimberly,primary,72
Camelus bactrianus,gait,Foot_Posture,Wimberly,primary,digitigrade
Camelus bactrianus,gait,Gait,Wimberly,primary,LSLC
Camelus bactrianus,gait,Phase,Wimberly,primary,21
Camelus dromedarius,gait,Duty_Factor,Wimberly,primary,75.01622322999999
Camelus dromedarius,gait,Foot_Posture,Wimberly,primary,digitigrade
Camelus dromedarius,gait,Gait,Wimberly,primary,LSLC
Camelus dromedarius,gait,Phase,Wimberly,primary,22.78823
Canis aureus,gait,Duty_Factor,Wimberly,primary,73.28703704
Canis aureus,gait,Foot_Posture,Wimberly,primary,digitigrade
Canis aureus,gait,Gait,Wimberly,primary,LSLC
Canis aureus,gait,Phase,Wimberly,primary,24.25926
Canis latrans,dexterity,Dexterity,Heffner,primary,2
Canis latrans,dexterity,Dexterity,Iwaniuk,secondary,2
Canis lupus,gait,Duty_Factor,Wimberly,primary,60.34
Canis lupus,gait,Foot_Posture,Wimberly,primary,digitigrade
Canis lupus,gait,Gait,Wimberly,primary,LSLC
Canis lupus,gait,Phase,Wimberly,primary,18.965
Capra aegagrus,gait,Duty_Factor,Wimberly,primary,72
Capra aegagrus,gait,Foot_Posture,Wimberly,primary,unguligrade
Capra aegagrus,gait,Gait,Wimberly,primary,LSLC
Capra aegagrus,gait,Phase,Wimberly,primary,23
Capra hircus,dexterity,Dexterity,Heffner,primary,1
Capra hircus,dexterity,Dexterity,Iwaniuk,secondary,1
Caracal caracal,gait,Duty_Factor,Wimberly,primary,65.76364335
Caracal caracal,gait,Foot_Posture,Wimberly,primary,digitigrade
Caracal caracal,gait,Gait,Wimberly,primary,LSLC
Caracal caracal,gait,Phase,Wimberly,primary,20.07495141
Carlito syrichta,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Carlito syrichta,locomotion,Intermembral_index,Granatosky,primary,58
Carlito syrichta,locomotion,Locomotor_diversity_index,Granatosky,primary,1.05168775175858
Castor canadensis,dexterity,Dexterity,Heffner,primary,3
Castor canadensis,gait,Duty_Factor,Wimberly,primary,74.15624348999999
Castor canadensis,gait,Foot_Posture,Wimberly,primary,plantigrade
Castor canadensis,gait,Gait,Wimberly,primary,LSDC
Castor canadensis,gait,Phase,Wimberly,primary,36.6823
Cavia aperea,dexterity,Dexterity,Heffner,primary,2
Cebus capucinus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cebus capucinus,gait,Duty_Factor,Wimberly,primary,59.37513743
Cebus capucinus,gait,Foot_Posture,Wimberly,primary,plantigrade
Cebus capucinus,gait,Gait,Wimberly,primary,DSDC
Cebus capucinus,locomotion,Intermembral_index,Granatosky,primary,81
Cebus capucinus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.17177927393802
Cebus capucinus,gait,Phase,Wimberly,primary,62.83883438
Cebus capucinus,vocalization,VocalRepertoire,ManyPrimates,secondary,27
Cebus olivaceus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cebus olivaceus,locomotion,Intermembral_index,Granatosky,primary,83
Cebus olivaceus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.7365976046442
Cebus olivaceus,vocalization,VocalRepertoire,Schniter,primary,11
Cephalophus natalensis,gait,Duty_Factor,Wimberly,primary,60
Cephalophus natalensis,gait,Foot_Posture,Wimberly,primary,unguligrade
Cephalophus natalensis,gait,Gait,Wimberly,primary,LSLC
Cephalophus natalensis,gait,Phase,Wimberly,primary,22.5
Cephalophus silvicultor,gait,Duty_Factor,Wimberly,primary,67.2
Cephalophus silvicultor,gait,Foot_Posture,Wimberly,primary,unguligrade
Cephalophus silvicultor,gait,Gait,Wimberly,primary,LSLC
Cephalophus silvicultor,gait,Phase,Wimberly,primary,23.12
Ceratotherium simum,gait,Duty_Factor,Wimberly,primary,68
Ceratotherium simum,gait,Foot_Posture,Wimberly,primary,digitigrade
Ceratotherium simum,gait,Gait,Wimberly,primary,LSLC
Ceratotherium simum,gait,Phase,Wimberly,primary,21
Cercocebus atys,locomotion,Arboreal_terrestrial,Granatosky,primary,T
Cercocebus atys,manipulation,Extractive_foraging,Heldstab,primary,0
Cercocebus atys,locomotion,Locomotor_diversity_index,Granatosky,primary,0.643896378966053
Cercocebus atys,manipulation,Manipulation_complexity,Heldstab,primary,2.24
Cercocebus atys,manipulation,Tool_use,Heldstab,primary,0
Cercocebus torquatus,handedness,Handedness_index_mean,Caspar,primary,-0.029
Cercocebus torquatus,handedness,Handedness_strength_mean,Caspar,primary,0.665
Cercocebus torquatus,vocalization,VocalRepertoire,Schniter,primary,8
Cercopithecus ascanius,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cercopithecus ascanius,locomotion,Intermembral_index,Granatosky,primary,79
Cercopithecus ascanius,locomotion,Locomotor_diversity_index,Granatosky,primary,1.30149934390842
Cercopithecus campbelli,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cercopithecus campbelli,locomotion,Locomotor_diversity_index,Granatosky,primary,0.863629884719384
Cercopithecus campbelli lowei,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cercopithecus campbelli lowei,locomotion,Locomotor_diversity_index,Granatosky,primary,1.30031419276679
Cercopithecus cephus,vocalization,VocalRepertoire,Schniter,primary,16
Cercopithecus diana,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cercopithecus diana,manipulation,Extractive_foraging,Heldstab,primary,0
Cercopithecus diana,handedness,Handedness_index_mean,Caspar,primary,0.178
Cercopithecus diana,handedness,Handedness_strength_mean,Caspar,primary,0.755
Cercopithecus diana,locomotion,Intermembral_index,Granatosky,primary,79
Cercopithecus diana,locomotion,Locomotor_diversity_index,Granatosky,primary,1.11068369147808
Cercopithecus diana,manipulation,Manipulation_complexity,Heldstab,primary,2.03
Cercopithecus diana,manipulation,Tool_use,Heldstab,primary,0
Cercopithecus diana,vocalization,VocalRepertoire,ManyPrimates,secondary,4
Cercopithecus hamlyni,manipulation,Extractive_foraging,Heldstab,primary,0
Cercopithecus hamlyni,manipulation,Manipulation_complexity,Heldstab,primary,3.84
Cercopithecus hamlyni,manipulation,Tool_use,Heldstab,primary,0
Cercopithecus lhoesti,manipulation,Extractive_foraging,Heldstab,primary,1
Cercopithecus lhoesti,manipulation,Manipulation_complexity,Heldstab,primary,2.77
Cercopithecus lhoesti,manipulation,Tool_use,Heldstab,primary,0
Cercopithecus mitis,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cercopithecus mitis,locomotion,Intermembral_index,Granatosky,primary,82
Cercopithecus mitis,locomotion,Locomotor_diversity_index,Granatosky,primary,1.11414224879738
Cercopithecus neglectus,handedness,Handedness_index_mean,Caspar,primary,-0.258
Cercopithecus neglectus,handedness,Handedness_strength_mean,Caspar,primary,0.621
Cercopithecus nictitans,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cercopithecus nictitans,locomotion,Intermembral_index,Granatosky,primary,82
Cercopithecus nictitans,locomotion,Locomotor_diversity_index,Granatosky,primary,1.01907599999383
Cercopithecus petaurista,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cercopithecus petaurista,locomotion,Locomotor_diversity_index,Granatosky,primary,1.07339249913053
Cervus elaphus,gait,Duty_Factor,Wimberly,primary,63.47494553
Cervus elaphus,gait,Foot_Posture,Wimberly,primary,unguligrade
Cervus elaphus,gait,Gait,Wimberly,primary,LSDC
Cervus elaphus,gait,Phase,Wimberly,primary,28.19172
Cheirogaleus major,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cheirogaleus major,locomotion,Intermembral_index,Granatosky,primary,72
Cheirogaleus major,locomotion,Locomotor_diversity_index,Granatosky,primary,1.33520401122236
Cheirogaleus medius,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Cheirogaleus medius,gait,Duty_Factor,Wimberly,primary,54.58070367
Cheirogaleus medius,gait,Foot_Posture,Wimberly,primary,plantigrade
Cheirogaleus medius,gait,Gait,Wimberly,primary,DSDC
Cheirogaleus medius,locomotion,Intermembral_index,Granatosky,primary,68
Cheirogaleus medius,locomotion,Locomotor_diversity_index,Granatosky,primary,1.49653172902369
Cheirogaleus medius,gait,Phase,Wimberly,primary,55.44482598
Chiropotes satanas,gait,Duty_Factor,Wimberly,primary,66.84392775000001
Chiropotes satanas,gait,Foot_Posture,Wimberly,primary,plantigrade
Chiropotes satanas,gait,Gait,Wimberly,primary,LSDC
Chiropotes satanas,gait,Phase,Wimberly,primary,44.79006856
Chiropotes satanus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Chiropotes satanus,locomotion,Locomotor_diversity_index,Granatosky,primary,0.565419018216477
Chlorocebus aethiops,locomotion,Arboreal_terrestrial,Granatosky,primary,T
Chlorocebus aethiops,locomotion,Intermembral_index,Granatosky,primary,83
Chlorocebus aethiops,locomotion,Locomotor_diversity_index,Granatosky,primary,1.47520015673735
