Species,Arboreal_terrestrial,Dexterity,Duty_Factor,Extractive_foraging,Foot_Posture,Gait,Handedness_index_mean,Handedness_strength_mean,Intermembral_index,Locomotor_diversity_index,Manipulation_complexity,Phase,Tool_use,VocalRepertoire
Acinonyx jubatus,,,70,,digitigrade,LSLC,,,,,,18,,
Acrobates pygmaeus,,,55.35,,plantigrade,LSDC,,,,1.46311620781614,,50.19,,
Aepyceros melampus,,,68,,unguligrade,LSLC,,,,,,19,,
Ailuropoda melanoleuca,,,66.04377104,,plantigrade,LSLC,,,,,,20.16835,,
Ailurus fulgens,,,61.16666667,,plantigrade,LSLC,,,,,,20.41667,,
Alcelaphus buselaphus,,,72.4137931,,unguligrade,LSLC,,,,,,18.96552,,
Alouatta caraya,A,,,,,,,,97,1.60859743143501,,,,
Alouatta palliata,A,,,,,,,,98,1.18941283574095,,,,22
Alouatta pigra,A,,,,,,,,,0.230466836328381,,,,
Alouatta seniculus,A,,68.32675986,,plantigrade,DSDC,,,97,0.600482908245825,,56.89748148,,
Ammotragus lervia,,,71,,unguligrade,LSDC,,,,,,26,,
Antilocapra americana,,,62.01923077,,unguligrade,LSLC,,,,,,17.94872,,
Aotus nancymaae,,,59.59001804,,plantigrade,DSDC,,,,,,58.37598712,,
Apodemus agrarius,,,74.01,,plantigrade,LSDC,,,,,,35.52,,
Apodemus flavicollis,,,72.51,,plantigrade,LSDC,,,,,,28.77,,
Arctictis binturong,,,70.64,,,LSLC,,,,,,21.41,,
Arctocebus calabarensis,,,,,,,,,,,,,,2
Ateles ater,,4,,,,,,,,,,,,
Ateles belzebuth,A,,,,,,,,,1.80198696987699,,,,
Ateles chamek,,,,,,,,,,,,,,14
Ateles fusciceps,,,59.80060125,0,plantigrade,DSDC,0.063,0.798,,,1.35,71.24029949,0,
Ateles geoffroyi,A,,60.68357468,0,plantigrade,DSDC,0.061,0.829,105,1.29373888903011,2.48,71.8768163,0,
Ateles hybridus,,,,,,,-0.377,0.917,,,,,,
Ateles paniscus,A,,60.59999272,,plantigrade,DSDC,,,105,1.76983447403569,,63.99376761,,
Avahi occidentalis,A,,,,,,,,,1.14885486473691,,,,
Bison bison,,,71,,unguligrade,LSLC,,,,,,16,,
Bos taurus,,,69,,unguligrade,LSDC,,,,,,29,,
Bradypus variegatus,,,78.57,,plantigrade,DSDC,,,,,,52.04,,
Bubalus bubalis,,,63.16964286,,unguligrade,LSLC,,,,,,16.96429,,
Cacajao calvus,A,,,,,,,,83,1.86810866495463,,,,
Callicebus brunneus,A,,,,,,,,79,0.995418299079807,,,,
Callicebus cupreus,,,,0,,,,,,,1.85,,0,
Callicebus moloch,,,,,,,,,,,,,,10
Callicebus torquatus,A,,,,,,,,79,1.29137383119401,,,,
Callimico goeldii,A,,,0,,,,,69,1.56568356541191,1.43,,0,28
Callithrix geoffroyi,,,,1,,,,,,,1.32,,0,
Callithrix jacchus,,,,1,,,,,,,1.33,,0,8
Callithrix pygmaea,A,,,,,,,,69,1.32325697190067,,,,16
Callorhinus ursinus,,1,,,,,,,,,,,,
Caluromys philander,,,67.03085345,,plantigrade,DSDC,,,,1.15402168831365,,58,,
Camelus,,1,,,,,,,,,,,,
Camelus bactrianus,,,72,,digitigrade,LSLC,,,,,,21,,
Camelus dromedarius,,,75.01622323,,digitigrade,LSLC,,,,,,22.78823,,
Canis aureus,,,73.28703704,,digitigrade,LSLC,,,,,,24.25926,,
Canis latrans,,2,,,,,,,,,,,,
Canis lupus,,,60.34,,digitigrade,LSLC,,,,,,18.965,,
Capra aegagrus,,,72,,unguligrade,LSLC,,,,,,23,,
Capra hircus,,1,,,,,,,,,,,,
Caracal caracal,,,65.76364335,,digitigrade,LSLC,,,,,,20.07495141,,
Carlito syrichta,A,,,,,,,,58,1.05168775175858,,,,
Castor canadensis,,3,74.15624349,,plantigrade,LSDC,,,,,,36.6823,,
Cavia aperea,,2,,,,,,,,,,,,
Cebus capucinus,A,,59.37513743,,plantigrade,DSDC,,,81,1.17177927393802,,62.83883438,,27
Cebus olivaceus,A,,,,,,,,83,1.7365976046442,,,,11
Cephalophus natalensis,,,60,,unguligrade,LSLC,,,,,,22.5,,
Cephalophus silvicultor,,,67.2,,unguligrade,LSLC,,,,,,23.12,,
Ceratotherium simum,,,68,,digitigrade,LSLC,,,,,,21,,
Cercocebus atys,T,,,0,,,,,,0.643896378966053,2.24,,0,
Cercocebus torquatus,,,,,,,-0.029,0.665,,,,,,8
Cercopithecus ascanius,A,,,,,,,,79,1.30149934390842,,,,
Cercopithecus campbelli,A,,,,,,,,,0.863629884719384,,,,
Cercopithecus campbelli lowei,A,,,,,,,,,1.30031419276679,,,,
Cercopithecus cephus,,,,,,,,,,,,,,16
Cercopithecus diana,A,,,0,,,0.178,0.755,79,1.11068369147808,2.03,,0,4
Cercopithecus hamlyni,,,,0,,,,,,,3.84,,0,
Cercopithecus lhoesti,,,,1,,,,,,,2.77,,0,
Cercopithecus mitis,A,,,,,,,,82,1.11414224879738,,,,
Cercopithecus neglectus,,,,,,,-0.258,0.621,,,,,,
Cercopithecus nictitans,A,,,,,,,,82,1.01907599999383,,,,
Cercopithecus petaurista,A,,,,,,,,,1.07339249913053,,,,
Cervus elaphus,,,63.47494553,,unguligrade,LSDC,,,,,,28.19172,,
Cheirogaleus major,A,,,,,,,,72,1.33520401122236,,,,
Cheirogaleus medius,A,,54.58070367,,plantigrade,DSDC,,,68,1.49653172902369,,55.44482598,,
Chiropotes satanas,,,66.84392775,,plantigrade,LSDC,,,,,,44.79006856,,
Chiropotes satanus,A,,,,,,,,,0.565419018216477,,,,
Chlorocebus aethiops,T,,,,,,,,83,1.47520015673735,,,,25
Chlorocebus sabaeus,,6,,,,,,,,,,,,25
Choloepus didactylus,,,72.63339384,,plantigrade,LSDC,,,,1.16745710622922,,49.43348146,,
Chrysocyon brachyurus,,,62.84858552,,digitigrade,LSLC,,,,,,13.18249,,
Colobus angolensis palliatus,A,,,,,,,,,1.36153853780977,,,,
Colobus guereza,A,,,0,,,,,79,1.17402880124957,2.38,,0,
Colobus polykomos,A,,,,,,,,78,1.28263841381107,,,,6
Colobus vellerosus,A,,,,,,,,,1.41868231852566,,,,
Connochaetes taurinus,,,72,,unguligrade,LSLC,,,,,,18,,
Cricetus auratus,,3,,,,,,,,,,,,
Crocuta crocuta,,,66,,digitigrade,LSLC,,,,,,10,,
Cryptoprocta ferox,,,70.43010753,,digitigrade,LSDC,,,,,,27.47909,,
Cuon alpinus,,,69.61538462,,digitigrade,LSLC,,,,,,17.94872,,
Cyclopes didactylus,,,87.63,,plantigrade,DSDC,,,,,,64.59,,
Dasypus novemcinctus,,1,54.54,,digitigrade,LSDC,,,,,,36.36,,
Dasyurus maculatus,,,64.27399,,digitigrade,LSDC,,,,,,41.39767,,
Daubentonia madagascariensis,A,,57.36413584,,plantigrade,DSDC,,,71,1.24022837119808,,65.79056326,,9
Dendrohyrax arboreus,,,55.55,,,LSLC,,,,,,22.22,,
Dendrolagus goodfellowi,,,68,,plantigrade,LSLC,,,,,,22,,
Desmodus rotundus,,,68.15073417,,,LSDC,,,,,,29.50951127,,
Desmodus rufus,,1,,,,,,,,,,,,
Didelphis virginiana,,3,76.54,,plantigrade,LSDC,,,,,,34.86,,
Eira barbara,,,,,,,,,,1.31805406764601,,,,
Elephas maximus,,1,73,,plantigrade,LSLC,,,,,,19,,
Enhydra lutris,,,67.155,,,LSDC,,,,,,27.285,,
Equus,,1,,,,,,,,,,,,
Equus asinus,,,73,,unguligrade,LSLC,,,,,,25,,
Equus burchelli,,,67,,unguligrade,LSLC,,,,,,24,,
Equus caballus,,1,67,,unguligrade,LSLC,,,,,,24,,
Erethizon dorsatum,,,75,,plantigrade,LSDC,,,,,,29,,
Erinaceus,,2,,,,,,,,,,,,
Erinaceus europaeus,,,62.96,,,LSDC,,,,,,33.33,,
Erythrocebus patas,T,,,,,,,,92,0.509101870244824,,,,
Eulemur coronatus,A,,,0,,,,,69,1.32285696027778,1.6,,0,13
Eulemur flavifrons,,,,,,,,,,,,,,10
Eulemur fulvus,A,,,,,,,,72,1.30441240377472,,,,14
Eulemur macaco,A,,,0,,,,,71,1.43123180445711,1.23,,0,16
Eulemur mongoz,A,,53.53277563,,plantigrade,DSDC,,,72,1.43236716092924,,62.43998388,,15
Eulemur rubriventer,A,,,,,,,,68,0.969736905647942,,,,
Euoticus elegantulus,,,,,,,,,,,,,,6
Felis catus,,2,63.8762843,,digitigrade,LSLC,,,,,,21.71555499,,
Galago alleni,,,,,,,,,,,,,,5
Galago matschiei,A,,,,,,,,,1.55376177629077,,,,
Galago senegalensis,A,5,,,,,,,52,1.03969242563174,,,,18
Galagoides demidoff,A,,,,,,,,68,1.40614065804908,,,,8
Galagoides thomasi,A,,,,,,,,67,1.53051572202163,,,,
Galeopterus variegatus,,,,,,,,,,1.24539319229782,,,,
Giraffa camelopardalis,,,68,,unguligrade,LSLC,,,,,,14,,
Glaucomys volans,,,,,,,,,,1.41481405296438,,,,
Gorilla gorilla,T,,61.54791155,1,plantigrade,LSDC,0.248,0.541,116,0.188053654103712,5,43.42752,0,17
Hapalemur griseus,A,,61.92340311,0,plantigrade,DSDC,,,64,1.15600589287313,1.78,64.61677814,0,
Hippopotamus amphibius,,,76,,digitigrade,LSDC,,,,,,45,,
Homo sapiens,,7,,1,,,0.761,0.943,,,5.4,,1,
Horpyiocepalus leucogostra,,1,,,,,,,,,,,,
Hydrochoerus hydrochaeris,,,69.21052632,,digitigrade,LSDC,,,,,,28.15789,,
Hylobates agilis,A,,,,,,,,129,1.46623688969866,,,,
Hylobates lar,A,6,,,,,-0.011,0.614,130,1.08697816813994,,,,14
Hylobates moloch,,,,,,,-0.115,0.799,,,,,,14
Hylobates muelleri,,,,,,,,,,,,,,14
Hylobates pileatus,A,,,0,,,,,129.5,0.566784872290849,2.14,,0,
Hylobates syndactylus,,6,,,,,,,,,,,,
Isoodon macrourus,,,74.38809091,,plantigrade,LSDC,,,,,,41.78658333,,
Kobus ellipsiprymnus,,,67.16,,unguligrade,LSLC,,,,,,20.9,,
Lagothrix lagothricha,A,,,,,,,,98,1.67997850986382,,,,8
Lagothrix lagotricha,,5,,,,,,,,,,,,
Lama glama,,,72,,digitigrade,LSLC,,,,,,17,,
Lasiorhinus krefftii,,,73,,plantigrade,LSLC,,,,,,18,,
Lemur catta,T,5,64.50073161,0,plantigrade,DSDC,,,70,1.35877626253505,1.48,65.24681401,0,22
Leontopithecus chrysomelas,,,,1,,,0.151,0.514,,,1.63,,0,
Leontopithecus chrysopygus,,,,,,,0.039,0.35,,,,,,
Leontopithecus rosalia,A,,65.77,1,plantigrade,DSDC,0.022,0.502,89,1.64214160038655,1.2,58.27,0,20
Leopardus pardalis,,,60.88318534,,digitigrade,LSLC,,,,,,19.12393178,,
Lepilemur edwardsi,A,,,,,,,,60,1.15243525834186,,,,
Leptailurus serval,,,58.31083859,,digitigrade,LSLC,,,,,,23.49302641,,
Lophocebus albigena,A,,,,,,,,78,1.15397234190199,,,,
Loris tardigradus,A,,51.88678685,,plantigrade,DSDC,,,90,1.40106786758068,,55.85018746,,
Loxodonta africana,,,74,,plantigrade,LSLC,,,,,,17,,
Lynx rufus,,,71,,digitigrade,LSLC,,,,,,17,,
