status,species_key,species_snapshot,species_csv,n_structure_mismatch,VC_snap,VI_snap,VL_snap,VM_snap,VS_snap,VC_csv,VI_csv,VL_csv,VM_csv,VS_csv,VC_match,VI_match,VL_match,VM_match,VS_match
snapshot_only_not_in_csv,erinaceus algirus,Erinaceus algirus,NA,5,15.3,4.68,2.3499999999999996,6.29,1.93,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,0,15.8,3.96,3.24,6.41,2.22,15.8,3.96,3.24,6.41,2.22,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,erythrocebus patas,Erythrocebus patas,Erythrocebus patas,0,161,35.6,32.7,64.3,28.1,161,35.6,32.7,64.3,28.1,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,eulemur fulvus,NA,Eulemur fulvus,5,NA,NA,NA,NA,NA,58.9,17.8,9.76,18.8,12.5,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,galago senegalensis,Galago senegalensis,Galago senegalensis,0,20.6,5.819999999999999,3.52,8.09,3.21,20.6,5.819999999999999,3.52,8.09,3.21,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,galagoides demidoff,Galagoides demidoff,Galagoides demidoff,0,12.5,3.82,1.7,5,2.02,12.5,3.82,1.7,5,2.02,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,galemys pyrenaicus,Galemys pyrenaicus,Galemys pyrenaicus,0,6.159999999999999,2.09,0.7939999999999999,2.61,0.6669999999999999,6.159999999999999,2.09,0.7939999999999999,2.61,0.6669999999999999,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,gorilla gorilla,Gorilla gorilla,NA,5,251,49.9,38.1,101.5,61.7,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,gorilla sp,NA,Gorilla sp.,5,NA,NA,NA,NA,NA,251,49.9,38.1,101.5,61.7,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,hemicentetes semispinosus,Hemicentetes semispinosus,Hemicentetes semispinosus,0,5.2700000000000005,1.6900000000000002,0.921,1.97,0.692,5.2700000000000005,1.6900000000000002,0.921,1.97,0.692,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,hemiechinus auritus,Hemiechinus auritus,Hemiechinus auritus,0,8.68,2.3,1.73,3.46,1.1900000000000002,8.68,2.3,1.73,3.46,1.1900000000000002,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,homo sapiens,Homo sapiens,Homo sapiens,0,339,87.8,42.3,130.3,78.4,339,87.8,42.3,130.3,78.4,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,hylobates lar,Hylobates lar,Hylobates lar,0,119,29.8,11.5,49.1,28.9,119,29.8,11.5,49.1,28.9,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,indri indri,Indri indri,Indri indri,0,92.7,23.9,18.4,35.1,15.3,92.7,23.9,18.4,35.1,15.3,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,lagothrix lagothricha,Lagothrix lagothricha,Lagothrix lagothricha,0,104,27.8,15.8,43,17.6,104,27.8,15.8,43,17.6,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,lemur albifrons,Lemur albifrons,NA,5,58.9,17.8,9.76,18.8,12.5,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaudatus,0,33,9.91,5.22,12.8,5.03,33,9.91,5.22,12.8,5.03,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,lophocebus albigena,NA,Lophocebus albigena,5,NA,NA,NA,NA,NA,170,49.2,23,65.1,32.8,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,loris tardigradus,Loris tardigradus,Loris tardigradus,0,16.1,4.319999999999999,2.23,6.92,2.59,16.1,4.319999999999999,2.23,6.92,2.59,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,macaca mulatta,Macaca mulatta,Macaca mulatta,0,150,35.9,22.9,62.4,29,150,35.9,22.9,62.4,29,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,microcebus murinus,Microcebus murinus,Microcebus murinus,0,7.42,2,1.3,2.8699999999999997,1.25,7.42,2,1.3,2.8699999999999997,1.25,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,microgale talazaci,Microgale talazaci,NA,5,3.4899999999999998,0.896,0.691,1.54,0.366,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,micropotamogale ruwenzorii,Micropotamogale ruwenzorii,Micropotamogale ruwenzorii,0,8.629999999999999,2.64,1.28,3.2800000000000002,1.43,8.629999999999999,2.64,1.28,3.2800000000000002,1.43,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,microsorex hoyi,Microsorex hoyi,Microsorex hoyi,0,0.581,0.166,0.115,0.21900000000000003,0.0811,0.581,0.166,0.115,0.21900000000000003,0.0811,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,miopithecus talapoin,Miopithecus talapoin,Miopithecus talapoin,0,86.8,21.4,15.2,33.9,16.3,86.8,21.4,15.2,33.9,16.3,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,nasalis larvatus,Nasalis larvatus,Nasalis larvatus,0,171,48.9,31.2,66.9,23.7,171,48.9,31.2,66.9,23.7,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,neomys fodiens,Neomys fodiens,Neomys fodiens,0,2.3099999999999996,0.726,0.355,0.961,0.269,2.3099999999999996,0.726,0.355,0.961,0.269,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,nesogale talazaci,NA,Nesogale talazaci,5,NA,NA,NA,NA,NA,3.4899999999999998,0.896,0.691,1.54,0.366,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,nycticebus coucang,Nycticebus coucang,Nycticebus coucang,0,34.9,8.88,5.619999999999999,14.7,5.72,34.9,8.88,5.619999999999999,14.7,5.72,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,otolemur crassicaudatus,Otolemur crassicaudatus,Otolemur crassicaudatus,0,37.8,12.9,5.55,13.7,5.68,37.8,12.9,5.55,13.7,5.68,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,pan troglodytes,Pan troglodytes,Pan troglodytes,0,224,58.5,23,99.6,42.8,224,58.5,23,99.6,42.8,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,papio anubis,Papio anubis,Papio anubis,0,219,65.7,24.3,96.9,32.2,219,65.7,24.3,96.9,32.2,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,perodicticus potto,Perodicticus potto,Perodicticus potto,0,38,9.09,5.34,17.2,6.33,38,9.09,5.34,17.2,6.33,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,piliocolobus badius,NA,Piliocolobus badius,5,NA,NA,NA,NA,NA,117,28.4,21.5,49.5,17.6,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,pithecia monachus,Pithecia monachus,Pithecia monachus,0,73.2,19,14.7,24.6,14.9,73.2,19,14.7,24.6,14.9,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,potamogale velox,Potamogale velox,Potamogale velox,0,25.1,9.27,3.46,8.05,4.2700000000000005,25.1,9.27,3.46,8.05,4.2700000000000005,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,0,81.6,24.9,13,28.9,14.8,81.6,24.9,13,28.9,14.8,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,pygathrix nemaeus,Pygathrix nemaeus,Pygathrix nemaeus,0,117,32.9,24.3,35.1,24.4,117,32.9,24.3,35.1,24.4,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,ruwenzorisorex suncoides,Ruwenzorisorex suncoides,Ruwenzorisorex suncoides,0,2.51,0.886,0.23500000000000001,1.1300000000000001,0.259,2.51,0.886,0.23500000000000001,1.1300000000000001,0.259,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,saguinus midas,NA,Saguinus midas,5,NA,NA,NA,NA,NA,33.1,7.74,6.5,12.3,6.59,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,saguinus midas tamarin,Saguinus midas tamarin,NA,5,33.1,7.74,6.5,12.3,6.59,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,saguinus oedipus,Saguinus oedipus,Saguinus oedipus,0,35.2,8.8,7.02,14,5.42,35.2,8.8,7.02,14,5.42,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,saimiri sciureus,Saimiri sciureus,Saimiri sciureus,0,57.1,15.3,11.6,20.5,9.739999999999998,57.1,15.3,11.6,20.5,9.739999999999998,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,scutisorexêsomereni,ScutisorexÊsomereni,NA,5,3.55,1.07,0.613,1.42,0.448,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
csv_only_not_in_snapshot,scutisorex�somereni,NA,Scutisorex�somereni,5,NA,NA,NA,NA,NA,3.55,1.07,0.613,1.42,0.448,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,setifer setosus,Setifer setosus,Setifer setosus,0,7.28,2.04,1.1,2.74,1.4,7.28,2.04,1.1,2.74,1.4,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,solenodon paradoxus,Solenodon paradoxus,Solenodon paradoxus,0,21.8,7.2,2.9,8.7,3,21.8,7.2,2.9,8.7,3,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,sorex araneus,Sorex araneus,Sorex araneus,0,1.28,0.265,0.263,0.537,0.21800000000000003,1.28,0.265,0.263,0.537,0.21800000000000003,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,sorex cinereus,Sorex cinereus,Sorex cinereus,0,0.8770000000000001,0.26,0.14700000000000002,0.365,0.21000000000000002,0.8770000000000001,0.26,0.14700000000000002,0.365,0.21000000000000002,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,suncus etruscus,Suncus etruscus,Suncus etruscus,0,0.518,0.133,0.059300000000000005,0.265,0.0608,0.518,0.133,0.059300000000000005,0.265,0.0608,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,suncus megalura,NA,Suncus megalura,5,NA,NA,NA,NA,NA,1.3800000000000001,0.32,0.269,0.634,0.15500000000000003,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,suncus murinus,Suncus murinus,Suncus murinus,0,2.1,0.584,0.378,0.915,0.226,2.1,0.584,0.378,0.915,0.226,TRUE,TRUE,TRUE,TRUE,TRUE
snapshot_only_not_in_csv,sylvisorex megalura,Sylvisorex megalura,NA,5,1.3800000000000001,0.32,0.269,0.634,0.15500000000000003,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,talpa europaea,Talpa europaea,Talpa europaea,0,4.119999999999999,1.41,0.458,1.6600000000000001,0.588,4.119999999999999,1.41,0.458,1.6600000000000001,0.588,TRUE,TRUE,TRUE,TRUE,TRUE
csv_only_not_in_snapshot,tarsius sp,NA,Tarsius sp.,5,NA,NA,NA,NA,NA,20.6,6.81,2.7600000000000002,8.360000000000001,2.7,FALSE,FALSE,FALSE,FALSE,FALSE
snapshot_only_not_in_csv,tarsius spp,Tarsius spp.,NA,5,20.6,6.81,2.7600000000000002,8.360000000000001,2.7,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
matched_by_species,tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,0,14.3,4.24,2.8699999999999997,5.119999999999999,2.12,14.3,4.24,2.8699999999999997,5.119999999999999,2.12,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,tupaia glis,Tupaia glis,Tupaia glis,0,21.5,6.03,4.1899999999999995,7,4.23,21.5,6.03,4.1899999999999995,7,4.23,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,tupaia minor,Tupaia minor,Tupaia minor,0,14.1,4.7,2.17,4.75,2.52,14.1,4.7,2.17,4.75,2.52,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,urogale everetti,Urogale everetti,Urogale everetti,0,22.6,6.54,4.109999999999999,8.370000000000001,3.61,22.6,6.54,4.109999999999999,8.370000000000001,3.61,TRUE,TRUE,TRUE,TRUE,TRUE
matched_by_species,varecia variegata,Varecia variegata,Varecia variegata,0,97,29.2,18.8,34,13,97,29.2,18.8,34,13,TRUE,TRUE,TRUE,TRUE,TRUE
