"species","group","Complexus_vestibularis_unilateral","Nucleus_vestibularis_superior_unilateral","Nucleus_vestibularis_lateralis_unilateral","Nucleus_vestibularis_medialis_unilateral","Nucleus_vestibularis_descendens_unilateral","source"
"Tenrec ecaudatus","Insectivore",7.59,1.23,1.33,2.68,2.35,"Stephan_etal_1981_TableXII"
"Setifer setosus","Insectivore",3.75,0.689,0.483,1.44,1.14,"Stephan_etal_1981_TableXII"
"Hemicentetes semispinosus","Insectivore",2.5,0.384,0.552,0.852,0.709,"Stephan_etal_1981_TableXII"
"Echinops telfairi","Insectivore",1.69,0.291,0.281,0.615,0.505,"Stephan_etal_1981_TableXII"
"Erinaceus europaeus","Insectivore",7.54,1.21,1.72,2.85,1.77,"Stephan_etal_1981_TableXII"
"Sorex minutus","Insectivore",0.41,0.0482,0.0713,0.174,0.116,"Stephan_etal_1981_TableXII"
"Sorex araneus","Insectivore",0.618,0.107,0.0955,0.249,0.166,"Stephan_etal_1981_TableXII"
"Crocidura occidentalis","Insectivore",1.32,0.171,0.222,0.543,0.389,"Stephan_etal_1981_TableXII"
"Crocidura russula","Insectivore",0.563,0.077,0.084,0.235,0.167,"Stephan_etal_1981_TableXII"
"Suncus murinus","Insectivore",1.03,0.1,0.167,0.438,0.324,"Stephan_etal_1981_TableXII"
