"species","group","Bulbus_olfactorius","Bulbus_olfactorius_accessorius","Lobus_piriformis","Septum","Striatum","Schizo_cortex","Hippocampus","Neocortex","source"
"Solenodon paradoxus","Insectivore",465,0.218,689,65.4,255,156,296,661,"Stephan_etal_1981_TableIV"
"Tenrec ecaudatus","Insectivore",314,0.715,464,36.9,98.1,76.5,146,271,"Stephan_etal_1981_TableIV"
"Setifer setosus","Insectivore",209,0.534,336,26,56.6,41.9,99.2,134,"Stephan_etal_1981_TableIV"
"Hemicentetes semispinosus","Insectivore",93.6,0.196,148,12.8,29.8,17.4,63.7,73.4,"Stephan_etal_1981_TableIV"
"Echinops telfairi","Insectivore",71.2,0.249,116,11.5,24.1,13.1,46.4,51.5,"Stephan_etal_1981_TableIV"
"Oryzorictes talpoides","Insectivore",46.9,0.12,88,10,32.5,23.5,64.3,66.5,"Stephan_etal_1981_TableIV"
"Microgale cowani","Insectivore",35.9,0.162,79,6.08,19.4,13.5,36.4,57.2,"Stephan_etal_1981_TableIV"
"Limnogale mergulus","Insectivore",42.9,0.323,87.4,19.5,57.9,36.4,78.2,196,"Stephan_etal_1981_TableIV"
"Nesogale dobsoni","Insectivore",53.6,0.178,93.5,9.58,23.1,16.3,67,62.9,"Stephan_etal_1981_TableIV"
"Nesogale talazaci","Insectivore",74.3,0.369,139,11.2,31.2,20.7,98.9,96.2,"Stephan_etal_1981_TableIV"
"Micropotamogale lamottei","Insectivore",34,0.0605,67.3,15.1,32.6,32.9,77.7,144,"Stephan_etal_1981_TableIV"
"Potamogale velox","Insectivore",86,2.31,194,51.4,134,145,298,1054,"Stephan_etal_1981_TableIV"
"Chlorotalpa stuhlmanni","Insectivore",60.6,0.204,131,11.3,43.5,21.4,59.1,129,"Stephan_etal_1981_TableIV"
"Chrysochloris asiatica","Insectivore",58.5,0.132,115,12.1,44.3,20.9,66.3,113,"Stephan_etal_1981_TableIV"
"Aethechinus algirus","Insectivore",285,1.93,459,42.9,140,109,227,500,"Stephan_etal_1981_TableIV"
"Erinaceus europaeus","Insectivore",332,1.94,505,51.7,147,134,237,522,"Stephan_etal_1981_TableIV"
"Hemiechinus auritus","Insectivore",175,1.35,279,28.4,81.1,68.7,130,309,"Stephan_etal_1981_TableIV"
"Elephantulus fuscipes","Insectivore",63.3,0.662,120,16.8,44.5,46.8,173,236,"Stephan_etal_1981_TableIV"
"Rhynchocyon stuhlmanni","Insectivore",426,0.666,705,81.5,222,220,582,1089,"Stephan_etal_1981_TableIV"
"Sorex minutus","Insectivore",8.65,0.0202,17.2,2.02,6.02,3.62,10.5,12.7,"Stephan_etal_1981_TableIV"
"Sorex araneus","Insectivore",15.7,0.0776,32.7,3.2,10.5,6.83,20.6,26.4,"Stephan_etal_1981_TableIV"
"Neomys fodiens","Insectivore",15.8,0.101,36,6.42,18.7,9,32.9,56.6,"Stephan_etal_1981_TableIV"
"Crocidura occidentalis","Insectivore",37.6,0.221,68.4,6.94,16.8,13.3,38.5,59.1,"Stephan_etal_1981_TableIV"
"Crocidura russula","Insectivore",16.3,0.0431,30.2,3.64,8.17,6.05,15.9,25.5,"Stephan_etal_1981_TableIV"
"Suncus murinus","Insectivore",34.2,0.182,56.2,5.5,14.8,12.6,31.2,54.1,"Stephan_etal_1981_TableIV"
"Talpa europaea","Insectivore",59.6,0.291,112,15,60.2,39.6,86.8,181,"Stephan_etal_1981_TableIV"
"Desmana moschata","Insectivore",141,0.218,320,42.6,222,163,267,983,"Stephan_etal_1981_TableIV"
"Galemys pyrenaicus","Insectivore",39,0.206,107,20.1,74.4,44.9,109,339,"Stephan_etal_1981_TableIV"
