"species","group","Palaeocortex","Amygdala","Complexus_centromedialis","Nucleus_tractus_olfactorius","Complexus_corticobasolateralis","Nucleus_amygdalae_basalis_pars_magnocellularis","source"
"Tenrec ecaudatus","Insectivore",364,88.1,39.9,3.18,48.1,8.9,"Stephan_etal_1981_TableX"
"Setifer setosus","Insectivore",269,67.2,30.9,2.71,36.2,7.46,"Stephan_etal_1981_TableX"
"Hemicentetes semispinosus","Insectivore",125,22.3,10.4,1.3,11.9,2.39,"Stephan_etal_1981_TableX"
"Echinops telfairi","Insectivore",93.1,22.1,10.8,0.71,11.3,3.19,"Stephan_etal_1981_TableX"
"Erinaceus europaeus","Insectivore",379,104,43.1,3.72,61.1,12.2,"Stephan_etal_1981_TableX"
"Sorex minutus","Insectivore",13.9,3.34,1.78,0.174,1.56,0.549,"Stephan_etal_1981_TableX"
"Sorex araneus","Insectivore",25.6,7.19,3.29,NA,3.9,0.704,"Stephan_etal_1981_TableX"
"Neomys fodiens","Insectivore",52.7,13.4,6,0.403,7.39,1.38,"Stephan_etal_1981_TableX"
"Crocidura occidentalis","Insectivore",23.4,6.82,3.23,0.233,3.59,0.803,"Stephan_etal_1981_TableX"
"Crocidura russula","Insectivore",45.1,11.1,5.41,0.44,5.74,0.804,"Stephan_etal_1981_TableX"
