Species,Area_striata_grey_matter_current,Area_striata_grey_matter_current_source,Species_Frahm_1984,Area_striata_1984,Area_striata_grey_matter,Area_striata_lamina_1,Area_striata_laminae_2_6,Area_striata_white_matter,Number_of_individuals_Area_striata
AAAA_Anatomy_code,,,,ASV,ASG,ASG_1,ASG_2_6,ASW,
AAAA_Reference,ALL,ALL,Frahm_1984,Frahm_1984,Frahm_1984,Frahm_1984,Frahm_1984,Frahm_1984,Frahm_1984
Suncus etruscus,,,,,,,,,
Suncus megalura,,,,,,,,,
Suncus murinus,,,,,,,,,
Sylvisorex granti,,,,,,,,,
Symphalangus syndactylus,5468.9,deSousa_2010,,,,,,,
Talpa europaea,,,,,,,,,
Tarsius sp.,349,deSousa_2010,Tarsius sp.,370,349,41.2,307,21.3,2
Tenrec ecaudatus,,,,,,,,,
Trachypithecus francoisi,,,,,,,,,
Tupaia glis,,Frahm_1984,Tupaia glis,179,169,19.6,149,10.2,4
Tupaia minor,,Frahm_1984,Tupaia minor,164,152,_,_,12.5,2
Urogale everetti,,Frahm_1984,Urogale everetti,136,123,15.5,108,12.7,1
Varecia variegata,1745,deSousa_2010,Varecia variegata,2112,"1,745",_,_,367,1
