"Species","Micro/mega","Family","Clade","n","MBODY, g","MBRAIN, g","NBRAIN"
"Cardioderma cor","Microbat","Megadermatidae","Rhinolophoidea","2 (1H each)","26.0","0.562","81,331,192"
"Coleura afra","Microbat","Emballonuridae","Yangochiroptera","2 (1H each)","11.5","0.244","58,580,214"
"Triaenops persicus","Microbat","Hipposideridae","Rhinolophoidea","2 (1H each)","13.7","0.251","69,762,924"
"Hipposideros commersoni","Microbat","Hipposideridae","Rhinolophoidea","2 females (1H each)","101.9","0.588","66,718,833"
"Chaerephon pumilus","Microbat","Molossidae","Yangochiroptera","2 (1 female) (2H each)","5.4","0.208","34,958,391"
"Miniopterus schreibersii","Microbat","Miniopteridae","Yangochiroptera","2 (1H each)","11.6","0.219","55,658,777"
"Epomophorus wahlbergi","Megabat","Pteropodidae","Pteropodidae","2 females (1H each)","74.0","1.224","161,754,633"
"Rousettus aegyptiacus","Megabat","Pteropodidae","Pteropodidae","2 (1 female) (1H each)","120.0","1.778","172,232,047"
"Megaloglossus woermanni","Megabat","Pteropodidae","Pteropodidae","2 (1H each)","17.9","0.550","65,728,366"
"Hypsignathus mostrosus","Megabat","Pteropodidae","Pteropodidae","2 (1 female) (1H each)","310.0","3.459","274,519,253"
"Epomops franqueti","Megabat","Pteropodidae","Pteropodidae","2 (1H each)","120.0","2.044","186,002,499"
"Casinycteris argynnis","Megabat","Pteropodidae","Pteropodidae","2 (1H each)","27.0","0.892","99,016,077"
"Scotonycteris zenkeri","Megabat","Pteropodidae","Pteropodidae","2 (1H each)","16.1","0.588","65,594,971"
