	Duty_Factor	Phase	Body_Mass_.g.	Hindlimb_Length_.mm.	Log_HL	Log_BM	Log_HL_BM.1.3	Habitat	Order	Gait	ArcSin_Phase	Foot_Posture	ArcSin_DF
Ateles_geoffroyi	60.68357468	71.8768163	7582.4	458.53	2.661367755	3.879806691	1.368098858	arboreal	Primates	DSDC	1.01182666	plantigrade	0.893064021
Ateles_fusciceps	59.80060125	71.24029949	9067.94	410.64	2.613461251	3.957508638	1.294291705	arboreal	Primates	DSDC	1.004771947	plantigrade	0.884042858
Trichosurus_vulpecula	56.55711	66.972	2800	213.82	2.330048325	3.447158031	1.180995648	arboreal	Diprotodontia	DSDC	0.958558907	plantigrade	0.851158685
Daubentonia_madagascariensis	57.36413584	65.79056326	2731.37	362.12	2.558852512	3.436380535	1.413392333	arboreal	Primates	DSDC	0.946053941	plantigrade	0.859308395
Lemur_catta	64.50073161	65.24681401	2626.48	294.15	2.468568853	3.419374098	1.328777487	terrestrial	Primates	DSDC	0.940333924	plantigrade	0.932519227
Pygathrix_nemaeus	63.20615207	64.94111999	9411.1	469.83	2.671940744	3.973640388	1.347393948	arboreal	Primates	DSDC	0.93712738	plantigrade	0.919045444
Priodontes_maximus	59.11835749	64.79469	40641.89	346.5	2.539703239	4.608973896	1.003378607	terrestrial	Cingulata	DSDC	0.935593705	digitigrade	0.877094883
Hapalemur_griseus	61.92340311	64.61677814	916	214.86	2.332155571	2.961895474	1.34485708	arboreal	Primates	DSDC	0.933732253	plantigrade	0.905792212
Cyclopes_didactylus	87.63	64.59	263.95	91.86	1.963126441	2.421521666	1.155952552	arboreal	Pilosa	DSDC	0.933452264	plantigrade	1.211399023
Varecia_variegata	57.19757351	64.53997173	3849.99	323.41	2.509753444	3.585459601	1.314600244	arboreal	Primates	DSDC	0.932929301	plantigrade	0.857624826
Pygathrix_cinerea	66.18556425	64.50219231	10900	476.73	2.678272482	4.037426498	1.33246365	arboreal	Primates	DSDC	0.93253449		0.950222842
Trachypithecus_poliocephalus	60.99488998	64.09781361	9000	466.64	2.668981963	3.954242509	1.350901127	arboreal	Primates	DSDC	0.928314413		0.896253016
Ateles_paniscus	60.59999272	63.99376761	8697.25	458.53	2.661367755	3.939381954	1.348240437	arboreal	Primates	DSDC	0.927230299	plantigrade	0.892208601
Macaca_fascicularis	60.20866946	63.07784027	4569.32	313.28	2.49593267	3.659851574	1.275982146	arboreal	Primates	DSDC	0.917715567	plantigrade	0.888207781
Macaca_mulatta	62.76238395	63.03289724	6455.19	311.22	2.493067498	3.80990903	1.223097822	terrestrial	Primates	DSDC	0.917249985	plantigrade	0.914450093
Propithecus_coquereli	63.27471447	62.88913796	4189.27	482.8	2.683767261	3.622138352	1.476387811	terrestrial	Primates	DSDC	0.915761513	plantigrade	0.919756451
Cebus_capucinus	59.37513743	62.83883438	3005.99	291.03	2.463937759	3.477987531	1.304608582	arboreal	Primates	DSDC	0.915240954	plantigrade	0.879707756
Eulemur_mongoz	53.53277563	62.43998388	1771.13	313.78	2.496625259	3.248250439	1.413875112	arboreal	Primates	DSDC	0.911118546	plantigrade	0.82075538
Rhinopithecus_roxellana	69.43838721	62.15191445	13456.8	430.82	2.634295856	4.128941798	1.257981924	arboreal	Primates	DSDC	0.908146579	plantigrade	0.985045037
Trachypithecus_hatinhensis	60.93216843	61.45227488	8700	487.94	2.688366422	3.939519253	1.375193338	arboreal	Primates	DSDC	0.900946663		0.895610156
Trachypithecus_phayrei	63.83	61.25	7681.72	496.73	2.69612039	3.885458473	1.400967566	arboreal	Primates	DSDC	0.898869681	plantigrade	0.925525295
Trachypithecus_delacouri	60.89086618	59.72837684	8200	452.21	2.655340162	3.913813852	1.350735544	arboreal	Primates	DSDC	0.883306434		0.895186932
Saimiri_sciureus	54.255435	58.76699956	749.47	199.81	2.30061722	2.874754253	1.342365802	arboreal	Primates	DSDC	0.873523713	plantigrade	0.828004055
Aotus_nancymaae	59.59001804	58.37598712	791.03	215.28	2.333003685	2.898192955	1.366939367	arboreal	Primates	DSDC	0.869554823	plantigrade	0.881896282
Potos_flavus	51.15862271	58.32665589	2441.81	234.89	2.370864528	3.387711868	1.241627239	arboreal	Carnivora	DSDC	0.869054482	plantigrade	0.796985428
Leontopithecus_rosalia	65.77	58.27	592.52	172.08	2.235730397	2.772703014	1.311496059	arboreal	Primates	DSDC	0.868479955	plantigrade	0.945837233
Caluromys_philander	67.03085345	58	246.47	105.05	2.021396057	2.391764065	1.224141368	arboreal	Didelphimorphia	DSDC	0.86574349	plantigrade	0.959184731
Papio_ursinus	64.76190476	56.90476	17729.44	433.61	2.637099289	4.248695018	1.220867617	terrestrial	Primates	DSDC	0.854667128	plantigrade	0.93525052
Alouatta_seniculus	68.32675986	56.89748148	6398.31	385.22	2.585708827	3.806065278	1.317020401	arboreal	Primates	DSDC	0.854593639	plantigrade	0.973039314
Mandrillus_sphinx	63.9957265	56.08974	16685.06	564.59	2.751733182	4.222327773	1.344290591	terrestrial	Primates	DSDC	0.846447136	plantigrade	0.927250703
Loris_tardigradus	51.88678685	55.85018746	249.22	132.74	2.123001813	2.396582892	1.324140849	arboreal	Primates	DSDC	0.844034348	plantigrade	0.804270513
