Table 5.,,,,,,,,,,,,,,,
        Percentage contribution of frontal<comma> parieto-temporal and occipital lobes to the hemispheres.,,,,,,,,,,,,,,,
,Homo habilis s.l.,,,African and Georgian Homo erectus s.l.,,,Asian Homo erectus,,,Neandertals s.l.,,,AMH,,
,n,Mean,V*,n,Mean,V*,n,Mean,V*,n,Mean,V*,n,Mean,V*
Frontal lobes,4,36,2.94,4,35,10.61,13,37,5.02,10,38,4.89,108,35,7.13
Parieto-temporal lobes,4,50,4.5,4,52,5.44,13,46,5.15,10,47,4.78,108,52,5.5
Occipital lobes,4,14,17.98,4,13,7.45,13,17,6.5,10,15,10.82,108,13,14.79
,,100,,,100,,,100,,,100,,,100,
