"Species","BOL","RB","PRPI","TOL","TRL","COA","SIN"
"Elephantulus fuscipes",63.3,10,48.7,17.5,2.9,2.8,2.5
"Rhynchocyon cirnei",426,77.4,301.5,87.8,23.4,21.6,17.5
"Solenodon paradoxus",464.3,71.8,312.7,115.6,19.3,20.9,15
"Tenrec ecaudatus",313.7,50.1,225.5,51,15.1,24.1,9.8
"Setifer setosus",209.1,40.1,148.9,46.5,12.4,11.1,8.2
"Hemicentetes semispinosus",93.6,16,74.7,21.7,4.5,3.4,4.8
"Echinops telfairi",71.2,12.3,58.1,15.1,2.9,2.4,3.2
"Oryzorictes talpoides",46.9,9.8,37.3,14.2,2.1,1.3,2.7
"Microgale cowani",35.9,7.7,40.3,12.4,1.8,1.1,0.9
"Microgale dobsoni",53.6,10.2,48,13,2.4,1.4,1.6
"Microgale talazaci",74.3,14.5,71.6,18.5,3.9,2.8,1.9
"Limnogale mergulus",42.9,7.9,33.4,13.2,3.1,1.4,1.6
"Potamogale velox",81.9,18.2,71.7,17.6,5,6.2,9.8
"Micropotamogale lamottei",34.1,7.7,27.1,8.7,2.4,0.92,1.4
"Micropotamogale ruwenzorii",33.9,7.5,33.8,11.7,1.7,1.9,3.2
"Chrysochloris asiatica",58.5,14.1,52.3,20.7,3,2.4,2.3
"Chrysochloris stuhlmanni",60.6,15,60,24.6,3.3,2.6,2.4
"Erinaceus algirus",284.5,52.8,216.4,53.3,12.8,13.6,9
"Erinaceus europaeus",332,61.6,227.6,56.2,14.7,23.3,13.2
"Hemiechinus auritus",175.1,21.8,128.8,35.8,6.9,7.8,6.5
"Sorex araneus",17,3.9,15.8,6,0.67,0.53,0.8
"Sorex cinereus",11.6,3.2,12.4,4.8,0.48,0.63,0.53
"Sorex fumeus",15,4.4,17,6,0.52,0.74,0.66
"Sorex minutus",9,1.8,7.6,4,3.6,0.38,0.61
"Microsoex hoyi",6.8,2,6.1,3,0.31,0.26,0.49
"Neomys fodiens",16.2,4.3,12.4,6,0.71,0.84,1.7
"Blarina brevicauda",28.8,6.9,23.4,9.6,1.4,1.5,1.5
"Crocidura flavescens",36.2,8.4,28.4,7.4,1.7,2,1.7
"Crocidura hildegardea",19.4,4.5,17.9,6.1,0.71,0.66,0.62
"Crocidura jacksoni",19.3,4.5,18.6,5.3,1,0.95,0.55
