species,bush_NeoG_mm3(x1000),frahm_NeoG_mm3,pct_diff
Hylobates lar,45120.0,46646.0,-3.3
Pan troglodytes,163180.0,172597.0,-5.5
Homo sapiens,555360.0,584706.0,-5.0
Aotus trivirgatus,5230.0,7776.0,-32.7
Saimiri sciureus,10440.0,11832.0,-11.8
Microcebus murinus,590.0,674.2,-12.5
Nycticebus coucang,4400.0,4952.0,-11.1
Propithecus verreauxi,9840.0,9835.0,0.1
Daubentonia madagascariensis,19790.0,17074.0,15.9
