Cetacean species,Age,Number of jerks,Reference
Gray whale,One 1-year old calf,45 over 6 days,Lyamin et al. (2000)
Bottlenose dolphin,Three adult males and one adult female,15–98 per day,Mukhametov and Lyamin (1997)
Amazon River dolphin,Two adults,"26 over 3 days in female, a few/night in male",Oleksenko et al. (1996)
Beluga,One adult male,"144 ± 24, average over 6 nights",Lyamin et al. (2002a b c)
Killer whale,One 1–4 months old calf,<29 single and <10 serial per night,Lyamin and Siegel (unpublished data)
Killer whale,One adult female,1–6 (2.4 average) per night over 4 nights,Lyamin and Siegel (unpublished data)
Commerson's dolphin,Three adult males,"13, 31 and 35/3 days",Shpak et al. (in press)
