source_file,species_common,species,is_species_average,region,measure,value,sd,units,common_name_in_paper,species_name_in_paper,reference,reference_full,link,note,val_structures
glucose,monkey,Macaca mulatta,TRUE,Whole brain,CMRgl,0.36,0.03,umol/g/min,NA,NA,NA,NA,NA,NA,NA
glucose,monkey,Macaca mulatta,FALSE,Whole brain,Total_glucose_utilization,35.98,NA,umol/min,macaque monkey; rhesus monkey,NA,Kennedy et al 1978,"Kennedy C., et al., Ann. Neurol 4, 293-301 (1978).",https://onlinelibrary.wiley.com/doi/abs/10.1002/ana.410040402?sid=nlm%3Apubmed,NA,many
glucose,monkey,Macaca mulatta,TRUE,Whole brain,Total_glucose_utilization,35.98,NA,umol/min,NA,NA,NA,NA,NA,NA,NA
glucose,mouse,Mus musculus,FALSE,Frontal cortex,CMRgl,1.07,0.1,umol/g/min,adult male Swiss albino mice,NA,Bouilleret et al 2000,"Bouilleret V., et al., Brain Res. 852, 255-262 (2000).",https://www.sciencedirect.com/science/article/pii/S0006899399020922?via%3Dihub,arithmetric mean calculated from many regions,many
glucose,mouse,Mus musculus,FALSE,Prefrontal cortex,CMRgl,1.22,0.12,umol/g/min,adult male Swiss albino mice,NA,Bouilleret et al 2000,"Bouilleret V., et al., Brain Res. 852, 255-262 (2000).",https://www.sciencedirect.com/science/article/pii/S0006899399020922?via%3Dihub,arithmetric mean calculated from many regions,many
glucose,mouse,Mus musculus,FALSE,Whole brain,CMRgl,0.89,0.14,umol/g/min,adult male Swiss albino mice,NA,Bouilleret et al 2000,"Bouilleret V., et al., Brain Res. 852, 255-262 (2000).",https://www.sciencedirect.com/science/article/pii/S0006899399020922?via%3Dihub,arithmetric mean calculated from many regions,many
glucose,mouse,Mus musculus,FALSE,Whole brain,Total_glucose_utilization,0.32,NA,umol/min,adult male Swiss albino mice,NA,Bouilleret et al 2000,"Bouilleret V., et al., Brain Res. 852, 255-262 (2000).",https://www.sciencedirect.com/science/article/pii/S0006899399020922?via%3Dihub,arithmetric mean calculated from many regions,many
glucose,rabbit,Oryctolagus cuniculus,FALSE,Whole brain,CMRgl,0.69,0.05,umol/g/min,New Zealand White,NA,Passero et al 1981,"Passero S., et al., Neurosci. Lett. 21, 345-349 (1981).",https://www.sciencedirect.com/science/article/abs/pii/0304394081902287,NA,many
glucose,rabbit,Oryctolagus cuniculus,FALSE,Whole brain,Total_glucose_utilization,7.93,NA,umol/min,New Zealand White,NA,Passero et al 1981,"Passero S., et al., Neurosci. Lett. 21, 345-349 (1981).",https://www.sciencedirect.com/science/article/abs/pii/0304394081902287,NA,many
glucose,rat,Rattus norvegicus domestica,FALSE,Frontal cortex,CMRgl,0.78,0.09,umol/g/min,"Adult, male, Sprague–Dawley rats",NA,Waschke et al 1993,"Waschke K., et al., Am. J. Physiol. 265, H1243-H1248 (1993)",https://www.physiology.org/doi/abs/10.1152/ajpheart.1993.265.4.H1243,NA,NA
glucose,rat,Rattus norvegicus domestica,FALSE,Frontal cortex,CMRgl,0.86,0.04,umol/g/min,"Adult, male, Sprague–Dawley rats",NA,Levant et al 2004,"Levant B. and Pazdernik T.L., Brain Res. 1003, 159-167 (2004).",https://www.sciencedirect.com/science/article/pii/S0006899304000824,arithmetric mean calculated from many regions,many
glucose,rat,Rattus norvegicus domestica,FALSE,Frontal cortex,CMRgl,0.84,0.16,umol/g/min,NA,NA,Dube et al 2001,NA,NA,NA,NA
glucose,rat,Rattus norvegicus domestica,TRUE,Frontal cortex,CMRgl,0.83,0.1,umol/g/min,NA,NA,NA,NA,NA,NA,NA
glucose,rat,Rattus norvegicus domestica,FALSE,Prefrontal cortex,CMRgl,1.03,0.05,umol/g/min,Adult Sprague-Dawley rats,NA,Nehlig et al 1988,"Nehlig A., et al., J. Neurosci. 8, 2321-2333 (1988).",https://www.jneurosci.org/content/8/7/2321,NA,many
glucose,rat,Rattus norvegicus domestica,FALSE,Prefrontal cortex,CMRgl,0.99,0.15,umol/g/min,NA,NA,Dube et al 2001,NA,NA,NA,NA
glucose,rat,Rattus norvegicus domestica,FALSE,Prefrontal cortex,CMRgl,0.91,0.21,umol/g/min,NA,NA,Zocchi et al 2001,NA,NA,NA,NA
glucose,rat,Rattus norvegicus domestica,TRUE,Prefrontal cortex,CMRgl,0.98,0.14,umol/g/min,NA,NA,NA,NA,NA,NA,NA
glucose,rat,Rattus norvegicus domestica,TRUE,Whole brain,CMRgl,0.68,0.04,umol/g/min,NA,NA,NA,NA,NA,NA,NA
glucose,rat,Rattus norvegicus domestica,TRUE,Whole brain,Total_glucose_utilization,1.52,NA,umol/min,NA,NA,NA,NA,NA,NA,NA
glucose,sheep,Ovis aries,FALSE,Whole brain,CMRgl,0.35,0.03,umol/g/min,crossbred,NA,Pell et al 1983,"Pell J.M. and Bergman E.N., Am. J. Physiol. 244, E282-E289 (1983).",https://www.physiology.org/doi/pdf/10.1152/ajpendo.1983.244.3.E282,reported in table and text,whole brain only
glucose,sheep,Ovis aries,FALSE,Whole brain,Total_glucose_utilization,40.18,NA,umol/min,crossbred,NA,Pell et al 1983,"Pell J.M. and Bergman E.N., Am. J. Physiol. 244, E282-E289 (1983).",https://www.physiology.org/doi/pdf/10.1152/ajpendo.1983.244.3.E282,reported in table and text,whole brain only
glucose,squirrel,Ictidomys tridecemlineatus,FALSE,Whole brain,CMRgl,0.6,0.18,umol/g/min,thirteen lined ground squirrel,Spermophilus tridecemlineatus,Frerichs et al 1995,"Frerichs K.U., et al., Am. J. Physiol. 268, R445-R453 (1995).",https://www.physiology.org/doi/abs/10.1152/ajpregu.1995.268.2.R445,weighted average reported in text,only cerebral cortex and hypothalamus
glucose,squirrel,Ictidomys tridecemlineatus,FALSE,Whole brain,Total_glucose_utilization,3.88,NA,umol/min,thirteen lined ground squirrel,Spermophilus tridecemlineatus,Frerichs et al 1995,"Frerichs K.U., et al., Am. J. Physiol. 268, R445-R453 (1995).",https://www.physiology.org/doi/abs/10.1152/ajpregu.1995.268.2.R445,weighted average reported in text,only cerebral cortex and hypothalamus
oxygen,baboon,Papio cynocephalus,FALSE,Whole brain,CMRO2,0.034,0.006,ml/g/min,baboons,Papio cynocephalus,Sahlin et al 1987,"Sahlin C., et al., Brain Res. 403, 313-332 (1987).",https://www.sciencedirect.com/science/article/abs/pii/0006899387900692?via%3Dihub,NA,NA
oxygen,baboon,Papio cynocephalus,FALSE,Whole brain,Total_oxygen_consumption,4.658,NA,ml/min,baboons,Papio cynocephalus,Sahlin et al 1987,"Sahlin C., et al., Brain Res. 403, 313-332 (1987).",https://www.sciencedirect.com/science/article/abs/pii/0006899387900692?via%3Dihub,NA,NA
oxygen,cat,Felis catus,FALSE,Whole brain,CMRO2,0.058,0.006,ml/g/min,cats,NA,Stingele et al 1996,"Stingele R., et al., Am. J. Physiol. 271, H579-H587 (1996).",https://journals.physiology.org/doi/abs/10.1152/ajpheart.1996.271.2.H579,NA,NA
oxygen,cat,Felis catus,FALSE,Whole brain,Total_oxygen_consumption,1.844,NA,ml/min,cats,NA,Stingele et al 1996,"Stingele R., et al., Am. J. Physiol. 271, H579-H587 (1996).",https://journals.physiology.org/doi/abs/10.1152/ajpheart.1996.271.2.H579,NA,NA
oxygen,dog,Canis familiaris,FALSE,Whole brain,CMRO2,0.061,0.002,ml/g/min,mongrel dogs,NA,Nakanishi et al 1997,"Nakanishi O. et al., Can. J. Anaesth. 44, 1008-1013 (1997).",https://link.springer.com/article/10.1007/BF03011974,NA,NA
oxygen,dog,Canis familiaris,FALSE,Whole brain,Total_oxygen_consumption,4.392,NA,ml/min,mongrel dogs,NA,Nakanishi et al 1997,"Nakanishi O. et al., Can. J. Anaesth. 44, 1008-1013 (1997).",https://link.springer.com/article/10.1007/BF03011974,NA,NA
oxygen,human,Homo sapiens,FALSE,Whole brain,CMRO2,0.035,0.005,ml/g/min,NA,NA,Clarke et al 1994,"Clarke D.D. and Sokoloff L., In Basic Neurochemistry.  Eds:  Siegel G.J., et al. (Raven Press, New York, 1994), pp. 645-680.",https://pdfs.semanticscholar.org/9354/33f7d90a1dbb53af13e6e51e3ddb1d1369b7.pdf,Book,whole brain
oxygen,human,Homo sapiens,FALSE,Whole brain,Total_oxygen_consumption,48.615,NA,ml/min,NA,NA,Clarke et al 1994,"Clarke D.D. and Sokoloff L., In Basic Neurochemistry.  Eds:  Siegel G.J., et al. (Raven Press, New York, 1994), pp. 645-680.",https://pdfs.semanticscholar.org/9354/33f7d90a1dbb53af13e6e51e3ddb1d1369b7.pdf,Book,whole brain
oxygen,monkey,Macaca mulatta,FALSE,Whole brain,CMRO2,0.06,0.005,ml/g/min,rhesus monkeys,Macaca mulatta,Nemoto et al 1994,"Nemoto E.M., et al., J. Neurosurg. Anesthesiol. 6, 170-174 (1994).",https://insights.ovid.com/article/00008506-199407000-00004,NA,NA
oxygen,monkey,Macaca mulatta,FALSE,Whole brain,Total_oxygen_consumption,6,NA,ml/min,rhesus monkeys,Macaca mulatta,Nemoto et al 1994,"Nemoto E.M., et al., J. Neurosurg. Anesthesiol. 6, 170-174 (1994).",https://insights.ovid.com/article/00008506-199407000-00004,NA,NA
oxygen,rat,Rattus norvegicus domestica,FALSE,Whole brain,CMRO2,0.084,0.019,ml/g/min,Sprague–Dawley rats,NA,Linde et al 1999,"Linde R., et al., Acta Physiol. Scand. 165, 395-401 (1999).",https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-201x.1999.00522.x,NA,NA
oxygen,rat,Rattus norvegicus domestica,FALSE,Whole brain,Total_oxygen_consumption,0.19,NA,ml/min,Sprague–Dawley rats,NA,Linde et al 1999,"Linde R., et al., Acta Physiol. Scand. 165, 395-401 (1999).",https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-201x.1999.00522.x,NA,NA
oxygen,sheep,Ovis aries,FALSE,Whole brain,CMRO2,0.049,0.007,ml/g/min,crossbred,NA,Pell et al 1983,"Pell J.M. and Bergman E.N., Am. J. Physiol. 244, E282-E289 (1983).",https://www.physiology.org/doi/pdf/10.1152/ajpendo.1983.244.3.E282,reported in table and text,whole brain only
oxygen,sheep,Ovis aries,FALSE,Whole brain,Total_oxygen_consumption,5.586,NA,ml/min,crossbred,NA,Pell et al 1983,"Pell J.M. and Bergman E.N., Am. J. Physiol. 244, E282-E289 (1983).",https://www.physiology.org/doi/pdf/10.1152/ajpendo.1983.244.3.E282,reported in table and text,whole brain only
