Species_canonical,Order,Suborder,Family,code_Stephan1981,Common_name,n_distinct_variant_strings,all_variant_strings,Species_Baron1983,Species_Baron1987,Species_Baron1988,Species_Baron1990,Species_Bauernfeind2013,Species_Frahm1982,Species_Frahm1994,Species_Frahm1997,Species_Frahm98,Species_Frahm_1984,Species_Matano1985a,Species_Matano1985b,Species_Sherwood_2005,Species_Stephan1981,Species_Stephan1982,Species_Stephan1984,Species_Stephan1987,Species_Zilles1988,Species_deSousa2010,Species_deSousa2013
Cheirogaleus major,Primates,Prosimians,Cheirogaleiclae,111,greater dwarf lemur ,1,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,,,Cheirogaleus major,,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,Cheirogaleus major,,Cheirogaleus major,
Cheirogaleus medius,Primates,Prosimians,Cheirogaleiclae,112,fat tailed dwarf lemurÊ,1,Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,,,Cheirogaleus medius,,,Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,Cheirogaleus medius,,Cheirogaleus medius,
Chrysochloris asiatica,Insectivora,Progressive Insectivora,,17,Cape golden mole,2,Chrysochloris asiat.; Chrysochloris asiatica,Chrysochloris asiatica,Chrysochloris asiatica,,,,,,,,,,,,Chrysochloris asiatica,Chrysochloris asiat.,,Chrysochloris asiatica,,,
Chrysochloris stuhlmanni,Insectivora,Progressive Insectivora,,16,Stuhlmann s golden mole,3,Chlorotalpa stuhlmanni; Chrysochl. stuhlm.; Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,Chrysochloris stuhlmanni,,,,,,,,,,Chlorotalpa stuhlmanni,Chrysochl. stuhlm.,,Chrysochloris stuhlmanni,,,
Colobus angolensis,,,,,Angola colobus,1,Colobus angolensis,,,,,Colobus angolensis,,,,,,,,,,,,,,,Colobus angolensis
Crocidura flavescens,Insectivora,Basal Insectivora,Soricidae,59,greater red musk shrew,3,Crocidura flavesc.; Crocidura flavescens; Crocidura occidentalis,Crocidura flavescens,Crocidura flavescens,Crocidura flavescens,Crocidura flavescens,,Crocidura flavescens,,,,,,Crocidura flavescens,,Crocidura occidentalis,Crocidura flavesc.,Crocidura occidentalis,Crocidura flavescens,,,
Crocidura hildegardeae,Insectivora,,,,Hildegarde s shrew,2,Crocidura hildegardea; Crocidura hildegardeae,,Crocidura hildegardea,Crocidura hildegardeae,Crocidura hildegardeae,,,,,,,,,,,,,Crocidura hildegardeae,,,
Crocidura jacksoni,Insectivora,,,,Jackson s shrew,1,Crocidura jacksoni,,Crocidura jacksoni,,,,,,,,,,,,,,,Crocidura jacksoni,,,
Crocidura russula,Insectivora,Basal Insectivora,Soricidae,60,greater white toothed shrew,2,Crocidura r. russula; Crocidura russula,Crocidura russula,Crocidura russula,Crocidura russula,Crocidura russula,,Crocidura russula,,,,,,Crocidura r. russula,,Crocidura russula,Crocidura russula,Crocidura russula,Crocidura russula,,,
Daubentonia madagascariensis,Prosimians,Prosimians,Daubentoniidae,136,aye ayeÊ,5,Daubentoni madagascar.; Daubentonia madagas.; Daubentonia madagasc.; Daubentonia madagascar.; Daubentonia madagascariensis,Daubentonia madagascar.,Daubentonia madagasc.,Daubentoni madagascar.,Daubentoni madagascar.,,Daubentonia madagascar.,Daubentonia madagascariensis,,,Daubentonia madagascar.,Daubentonia madagasc.,Daubentonia madagasc.,Daubentonia madagascariensis,Daubentonia madagascar.,Daubentonia madagas.,Daubentonia madagascar.,Daubentonia madagasc.,,Daubentonia madagascariensis,
