Species_canonical,Order,Suborder,Family,code_Stephan1981,Common_name,n_distinct_variant_strings,all_variant_strings,Species_Baron1983,Species_Baron1987,Species_Baron1988,Species_Baron1990,Species_Bauernfeind2013,Species_Frahm1982,Species_Frahm1994,Species_Frahm1997,Species_Frahm98,Species_Frahm_1984,Species_Matano1985a,Species_Matano1985b,Species_Sherwood_2005,Species_Stephan1981,Species_Stephan1982,Species_Stephan1984,Species_Stephan1987,Species_Zilles1988,Species_deSousa2010,Species_deSousa2013
Pithecia monachus,Primates,Simians,,174,monk saki,2,Pithecia monacha; Pithecia monachus,Pithecia monachus,Pithecia monachus,Pithecia monachus,Pithecia monachus,,,Pithecia monachus,,Pithecia monachus,Pithecia monachus,Pithecia monachus,Pithecia monachus,Pithecia monachus,Pithecia monacha,Pithecia monachus,Pithecia monachus,Pithecia monachus,,Pithecia monachus,
Pithecia pithecia,,,,,white faced saki,1,Pithecia pithecia,,,,,Pithecia pithecia,,,,,,,,,,,,,,,
Pongo sp.,Primates,Simians,,,Sumatran orangutan,4,Pongo abelii; Pongo pygmaeus; Pongo pygmaeus and Pongo abelii; Pongo sp.,,,,,Pongo pygmaeus and Pongo abelii,,,,,,,,Pongo pygmaeus,Pongo abelii,,,,Pongo sp.,Pongo pygmaeus,Pongo pygmaeus
Potamogale velox,Insectivora,Progressive Insectivora,,15,giant otter shrew,1,Potamogale velox,Potamogale velox,Potamogale velox,Potamogale velox,Potamogale velox,,,,,,,,,,Potamogale velox,Potamogale velox,,Potamogale velox,,,
Propithecus verreauxi,Primates,Prosimians,Indriidae,132,Verreaux s sifaka,2,Propithecus verreau.; Propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,,Propithecus verreauxi,Propithecus verreauxi,,,Propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,Propithecus verreau.,Propithecus verreauxi,Propithecus verreauxi,,Propithecus verreauxi,
Pygathrix nemaeus,Primates,Simians,,242,red shanked douc,1,Pygathrix nemaeus,Pygathrix nemaeus,Pygathrix nemaeus,Pygathrix nemaeus,Pygathrix nemaeus,,,Pygathrix nemaeus,,,,Pygathrix nemaeus,Pygathrix nemaeus,Pygathrix nemaeus,Pygathrix nemaeus,,,Pygathrix nemaeus,,,Pygathrix nemaeus
Rattus norvegicus,,,,,brown rat,1,Rattus norvegicus,,,,,,,,Rattus norvegicus,,,,,,,,,,,,
Rhynchocyon cirnei,Macroscelidea,Insectivora,,33,checkered elephant shrew,2,Rhynchocyon cirnei; Rhynchocyon stuhlmanni,Rhynchocyon cirnei,Rhynchocyon cirnei,,,,,,,,,,,,Rhynchocyon stuhlmanni,Rhynchocyon cirnei,,Rhynchocyon cirnei,,,
Ruwenzorisorex suncoides,Insectivora,,,,Ruwenzori shrew,2,Ruwensorisorex suncoides; Ruwenzorisorex suncoides,,Ruwensorisorex suncoides,Ruwenzorisorex suncoides,Ruwenzorisorex suncoides,,,,,,,,,,,,,Ruwenzorisorex suncoides,,,
Saguinus geoffroyi,,,,,Geoffroy s tamarin,1,Saguinus geoffroyi,,,,,Saguinus geoffroyi,,,,,,,,,,,,,,,
Saguinus midas,Primates,Simians,,165,red handed tamarin,4,Saguinus midas; Saguinus midas tamarin; Saguinus tamarin; Sanguinus midas,Saguinus midas,Saguinus midas tamarin,Saguinus midas tamarin,Saguinus midas,,,Saguinus midas tamarin,,Saguinus midas,Saguinus midas,Saguinus midas,Saguinus midas,Saguinus midas,Saguinus tamarin,Saguinus midas,,Saguinus midas tamarin,,Sanguinus midas,
Saguinus oedipus,Primates,Simians,,164,cotton top tamarin,2,Saguinus oedipus; Sanguinus oedipus,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,,Saguinus oedipus,,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,,Sanguinus oedipus,
Saimiri sciureus,Primates,Simians,,192,,1,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,,Saimiri sciureus,Saimiri sciureus,,,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,,Saimiri sciureus,
ScutisorexÊsomereni,Insectivora,,,,hero shrew,3,Scuisorex somereni; Scutisorex somereni; ScutisorexÊsomereni,,Scuisorex somereni,ScutisorexÊsomereni,ScutisorexÊsomereni,,,,,,,,,,,,,Scutisorex somereni,,,
Setifer setosus,Insectivora,Basal Insectivora,Tenrecinae,3,greater hedgehog tenrec,1,Setifer setosus,Setifer setosus,Setifer setosus,Setifer setosus,Setifer setosus,,Setifer setosus,Setifer setosus,,,,,Setifer setosus,,Setifer setosus,Setifer setosus,Setifer setosus,Setifer setosus,,,
Solenodon paradoxus,Insectivora,Progressive Insectivora,,1,Hispaniolan solenodon,1,Solenodon paradoxus,Solenodon paradoxus,Solenodon paradoxus,Solenodon paradoxus,Solenodon paradoxus,,,,,,,,,,Solenodon paradoxus,Solenodon paradoxus,,Solenodon paradoxus,,,
Sorex araneus,Insectivora,Basal Insectivora,Soricidae,42,common shrew,1,Sorex araneus,Sorex araneus,Sorex araneus,Sorex araneus,Sorex araneus,,Sorex araneus,,,,,,Sorex araneus,,Sorex araneus,Sorex araneus,Sorex araneus,Sorex araneus,,,
Sorex cinereus,Insectivora,,,,cinereus shrew,1,Sorex cinereus,,Sorex cinereus,Sorex cinereus,Sorex cinereus,,,,,,,,,,,,,Sorex cinereus,,,
Sorex fumeus,Insectivora,,,,smoky shrew,1,Sorex fumeus,,Sorex fumeus,,,,,,,,,,,,,,,Sorex fumeus,,,
Sorex minutus,Insectivora,Basal Insectivora,Soricidae,41,Eurasian pygmy shrew,1,Sorex minutus,Sorex minutus,Sorex minutus,,,,Sorex minutus,,,,,,Sorex minutus,,Sorex minutus,Sorex minutus,Sorex minutus,Sorex minutus,,,
Spalax ehrenbergi,,,,,Middle East blind mole rat,1,Spalax ehrenbergi,,,,,,,,Spalax ehrenbergi,,,,,,,,,,,,
Suncus etruscus,Insectivora,,,,Etruscan shrew,1,Suncus etruscus,,Suncus etruscus,Suncus etruscus,Suncus etruscus,,,,,,,,,,,,,Suncus etruscus,,,
Suncus megalura,Insectivora,,,,climbing shrew,2,Suncus megalura; Sylvisorex megalura,,Suncus megalura,Sylvisorex megalura,Sylvisorex megalura,,,,,,,,,,,,,Sylvisorex megalura,,,
Suncus murinus,Insectivora,Basal Insectivora,Soricidae,63,Asian house shrew,1,Suncus murinus,Suncus murinus,Suncus murinus,Suncus murinus,Suncus murinus,,Suncus murinus,,,,,,Suncus murinus,,Suncus murinus,Suncus murinus,Suncus murinus,Suncus murinus,,,
Sylvisorex granti,Insectivora,,,,Grant s forest shrew,1,Sylvisorex granti,,Sylvisorex granti,,,,,,,,,,,,,,,Sylvisorex granti,,,
Symphalangus syndactylus,,,,,siamang,1,Symphalangus syndactylus,,,,,Symphalangus syndactylus,,,,,,,,,,,,,,,Symphalangus syndactylus
Talpa europaea,Insectivora,Progressive Insectivora,,81,EuropeanÊmole,2,Talpa europaea; Talpa europea,Talpa europaea,Talpa europaea,Talpa europaea,Talpa europea,,,,,,,,,,Talpa europaea,Talpa europaea,Talpa europaea,Talpa europaea,,,
Tarsius sp.,Primates,Prosimians,Tarsiidae,147,,4,Tarsius sp.; Tarsius spec.; Tarsius spp.; Tarsius syrichta,Tarsius spp.,Tarsius spp.,Tarsius spp.,Tarsius spp.,,Tarsius sp.,Tarsius spec.,,Tarsius spec.,Tarsius sp.,Tarsius spp.,Tarsius spp.,Tarsius syrichta,Tarsius sp.,Tarsius sp.,Tarsius spp.,Tarsius spp.,,Tarsius syrichta,
Tenrec ecaudatus,Insectivora,Basal Insectivora,Tenrecinae,2,taillessÊtenrec,1,Tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,,Tenrec ecaudatus,Tenrec ecaudatus,,,,Tenrec ecaudatus,Tenrec ecaudatus,,Tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,Tenrec ecaudatus,,,
Trachypithecus francoisi,,,,,Francois langur,1,Trachypithecus francoisi,,,,,Trachypithecus francoisi,,,,,,,,,,,,,,,
Tupaia glis,Scandentia,Prosimians,,102,common treeshrew,1,Tupaia glis,Tupaia glis,Tupaia glis,Tupaia glis,Tupaia glis,,Tupaia glis,,,,Tupaia glis,Tupaia glis,Tupaia glis,,Tupaia glis,Tupaia glis,Tupaia glis,Tupaia glis,,,
Tupaia minor,Scandentia,Prosimians,,104,pygmy treeshrew,1,Tupaia minor,Tupaia minor,Tupaia minor,Tupaia minor,Tupaia minor,,,,,,Tupaia minor,,,,Tupaia minor,,Tupaia minor,Tupaia minor,,,
Urogale everetti,Scandentia,Prosimians,,106,Mindanao treeshrew,1,Urogale everetti,Urogale everetti,Urogale everetti,Urogale everetti,Urogale everetti,,Urogale everetti,,,,Urogale everetti,Urogale everetti,Urogale everetti,,Urogale everetti,Urogale everetti,Urogale everetti,Urogale everetti,,,
Varecia variegata,Primates,Prosimians,Lemuridae,124,black and white ruffed lemur,2,Lemur variegatus; Varecia variegata,Varecia variegata,Varecia variegata,Varecia variegata,Varecia variegata,Varecia variegata,,Varecia variegata,,,Varecia variegata,Varecia variegata,Varecia variegata,Varecia variegata,Lemur variegatus,Varecia variegata,Varecia variegata,Varecia variegata,,Varecia variegata,
