table	structure	subregion	species_printed	species	is_average	measure	value	sd	units	n_areas	reference
S18	Septum	Septum	mouse	Mus musculus	False	CMRgl	0.67	0.12	umol/g/min		Bouilleret et al 2000
S18	Septum	Septum	mouse	Mus musculus	False	CMRgl	0.79	0.03	umol/g/min		Quelven et al 2004, estim.
S18	Septum	Septum	average mouse	Mus musculus	True	CMRgl	0.73	0.08	umol/g/min		
S18	Septum	Septum	rat	Rattus norvegicus	False	CMRgl	0.48	0.03	umol/g/min		Waschke et al 1993
S18	Septum	Septum	rat	Rattus norvegicus	False	CMRgl	0.47	0.08	umol/g/min		Dube et al 2001
S18	Septum	Septum	rat	Rattus norvegicus	False	CMRgl	0.61	0.02	umol/g/min		Nehling et al 1988
S18	Septum	Septum	rat	Rattus norvegicus	False	CMRgl	0.45	0.05	umol/g/min		Nehling et al 2000
S18	Septum	Septum	rat	Rattus norvegicus	False	CMRgl	0.45	0.03	umol/g/min		Levant et al 2004
S18	Septum	Septum	rat	Rattus norvegicus	False	CMRgl	0.61	0.07	umol/g/min		Zocchi et al 2001
S18	Septum	Septum	average rat	Rattus norvegicus	True	CMRgl	0.51	0.05	umol/g/min		
S18	Septum	Septum	rabbit	Oryctolagus cuniculus	False	CMRgl	0.48	0.02	umol/g/min		Passero et al 1981
S18	Septum	Septum	cat	Felis catus	False	CMRgl	0.37	0.05	umol/g/min		Chugani et al 1991
S18	Septum	Septum	cat	Felis catus	False	CMRgl	0.39	0.03	umol/g/min		Sokoloff 1984
S18	Septum	Septum	average cat	Felis catus	True	CMRgl	0.38	0.04	umol/g/min		
S18	Septum	Septum	monkey	Macaca mulatta	False	CMRgl	0.3	0.03	umol/g/min		Porrino et al 2002
S18	Septum	Septum	monkey	Macaca mulatta	False	CMRgl	0.27	0.01	umol/g/min		Palombo 1990
S18	Septum	Septum	monkey	Macaca mulatta	False	CMRgl	0.26	0.02	umol/g/min		Kennedy 1978
S18	Septum	Septum	average monkey	Macaca mulatta	True	CMRgl	0.28	0.02	umol/g/min		
