"species_sci"	"Species"	"Order"	"Habitat"	"Duty_Factor"	"Phase"	"Gait"	"Foot_Posture"	"Hindlimb_Length.mm"	"Body_Mass.g"
"Kobus ellipsiprymnus"	"Kobus ellipsiprymnus"	"Artiodactyla"	"terrestrial"	67.16	20.9	"LSLC"	"unguligrade"	946	204393.48
"Moschiola meminna"	"Moschiola meminna"	"Artiodactyla"	"terrestrial"	68.17528736	20.76149	"LSLC"	"unguligrade"	193.35	3130.95
"Ailurus fulgens"	"Ailurus fulgens"	"Carnivora"	"arboreal"	61.16666667	20.41667	"LSLC"	"plantigrade"	236.4	5170.08
"Panthera tigris"	"Panthera tigris"	"Carnivora"	"terrestrial"	64.41289317	20.32129476	"LSLC"	"digitigrade"	744.94	142000
"Ailuropoda melanoleuca"	"Ailuropoda melanoleuca"	"Carnivora"	"terrestrial"	66.04377104	20.16835	"LSLC"	"plantigrade"	552.3	117999.99
"Sarcophilus harrisii"	"Sarcophilus harrisii"	"Dasyuromorphia"	"terrestrial"	62.315	20.12	"LSLC"	NA	214.237	8202.25
"Caracal caracal"	"Caracal caracal"	"Carnivora"	"terrestrial"	65.76364335	20.07495141	"LSLC"	"digitigrade"	365.52	17630
"Leopardus pardalis"	"Leopardus pardalis"	"Carnivora"	"terrestrial"	60.88318534	19.12393178	"LSLC"	"digitigrade"	334.76	13500
"Zalophus wollebaeki"	"Zalophus wollebaeki"	"Carnivora"	"terrestrial"	59.48	19.11	"LSLC"	NA	415	158000
"Aepyceros melampus"	"Aepyceros melampus"	"Artiodactyla"	"terrestrial"	68	19	"LSLC"	"unguligrade"	723	52591.69
"Elephas maximus"	"Elephas maximus"	"Afrotheria"	"terrestrial"	73	19	"LSLC"	"plantigrade"	1902.45	3269794.34
"Alcelaphus buselaphus"	"Alcelaphus buselaphus"	"Artiodactyla"	"terrestrial"	72.4137931	18.96552	"LSLC"	"unguligrade"	805	160937.86
"Canis lupus"	"Canis lupus"	"Carnivora"	"terrestrial"	60.34	18.965	"LSLC"	"digitigrade"	557.49	44590
"Acinonyx jubatus"	"Acinonyx jubatus"	"Carnivora"	"terrestrial"	70	18	"LSLC"	"digitigrade"	616.87	49270
"Connochaetes taurinus"	"Connochaetes taurinus"	"Artiodactyla"	"terrestrial"	72	18	"LSLC"	"unguligrade"	920	198619.68
"Lasiorhinus krefftii"	"Lasiorhinus krefftii"	"Diprotodontia"	"terrestrial"	73	18	"LSLC"	"plantigrade"	275.66	31849.99
"Ursus americanus"	"Ursus americanus"	"Carnivora"	"terrestrial"	67	18	"LSLC"	"plantigrade"	639.7348	110500
"Antilocapra americana"	"Antilocapra americana"	"Artiodactyla"	"terrestrial"	62.01923077	17.94872	"LSLC"	"unguligrade"	733	47450.01
"Cuon alpinus"	"Cuon alpinus"	"Carnivora"	"terrestrial"	69.61538462	17.94872	"LSLC"	"digitigrade"	429.23	15800
"Lama glama"	"Lama glama"	"Artiodactyla"	"terrestrial"	72	17	"LSLC"	"digitigrade"	836	78322.67
"Loxodonta africana"	"Loxodonta africana"	"Afrotheria"	"terrestrial"	74	17	"LSLC"	"plantigrade"	1860	3824539.93
"Lynx rufus"	"Lynx rufus"	"Carnivora"	"terrestrial"	71	17	"LSLC"	"digitigrade"	400.62	10850
"Ursus arctos"	"Ursus arctos"	"Carnivora"	"terrestrial"	65	17	"LSLC"	"plantigrade"	709.5778	196287.5
"Bubalus bubalis"	"Bubalus bubalis"	"Artiodactyla"	"terrestrial"	63.16964286	16.96429	"LSLC"	"unguligrade"	815	929500.97
"Okapia johnstoni"	"Okapia johnstoni"	"Artiodactyla"	"terrestrial"	60.65281462	16.90813	"LSLC"	"unguligrade"	938	230001.14
"Bison bison"	"Bison bison"	"Artiodactyla"	"terrestrial"	71	16	"LSLC"	"unguligrade"	992	624577.07
"Mungos mungo"	"Mungos mungo"	"Carnivora"	"terrestrial"	60	16	"LSLC"	"digitigrade"	147.2	1400
"Ursus maritimus"	"Ursus maritimus"	"Carnivora"	"terrestrial"	68	16	"LSLC"	"plantigrade"	785.2356	371703.81
"Panthera leo"	"Panthera leo"	"Carnivora"	"terrestrial"	68	15	"LSLC"	"digitigrade"	741.72	175890
"Oryx gazella"	"Oryx gazella"	"Artiodactyla"	"terrestrial"	66.66	14.81	"LSLC"	"unguligrade"	865	188404.45
"Giraffa camelopardalis"	"Giraffa camelopardalis"	"Artiodactyla"	"terrestrial"	68	14	"LSLC"	"unguligrade"	1448.5	964654.73
"Procyon lotor"	"Procyon lotor"	"Carnivora"	"terrestrial"	71	14	"LSLC"	NA	320	6179
"Chrysocyon brachyurus"	"Chrysocyon brachyurus"	"Carnivora"	"terrestrial"	62.84858552	13.18249	"LSLC"	"digitigrade"	716.27	22000
"Tachyglossus aculeatus"	"Tachyglossus aculeatus"	"Monotremata"	"terrestrial"	67	13	"LSLC"	"plantigrade"	127.74	3700
"Vicugna pacos"	"Vicugna pacos"	"Artiodactyla"	"terrestrial"	55.80683333	12.92514634	"LSLC"	NA	718	44400
"Panthera onca"	"Panthera onca"	"Carnivora"	"terrestrial"	64.1	10.256	"LSLC"	"digitigrade"	549.75	82550
"Crocuta crocuta"	"Crocuta crocuta"	"Carnivora"	"terrestrial"	66	10	"LSLC"	"digitigrade"	515.2286	63369.98
